,date,school,work
0,02/21/2022,1,1
1,02/22/2022,1,1
2,02/23/2022,1,1
3,02/24/2022,1,1
4,02/25/2022,1,1
5,02/26/2022,1,0
6,02/27/2022,1,0
7,02/28/2022,1,1
8,03/01/2022,1,1
9,03/02/2022,1,1
10,03/03/2022,1,1
11,03/04/2022,1,1
12,03/05/2022,1,0
13,03/06/2022,1,0
14,03/07/2022,1,1
15,03/08/2022,1,1
16,03/09/2022,1,1
17,03/10/2022,1,1
18,03/11/2022,1,1
19,03/12/2022,1,0
20,03/13/2022,1,0
21,03/14/2022,1,1
22,03/15/2022,1,1
23,03/16/2022,1,1
24,03/17/2022,1,1
25,03/18/2022,1,1
26,03/19/2022,1,0
27,03/20/2022,1,0
28,03/21/2022,1,1
29,03/22/2022,1,1
30,03/23/2022,1,1
31,03/24/2022,1,1
32,03/25/2022,1,1
33,03/26/2022,1,0
34,03/27/2022,1,0
35,03/28/2022,1,1
36,03/29/2022,1,1
37,03/30/2022,1,1
38,03/31/2022,1,1
39,04/01/2022,1,1
40,04/02/2022,1,0
41,04/03/2022,1,0
42,04/04/2022,1,1
43,04/05/2022,1,1
44,04/06/2022,1,1
45,04/07/2022,1,1
46,04/08/2022,1,1
47,04/09/2022,1,0
48,04/10/2022,1,0
49,04/11/2022,1,1
50,04/12/2022,1,1
51,04/13/2022,1,1
52,04/14/2022,1,1
53,04/15/2022,1,1
54,04/16/2022,1,0
55,04/17/2022,1,0
56,04/18/2022,1,1
57,04/19/2022,1,1
58,04/20/2022,1,1
59,04/21/2022,1,1
60,04/22/2022,1,1
61,04/23/2022,1,0
62,04/24/2022,1,0
63,04/25/2022,1,1
64,04/26/2022,1,1
65,04/27/2022,1,1
66,04/28/2022,1,1
67,04/29/2022,1,1
68,04/30/2022,1,0
69,05/01/2022,1,0
70,05/02/2022,1,1
71,05/03/2022,1,1
72,05/04/2022,1,1
73,05/05/2022,1,1
74,05/06/2022,1,1
75,05/07/2022,1,0
76,05/08/2022,1,0
77,05/09/2022,1,1
78,05/10/2022,1,1
79,05/11/2022,1,1
80,05/12/2022,1,1
81,05/13/2022,1,1
82,05/14/2022,1,0
83,05/15/2022,1,0
84,05/16/2022,1,1
85,05/17/2022,1,1
86,05/18/2022,1,1
87,05/19/2022,1,1
88,05/20/2022,1,1
89,05/21/2022,1,0
90,05/22/2022,1,0
91,05/23/2022,1,1
92,05/24/2022,1,1
93,05/25/2022,1,1
94,05/26/2022,1,1
95,05/27/2022,1,1
96,05/28/2022,1,0
97,05/29/2022,1,0
98,05/30/2022,1,1
99,05/31/2022,1,1
100,06/01/2022,1,1
101,06/02/2022,1,1
102,06/03/2022,1,1
103,06/04/2022,1,0
104,06/05/2022,1,0
105,06/06/2022,1,1
106,06/07/2022,1,1
107,06/08/2022,1,1
108,06/09/2022,1,1
109,06/10/2022,1,1
110,06/11/2022,1,0
111,06/12/2022,1,0
112,06/13/2022,1,1
113,06/14/2022,1,1
114,06/15/2022,1,1
115,06/16/2022,1,1
116,06/17/2022,1,1
117,06/18/2022,1,0
118,06/19/2022,1,0
119,06/20/2022,1,1
120,06/21/2022,1,1
121,06/22/2022,1,1
122,06/23/2022,1,1
123,06/24/2022,1,1
124,06/25/2022,1,0
125,06/26/2022,1,0
126,06/27/2022,1,1
127,06/28/2022,1,1
128,06/29/2022,1,1
129,06/30/2022,1,1
130,07/01/2022,1,1
