,date,0_4,5_11,12_18,19_49,50_64,65+,65_diff,50_64_diff,19_49_diff,12_18_diff,5_11_diff
0,02/07/2022,0,15702692.0,33867902.0,253397559.3535979,126056688.56302811,135872623.0,0.0,0.0,0.0,0.0,0.0
1,02/08/2022,0,15737919.925,33896624.025,253535011.6793449,126125066.43163565,135926067.45,53444.44999998808,68377.86860753596,137452.3257469833,28722.02499999851,35227.925000000745
2,02/09/2022,0,15773147.85,33925346.05,253672464.00509188,126193444.3002432,135979511.9,53444.45000001788,68377.86860755086,137452.3257469833,28722.02499999851,35227.92499999888
3,02/10/2022,0,15808375.775,33954068.075,253809916.33083886,126261822.16885073,136032956.35,53444.44999998808,68377.86860753596,137452.3257469833,28722.02500000596,35227.925000000745
4,02/11/2022,0,15843603.7,33982790.1,253947368.65658587,126330200.03745827,136086400.8,53444.45000001788,68377.86860753596,137452.3257470131,28722.02499999851,35227.92499999888
5,02/12/2022,0,15878831.625,34011512.125,254084820.98233286,126398577.90606582,136139845.25,53444.44999998808,68377.86860755086,137452.3257469833,28722.02499999851,35227.925000000745
6,02/13/2022,0,15914059.55,34040234.15,254222273.30807984,126466955.77467336,136193289.7,53444.44999998808,68377.86860753596,137452.3257469833,28722.02499999851,35227.925000000745
7,02/14/2022,0,15949287.475,34068956.175,254359725.63382682,126535333.6432809,136246734.15,53444.45000001788,68377.86860753596,137452.3257469833,28722.02499999851,35227.92499999888
8,02/15/2022,0,15984515.4,34097678.2,254497177.9595738,126603711.51188844,136300178.6,53444.44999998808,68377.86860755086,137452.3257469833,28722.02500000596,35227.925000000745
9,02/16/2022,0,16019743.325,34126400.225,254634630.2853208,126672089.38049598,136353623.05,53444.45000001788,68377.86860753596,137452.3257469833,28722.02499999851,35227.92499999888
10,02/17/2022,0,16054971.25,34155122.25,254772082.6110678,126740467.24910352,136407067.5,53444.44999998808,68377.86860753596,137452.3257470131,28722.02499999851,35227.925000000745
11,02/18/2022,0,16090199.175,34183844.275,254909534.93681479,126808845.11771107,136460511.95,53444.44999998808,68377.86860755086,137452.3257469833,28722.02499999851,35227.925000000745
12,02/19/2022,0,16125427.1,34212566.3,255046987.26256177,126877222.9863186,136513956.4,53444.45000001788,68377.86860753596,137452.3257469833,28722.02499999851,35227.92499999888
13,02/20/2022,0,16160655.025,34241288.325,255184439.58830875,126945600.85492615,136567400.85,53444.44999998808,68377.86860755086,137452.3257469833,28722.02500000596,35227.925000000745
14,02/21/2022,0,16195882.95,34270010.35,255321891.91405573,127013978.72353369,136620845.3,53444.45000001788,68377.86860753596,137452.3257469833,28722.02499999851,35227.92499999888
15,02/22/2022,0,16231110.875,34298732.375,255459344.23980272,127082356.59214123,136674289.75,53444.44999998808,68377.86860753596,137452.3257469833,28722.02499999851,35227.925000000745
16,02/23/2022,0,16266338.8,34327454.4,255596796.56554973,127150734.46074878,136727734.2,53444.44999998808,68377.86860755086,137452.3257470131,28722.02499999851,35227.925000000745
17,02/24/2022,0,16301566.725,34356176.425,255734248.8912967,127219112.32935631,136781178.65,53444.45000001788,68377.86860753596,137452.3257469833,28722.02499999851,35227.92499999888
18,02/25/2022,0,16336794.65,34384898.45,255871701.2170437,127287490.19796385,136834623.1,53444.44999998808,68377.86860753596,137452.3257469833,28722.02500000596,35227.925000000745
19,02/26/2022,0,16372022.575,34413620.475,256009153.54279068,127355868.0665714,136888067.55,53444.45000001788,68377.86860755086,137452.3257469833,28722.02499999851,35227.92499999888
20,02/27/2022,0,16407250.5,34442342.5,256146605.86853766,127424245.93517894,136941512.0,53444.44999998808,68377.86860753596,137452.3257469833,28722.02499999851,35227.925000000745
