,date,state,death,case,hosp
0,2022/02/21,AK,1108,234541,9.0
1,2022/02/22,AK,1108,234541,9.0
2,2022/02/23,AK,1128,236336,4.0
3,2022/02/24,AK,1128,236336,15.0
4,2022/02/25,AK,1128,237255,4.0
5,2022/02/26,AK,1128,237255,6.0
6,2022/02/27,AK,1128,237255,10.0
7,2022/02/28,AK,1128,237977,7.0
8,2022/03/01,AK,1128,237977,8.0
9,2022/03/02,AK,1155,238547,7.0
10,2022/03/03,AK,1155,238547,4.0
11,2022/03/04,AK,1155,239242,4.0
12,2022/03/05,AK,1155,239242,7.0
13,2022/03/06,AK,1155,239242,4.0
14,2022/03/07,AK,1155,239705,5.0
15,2022/03/08,AK,1155,239705,2.0
16,2022/03/09,AK,1165,241191,5.0
17,2022/03/10,AK,1165,241191,6.0
18,2022/03/11,AK,1165,241845,6.0
19,2022/03/12,AK,1165,241845,4.0
20,2022/03/13,AK,1165,241845,4.0
21,2022/03/14,AK,1165,242358,2.0
22,2022/03/15,AK,1165,242358,4.0
23,2022/03/16,AK,1166,242815,3.0
24,2022/03/17,AK,1166,242815,7.0
25,2022/03/18,AK,1166,243316,3.0
26,2022/03/19,AK,1166,243316,9.0
27,2022/03/20,AK,1166,243316,5.0
28,2022/03/21,AK,1166,243672,4.0
29,2022/03/22,AK,1166,243672,5.0
30,2022/03/23,AK,1186,244247,5.0
31,2022/03/24,AK,1186,244247,6.0
32,2022/03/25,AK,1186,244800,4.0
33,2022/03/26,AK,1186,244800,5.0
34,2022/03/27,AK,1186,244800,2.0
35,2022/03/28,AK,1186,244800,6.0
36,2022/03/29,AK,1186,244800,2.0
37,2022/03/30,AK,1192,245619,4.0
38,2022/03/31,AK,1192,245619,5.0
39,2022/04/01,AK,1192,246144,6.0
40,2022/04/02,AK,1192,246144,8.0
41,2022/04/03,AK,1192,246144,3.0
42,2022/04/04,AK,1192,246144,4.0
43,2022/04/05,AK,1192,246144,3.0
44,2022/04/06,AK,1192,247078,1.0
45,2022/04/07,AK,1192,247078,8.0
46,2022/04/08,AK,1192,247078,7.0
47,2022/04/09,AK,1192,247078,3.0
48,2022/04/10,AK,1192,247078,1.0
49,2022/04/11,AK,1192,247078,6.0
50,2022/04/12,AK,1192,247078,1.0
51,2022/04/13,AK,1196,248375,7.0
52,2022/04/14,AK,1196,248375,1.0
53,2022/04/15,AK,1196,248375,6.0
54,2022/04/16,AK,1196,248375,5.0
55,2022/04/17,AK,1196,248375,3.0
56,2022/04/18,AK,1196,248375,3.0
57,2022/04/19,AK,1196,248375,5.0
58,2022/04/20,AK,1209,249901,6.0
59,2022/04/21,AK,1209,249901,3.0
60,2022/04/22,AK,1209,249901,6.0
61,2022/04/23,AK,1209,249901,2.0
62,2022/04/24,AK,1209,249901,9.0
63,2022/04/25,AK,1209,249901,8.0
64,2022/04/26,AK,1209,249901,6.0
65,2022/04/27,AK,1212,251388,7.0
66,2022/04/28,AK,1212,251388,0.0
67,2022/04/29,AK,1212,251388,7.0
68,2022/04/30,AK,1212,251388,1.0
69,2022/05/01,AK,1212,251388,6.0
70,2022/05/02,AK,1212,251388,7.0
71,2022/05/03,AK,1212,251388,4.0
72,2022/05/04,AK,1213,252847,5.0
73,2022/05/05,AK,1213,252847,6.0
74,2022/05/06,AK,1213,252847,7.0
75,2022/05/07,AK,1213,252847,6.0
76,2022/05/08,AK,1213,252847,7.0
77,2022/05/09,AK,1213,252847,8.0
78,2022/05/10,AK,1213,252847,9.0
79,2022/05/11,AK,1228,254467,9.0
80,2022/05/12,AK,1228,254467,3.0
81,2022/05/13,AK,1228,254467,7.0
82,2022/05/14,AK,1228,254467,4.0
83,2022/05/15,AK,1228,254467,5.0
84,2022/05/16,AK,1228,254467,0.0
85,2022/05/17,AK,1228,254467,5.0
86,2022/05/18,AK,1246,256415,6.0
87,2022/05/19,AK,1246,256415,6.0
88,2022/05/20,AK,1246,256415,6.0
89,2022/05/21,AK,1246,256415,11.0
90,2022/05/22,AK,1246,256415,8.0
91,2022/05/23,AK,1246,256415,8.0
92,2022/05/24,AK,1246,256415,7.0
93,2022/05/25,AK,1246,258867,7.0
94,2022/05/26,AK,1246,258867,9.0
95,2022/05/27,AK,1246,258867,13.0
