,date,state,death,case,hosp
0,2022/02/21,AL,17933,1273484,95.0
1,2022/02/22,AL,17938,1274123,105.0
2,2022/02/23,AL,18007,1275355,106.0
3,2022/02/24,AL,18102,1276580,79.0
4,2022/02/25,AL,18186,1277837,107.0
5,2022/02/26,AL,18225,1279006,94.0
6,2022/02/27,AL,18225,1279364,60.0
7,2022/02/28,AL,18225,1279565,74.0
8,2022/03/01,AL,18287,1280351,57.0
9,2022/03/02,AL,18335,1281610,64.0
10,2022/03/03,AL,18407,1282372,55.0
11,2022/03/04,AL,18480,1282945,67.0
12,2022/03/05,AL,18480,1282945,58.0
13,2022/03/06,AL,18480,1282945,52.0
14,2022/03/07,AL,18569,1286655,48.0
15,2022/03/08,AL,18648,1287286,48.0
16,2022/03/09,AL,18694,1287822,54.0
17,2022/03/10,AL,18766,1288454,39.0
18,2022/03/11,AL,18832,1288999,51.0
19,2022/03/12,AL,18832,1288999,26.0
20,2022/03/13,AL,18832,1288999,26.0
21,2022/03/14,AL,18890,1289510,36.0
22,2022/03/15,AL,18943,1289727,28.0
23,2022/03/16,AL,18944,1290165,38.0
24,2022/03/17,AL,18998,1290692,28.0
25,2022/03/18,AL,19038,1291186,26.0
26,2022/03/19,AL,19038,1291186,18.0
27,2022/03/20,AL,19038,1291186,14.0
28,2022/03/21,AL,19093,1291561,21.0
29,2022/03/22,AL,19139,1291761,20.0
30,2022/03/23,AL,19169,1291946,25.0
31,2022/03/24,AL,19173,1292344,22.0
32,2022/03/25,AL,19210,1292508,25.0
33,2022/03/26,AL,19210,1292508,15.0
34,2022/03/27,AL,19210,1292508,16.0
35,2022/03/28,AL,19234,1294532,12.0
36,2022/03/29,AL,19280,1294816,20.0
37,2022/03/30,AL,19284,1295069,24.0
38,2022/03/31,AL,19290,1295327,15.0
39,2022/04/01,AL,19313,1295468,19.0
40,2022/04/02,AL,19313,1295468,16.0
41,2022/04/03,AL,19313,1295468,13.0
42,2022/04/04,AL,19336,1295901,13.0
43,2022/04/05,AL,19362,1296137,16.0
44,2022/04/06,AL,19374,1296357,22.0
45,2022/04/07,AL,19374,1296558,23.0
46,2022/04/08,AL,19376,1296730,14.0
47,2022/04/09,AL,19376,1296730,15.0
48,2022/04/10,AL,19376,1296730,10.0
49,2022/04/11,AL,19379,1297091,9.0
50,2022/04/12,AL,19417,1297305,12.0
51,2022/04/13,AL,19441,1297461,10.0
52,2022/04/14,AL,19475,1297649,14.0
53,2022/04/15,AL,19502,1297869,24.0
54,2022/04/16,AL,19502,1297869,15.0
55,2022/04/17,AL,19502,1297869,16.0
56,2022/04/18,AL,19502,1297869,9.0
57,2022/04/19,AL,19513,1298473,10.0
58,2022/04/20,AL,19524,1298626,18.0
59,2022/04/21,AL,19529,1298880,12.0
60,2022/04/22,AL,19541,1299137,10.0
61,2022/04/23,AL,19541,1299137,28.0
62,2022/04/24,AL,19541,1299137,18.0
63,2022/04/25,AL,19545,1299816,24.0
64,2022/04/26,AL,19545,1300076,20.0
65,2022/04/27,AL,19559,1300278,23.0
66,2022/04/28,AL,19561,1300511,17.0
67,2022/04/29,AL,19567,1300733,13.0
68,2022/04/30,AL,19567,1300733,14.0
69,2022/05/01,AL,19567,1300733,14.0
70,2022/05/02,AL,19570,1301171,11.0
71,2022/05/03,AL,19585,1301463,14.0
72,2022/05/04,AL,19590,1301805,10.0
73,2022/05/05,AL,19593,1302155,42.0
74,2022/05/06,AL,19601,1302397,10.0
75,2022/05/07,AL,19601,1302397,19.0
76,2022/05/08,AL,19601,1302397,14.0
77,2022/05/09,AL,19601,1302945,19.0
78,2022/05/10,AL,19606,1303441,17.0
79,2022/05/11,AL,19606,1303835,24.0
80,2022/05/12,AL,19623,1304291,27.0
81,2022/05/13,AL,19628,1304710,33.0
82,2022/05/14,AL,19628,1304710,25.0
83,2022/05/15,AL,19628,1304710,23.0
84,2022/05/16,AL,19631,1305665,17.0
85,2022/05/17,AL,19633,1306116,25.0
86,2022/05/18,AL,19633,1306662,25.0
87,2022/05/19,AL,19641,1307291,23.0
88,2022/05/20,AL,19645,1307883,22.0
89,2022/05/21,AL,19645,1307883,32.0
90,2022/05/22,AL,19645,1307883,18.0
91,2022/05/23,AL,19649,1309185,19.0
92,2022/05/24,AL,19650,1309743,26.0
93,2022/05/25,AL,19651,1310513,41.0
94,2022/05/26,AL,19651,1311381,22.0
95,2022/05/27,AL,19658,1312437,22.0
