,date,state,death,case,hosp
0,2022/02/21,AR,10292,815299,60.0
1,2022/02/22,AR,10305,816168,74.0
2,2022/02/23,AR,10341,817227,58.0
3,2022/02/24,AR,10381,817798,51.0
4,2022/02/25,AR,10425,818121,49.0
5,2022/02/26,AR,10465,818931,47.0
6,2022/02/27,AR,10497,819426,41.0
7,2022/02/28,AR,10524,819984,39.0
8,2022/03/01,AR,10579,820677,47.0
9,2022/03/02,AR,10611,821236,48.0
10,2022/03/03,AR,10661,821717,61.0
11,2022/03/04,AR,10681,822202,47.0
12,2022/03/05,AR,10699,822900,35.0
13,2022/03/06,AR,10713,823210,26.0
14,2022/03/07,AR,10724,823532,22.0
15,2022/03/08,AR,10760,823926,31.0
16,2022/03/09,AR,10799,824469,42.0
17,2022/03/10,AR,10836,824988,29.0
18,2022/03/11,AR,10864,825653,33.0
19,2022/03/12,AR,10892,826201,38.0
20,2022/03/13,AR,10922,826570,18.0
21,2022/03/14,AR,10950,826913,18.0
22,2022/03/15,AR,10971,827336,24.0
23,2022/03/16,AR,10999,827709,15.0
24,2022/03/17,AR,11030,828166,22.0
25,2022/03/18,AR,11053,828889,19.0
26,2022/03/19,AR,11078,830020,19.0
27,2022/03/20,AR,11100,830310,17.0
28,2022/03/21,AR,11114,831091,10.0
29,2022/03/22,AR,11127,831698,8.0
30,2022/03/23,AR,11152,831947,24.0
31,2022/03/24,AR,11165,832205,10.0
32,2022/03/25,AR,11203,832394,16.0
33,2022/03/26,AR,11209,832515,16.0
34,2022/03/27,AR,11210,832553,17.0
35,2022/03/28,AR,11211,832574,10.0
36,2022/03/29,AR,11211,832718,8.0
37,2022/03/30,AR,11218,832815,15.0
38,2022/03/31,AR,11230,832922,11.0
39,2022/04/01,AR,11237,833029,8.0
40,2022/04/02,AR,11251,833090,6.0
41,2022/04/03,AR,11265,833128,7.0
42,2022/04/04,AR,11280,833163,10.0
43,2022/04/05,AR,11290,833265,12.0
44,2022/04/06,AR,11296,833380,13.0
45,2022/04/07,AR,11301,833485,8.0
46,2022/04/08,AR,11301,833595,12.0
47,2022/04/09,AR,11305,833655,10.0
48,2022/04/10,AR,11308,833685,5.0
49,2022/04/11,AR,11313,833718,12.0
50,2022/04/12,AR,11316,833821,13.0
51,2022/04/13,AR,11325,833948,6.0
52,2022/04/14,AR,11332,834037,5.0
53,2022/04/15,AR,11336,834112,6.0
54,2022/04/16,AR,11339,834200,7.0
55,2022/04/17,AR,11348,834231,2.0
56,2022/04/18,AR,11354,834256,4.0
57,2022/04/19,AR,11354,834361,4.0
58,2022/04/20,AR,11360,834553,8.0
59,2022/04/21,AR,11366,834699,11.0
60,2022/04/22,AR,11369,834864,7.0
61,2022/04/23,AR,11369,834946,8.0
62,2022/04/24,AR,11371,834995,10.0
63,2022/04/25,AR,11373,835035,6.0
64,2022/04/26,AR,11375,835247,3.0
65,2022/04/27,AR,11377,835408,8.0
66,2022/04/28,AR,11381,835598,7.0
67,2022/04/29,AR,11385,835737,6.0
68,2022/04/30,AR,11389,835857,7.0
69,2022/05/01,AR,11392,835916,4.0
70,2022/05/02,AR,11394,835983,7.0
71,2022/05/03,AR,11398,836117,4.0
72,2022/05/04,AR,11403,836343,4.0
73,2022/05/05,AR,11403,836622,15.0
74,2022/05/06,AR,11404,836829,8.0
75,2022/05/07,AR,11407,837030,8.0
76,2022/05/08,AR,11408,837154,8.0
77,2022/05/09,AR,11409,837216,7.0
78,2022/05/10,AR,11409,837475,14.0
79,2022/05/11,AR,11410,837719,6.0
80,2022/05/12,AR,11415,837977,8.0
81,2022/05/13,AR,11415,838251,10.0
82,2022/05/14,AR,11415,838470,8.0
83,2022/05/15,AR,11416,838610,9.0
84,2022/05/16,AR,11418,838684,4.0
85,2022/05/17,AR,11418,838971,10.0
86,2022/05/18,AR,11426,839433,11.0
87,2022/05/19,AR,11426,839836,13.0
88,2022/05/20,AR,11432,840151,17.0
89,2022/05/21,AR,11438,840444,8.0
90,2022/05/22,AR,11445,840590,16.0
91,2022/05/23,AR,11446,840678,12.0
92,2022/05/24,AR,11451,841119,9.0
93,2022/05/25,AR,11461,841675,14.0
94,2022/05/26,AR,11468,842048,13.0
95,2022/05/27,AR,11471,842439,13.0
