,date,state,death,case,hosp
0,2022/02/21,AZ,27622,1967704,133.0
1,2022/02/22,AZ,27751,1970442,202.0
2,2022/02/23,AZ,27790,1971678,148.0
3,2022/02/24,AZ,27876,1973479,165.0
4,2022/02/25,AZ,27931,1975252,168.0
5,2022/02/26,AZ,27946,1976890,135.0
6,2022/02/27,AZ,27946,1976890,101.0
7,2022/02/28,AZ,27946,1976890,97.0
8,2022/03/01,AZ,27946,1976890,145.0
9,2022/03/02,AZ,27947,1980769,153.0
10,2022/03/03,AZ,27947,1980769,118.0
11,2022/03/04,AZ,27947,1980769,115.0
12,2022/03/05,AZ,27947,1980769,102.0
13,2022/03/06,AZ,27947,1980769,105.0
14,2022/03/07,AZ,27947,1980769,71.0
15,2022/03/08,AZ,27947,1980769,104.0
16,2022/03/09,AZ,28097,1987318,100.0
17,2022/03/10,AZ,28097,1987318,107.0
18,2022/03/11,AZ,28097,1987318,92.0
19,2022/03/12,AZ,28097,1987318,86.0
20,2022/03/13,AZ,28097,1987318,74.0
21,2022/03/14,AZ,28097,1987318,56.0
22,2022/03/15,AZ,28097,1987318,65.0
23,2022/03/16,AZ,28547,1992471,71.0
24,2022/03/17,AZ,28547,1992471,70.0
25,2022/03/18,AZ,28547,1992471,77.0
26,2022/03/19,AZ,28547,1992471,59.0
27,2022/03/20,AZ,28547,1992471,39.0
28,2022/03/21,AZ,28547,1992471,53.0
29,2022/03/22,AZ,28547,1992471,70.0
30,2022/03/23,AZ,28883,1997037,71.0
31,2022/03/24,AZ,28883,1997037,60.0
32,2022/03/25,AZ,28883,1997037,47.0
33,2022/03/26,AZ,28883,1997037,65.0
34,2022/03/27,AZ,28883,1997037,55.0
35,2022/03/28,AZ,28883,1997037,41.0
36,2022/03/29,AZ,28883,1997037,38.0
37,2022/03/30,AZ,29268,2007180,42.0
38,2022/03/31,AZ,29268,2007180,37.0
39,2022/04/01,AZ,29268,2007180,54.0
40,2022/04/02,AZ,29268,2007180,54.0
41,2022/04/03,AZ,29268,2007180,42.0
42,2022/04/04,AZ,29268,2007180,46.0
43,2022/04/05,AZ,29268,2007180,51.0
44,2022/04/06,AZ,29681,2014020,49.0
45,2022/04/07,AZ,29681,2014020,52.0
46,2022/04/08,AZ,29681,2014020,50.0
47,2022/04/09,AZ,29681,2014020,35.0
48,2022/04/10,AZ,29681,2014020,40.0
49,2022/04/11,AZ,29681,2014020,29.0
50,2022/04/12,AZ,29681,2014020,52.0
51,2022/04/13,AZ,29823,2016797,33.0
52,2022/04/14,AZ,29823,2016797,36.0
53,2022/04/15,AZ,29823,2016797,33.0
54,2022/04/16,AZ,29823,2016797,36.0
55,2022/04/17,AZ,29823,2016797,31.0
56,2022/04/18,AZ,29823,2016797,34.0
57,2022/04/19,AZ,29823,2016797,45.0
58,2022/04/20,AZ,29852,2019174,32.0
59,2022/04/21,AZ,29852,2019174,33.0
60,2022/04/22,AZ,29852,2019174,36.0
61,2022/04/23,AZ,29852,2019174,41.0
62,2022/04/24,AZ,29852,2019174,28.0
63,2022/04/25,AZ,29852,2019174,46.0
64,2022/04/26,AZ,29852,2019174,29.0
65,2022/04/27,AZ,29951,2021524,39.0
66,2022/04/28,AZ,29951,2021524,34.0
67,2022/04/29,AZ,29951,2021524,36.0
68,2022/04/30,AZ,29951,2021524,42.0
69,2022/05/01,AZ,29951,2021524,35.0
70,2022/05/02,AZ,29951,2021524,48.0
71,2022/05/03,AZ,29951,2021524,45.0
72,2022/05/04,AZ,30189,2025435,41.0
73,2022/05/05,AZ,30189,2025435,54.0
74,2022/05/06,AZ,30189,2025435,49.0
75,2022/05/07,AZ,30189,2025435,39.0
76,2022/05/08,AZ,30189,2025435,48.0
77,2022/05/09,AZ,30189,2025435,42.0
78,2022/05/10,AZ,30189,2025435,44.0
79,2022/05/11,AZ,30230,2030925,56.0
80,2022/05/12,AZ,30230,2030925,60.0
81,2022/05/13,AZ,30230,2030925,56.0
82,2022/05/14,AZ,30230,2030925,53.0
83,2022/05/15,AZ,30230,2030925,66.0
84,2022/05/16,AZ,30230,2030925,48.0
85,2022/05/17,AZ,30230,2030925,43.0
86,2022/05/18,AZ,30259,2038129,61.0
87,2022/05/19,AZ,30259,2038129,59.0
88,2022/05/20,AZ,30259,2038129,58.0
89,2022/05/21,AZ,30259,2038129,61.0
90,2022/05/22,AZ,30259,2038129,61.0
91,2022/05/23,AZ,30259,2038129,59.0
92,2022/05/24,AZ,30259,2038129,61.0
93,2022/05/25,AZ,30299,2049627,49.0
94,2022/05/26,AZ,30299,2049627,69.0
95,2022/05/27,AZ,30299,2049627,60.0
