,date,state,death,case,hosp
0,2022/02/21,CA,84109,8892924,476.0
1,2022/02/22,CA,84437,8921012,524.0
2,2022/02/23,CA,84580,8929279,570.0
3,2022/02/24,CA,84832,8943492,524.0
4,2022/02/25,CA,85078,8956818,490.0
5,2022/02/26,CA,85142,8958993,459.0
6,2022/02/27,CA,85142,8958993,386.0
7,2022/02/28,CA,85564,8975648,355.0
8,2022/03/01,CA,85682,8978975,468.0
9,2022/03/02,CA,85975,8984737,435.0
10,2022/03/03,CA,86135,8995103,424.0
11,2022/03/04,CA,86345,9001579,394.0
12,2022/03/05,CA,86394,9002938,377.0
13,2022/03/06,CA,86429,9003101,290.0
14,2022/03/07,CA,86731,9013699,266.0
15,2022/03/08,CA,86818,9016956,299.0
16,2022/03/09,CA,87032,9021781,329.0
17,2022/03/10,CA,87197,9028579,289.0
18,2022/03/11,CA,87322,9033744,301.0
19,2022/03/12,CA,87386,9035301,255.0
20,2022/03/13,CA,87386,9035301,203.0
21,2022/03/14,CA,87665,9044007,205.0
22,2022/03/15,CA,87713,9045596,263.0
23,2022/03/16,CA,87869,9048717,231.0
24,2022/03/17,CA,88015,9054556,241.0
25,2022/03/18,CA,88131,9061041,237.0
26,2022/03/19,CA,88156,9064239,187.0
27,2022/03/20,CA,88162,9064239,166.0
28,2022/03/21,CA,88322,9073409,153.0
29,2022/03/22,CA,88367,9074703,228.0
30,2022/03/23,CA,88461,9079164,178.0
31,2022/03/24,CA,88571,9084013,161.0
32,2022/03/25,CA,88689,9087644,201.0
33,2022/03/26,CA,88708,9088616,164.0
34,2022/03/27,CA,88709,9088616,155.0
35,2022/03/28,CA,88814,9094047,105.0
36,2022/03/29,CA,88838,9095335,151.0
37,2022/03/30,CA,88942,9098492,163.0
38,2022/03/31,CA,89018,9103954,133.0
39,2022/04/01,CA,89076,9108198,132.0
40,2022/04/02,CA,89076,9108202,136.0
41,2022/04/03,CA,89078,9108202,94.0
42,2022/04/04,CA,89120,9110544,125.0
43,2022/04/05,CA,89240,9117579,160.0
44,2022/04/06,CA,89273,9118671,138.0
45,2022/04/07,CA,89324,9119878,144.0
46,2022/04/08,CA,89426,9132016,133.0
47,2022/04/09,CA,89429,9132019,136.0
48,2022/04/10,CA,89438,9132019,104.0
49,2022/04/11,CA,89484,9134794,99.0
50,2022/04/12,CA,89514,9135719,151.0
51,2022/04/13,CA,89554,9136777,114.0
52,2022/04/14,CA,89629,9151205,123.0
53,2022/04/15,CA,89744,9158440,138.0
54,2022/04/16,CA,89744,9158440,128.0
55,2022/04/17,CA,89752,9158448,123.0
56,2022/04/18,CA,89785,9161719,111.0
57,2022/04/19,CA,89877,9171994,155.0
58,2022/04/20,CA,89915,9173336,142.0
59,2022/04/21,CA,89947,9175454,146.0
60,2022/04/22,CA,90090,9191757,154.0
61,2022/04/23,CA,90090,9191757,145.0
62,2022/04/24,CA,90093,9191757,121.0
63,2022/04/25,CA,90123,9196288,105.0
64,2022/04/26,CA,90221,9212572,181.0
65,2022/04/27,CA,90237,9214424,167.0
66,2022/04/28,CA,90277,9216851,150.0
67,2022/04/29,CA,90419,9235920,163.0
68,2022/04/30,CA,90419,9235936,161.0
69,2022/05/01,CA,90422,9235936,179.0
70,2022/05/02,CA,90440,9241769,146.0
71,2022/05/03,CA,90541,9261139,160.0
72,2022/05/04,CA,90571,9263998,189.0
73,2022/05/05,CA,90581,9266946,196.0
74,2022/05/06,CA,90704,9289686,208.0
75,2022/05/07,CA,90704,9289709,216.0
76,2022/05/08,CA,90706,9289709,172.0
77,2022/05/09,CA,90712,9296769,178.0
78,2022/05/10,CA,90822,9321533,199.0
79,2022/05/11,CA,90804,9324886,240.0
80,2022/05/12,CA,90818,9328408,236.0
81,2022/05/13,CA,90959,9351229,249.0
82,2022/05/14,CA,90961,9351253,230.0
83,2022/05/15,CA,90961,9351253,260.0
84,2022/05/16,CA,90986,9359245,264.0
85,2022/05/17,CA,91058,9398846,309.0
86,2022/05/18,CA,91067,9402566,291.0
87,2022/05/19,CA,91079,9407260,308.0
88,2022/05/20,CA,91203,9449358,335.0
89,2022/05/21,CA,91203,9449407,322.0
90,2022/05/22,CA,91209,9449407,271.0
91,2022/05/23,CA,91231,9461626,287.0
92,2022/05/24,CA,91316,9505145,316.0
93,2022/05/25,CA,91340,9509990,376.0
94,2022/05/26,CA,91353,9516167,369.0
95,2022/05/27,CA,91462,9557283,382.0
