,date,state,death,case,hosp
0,2022/02/21,CO,11916,1310206,59.0
1,2022/02/22,CO,11939,1312380,68.0
2,2022/02/23,CO,11964,1314638,53.0
3,2022/02/24,CO,11980,1315667,43.0
4,2022/02/25,CO,11988,1317069,65.0
5,2022/02/26,CO,11988,1317067,68.0
6,2022/02/27,CO,11995,1317628,36.0
7,2022/02/28,CO,12007,1319806,45.0
8,2022/03/01,CO,12028,1320858,37.0
9,2022/03/02,CO,12035,1321703,38.0
10,2022/03/03,CO,12047,1322851,38.0
11,2022/03/04,CO,12049,1323629,45.0
12,2022/03/05,CO,12051,1323810,22.0
13,2022/03/06,CO,12051,1323915,31.0
14,2022/03/07,CO,12066,1326570,26.0
15,2022/03/08,CO,12069,1327442,34.0
16,2022/03/09,CO,12078,1328601,32.0
17,2022/03/10,CO,12081,1329539,33.0
18,2022/03/11,CO,12083,1330660,25.0
19,2022/03/12,CO,12085,1330917,29.0
20,2022/03/13,CO,12086,1331116,15.0
21,2022/03/14,CO,12103,1332202,17.0
22,2022/03/15,CO,12114,1333327,19.0
23,2022/03/16,CO,12119,1334999,24.0
24,2022/03/17,CO,12134,1336171,16.0
25,2022/03/18,CO,12136,1336772,18.0
26,2022/03/19,CO,12136,1336772,33.0
27,2022/03/20,CO,12136,1337264,14.0
28,2022/03/21,CO,12139,1339661,17.0
29,2022/03/22,CO,12174,1341385,27.0
30,2022/03/23,CO,12186,1342319,21.0
31,2022/03/24,CO,12186,1344289,14.0
32,2022/03/25,CO,12160,1346297,14.0
33,2022/03/26,CO,12160,1346297,18.0
34,2022/03/27,CO,12160,1346297,11.0
35,2022/03/28,CO,12170,1347795,16.0
36,2022/03/29,CO,12171,1348873,16.0
37,2022/03/30,CO,12173,1350125,15.0
38,2022/03/31,CO,12174,1351404,20.0
39,2022/04/01,CO,12175,1352688,14.0
40,2022/04/02,CO,12175,1352688,15.0
41,2022/04/03,CO,12174,1352676,10.0
42,2022/04/04,CO,12177,1353873,11.0
43,2022/04/05,CO,12179,1354799,8.0
44,2022/04/06,CO,12198,1358449,11.0
45,2022/04/07,CO,12197,1359754,14.0
46,2022/04/08,CO,12199,1361839,21.0
47,2022/04/09,CO,12199,1361839,14.0
48,2022/04/10,CO,12199,1361839,13.0
49,2022/04/11,CO,12208,1364849,14.0
50,2022/04/12,CO,12231,1365841,8.0
51,2022/04/13,CO,12243,1367421,19.0
52,2022/04/14,CO,12222,1369106,7.0
53,2022/04/15,CO,12243,1371100,22.0
54,2022/04/16,CO,12243,1371100,20.0
55,2022/04/17,CO,12243,1371100,25.0
56,2022/04/18,CO,12247,1373038,13.0
57,2022/04/19,CO,12249,1375284,25.0
58,2022/04/20,CO,12242,1376583,32.0
59,2022/04/21,CO,12273,1378980,31.0
60,2022/04/22,CO,12293,1381226,22.0
61,2022/04/23,CO,12293,1381445,25.0
62,2022/04/24,CO,12293,1381450,20.0
63,2022/04/25,CO,12311,1383372,27.0
64,2022/04/26,CO,12321,1384887,27.0
65,2022/04/27,CO,12356,1385903,26.0
66,2022/04/28,CO,12359,1387221,26.0
67,2022/04/29,CO,12366,1389860,16.0
68,2022/04/30,CO,12366,1389860,27.0
69,2022/05/01,CO,12366,1390127,18.0
70,2022/05/02,CO,12367,1391617,39.0
71,2022/05/03,CO,12602,1393109,51.0
72,2022/05/04,CO,12671,1394135,35.0
73,2022/05/05,CO,12687,1395573,34.0
74,2022/05/06,CO,12694,1396954,38.0
75,2022/05/07,CO,12694,1396996,29.0
76,2022/05/08,CO,12694,1396996,29.0
77,2022/05/09,CO,12694,1399116,24.0
78,2022/05/10,CO,12703,1401266,35.0
79,2022/05/11,CO,12691,1402436,44.0
80,2022/05/12,CO,12695,1409417,20.0
81,2022/05/13,CO,12701,1412121,46.0
82,2022/05/14,CO,12703,1414799,42.0
83,2022/05/15,CO,12703,1414799,44.0
84,2022/05/16,CO,12706,1417370,33.0
85,2022/05/17,CO,12707,1419689,45.0
86,2022/05/18,CO,12709,1421004,43.0
87,2022/05/19,CO,12717,1424031,47.0
88,2022/05/20,CO,12712,1425871,65.0
89,2022/05/21,CO,12712,1426381,47.0
90,2022/05/22,CO,12712,1426381,43.0
91,2022/05/23,CO,12710,1428924,49.0
92,2022/05/24,CO,12716,1431592,49.0
93,2022/05/25,CO,12719,1433308,43.0
94,2022/05/26,CO,12719,1442032,64.0
95,2022/05/27,CO,12746,1445162,55.0
