,date,state,death,case,hosp
0,2022/02/21,CT,10374,720618,40.0
1,2022/02/22,CT,10374,720956,45.0
2,2022/02/23,CT,10438,721496,44.0
3,2022/02/24,CT,10443,721954,34.0
4,2022/02/25,CT,10465,722377,45.0
5,2022/02/26,CT,10465,722377,25.0
6,2022/02/27,CT,10465,722377,24.0
7,2022/02/28,CT,10470,723389,29.0
8,2022/03/01,CT,10471,723559,42.0
9,2022/03/02,CT,10512,723812,28.0
10,2022/03/03,CT,10515,724401,26.0
11,2022/03/04,CT,10543,724833,25.0
12,2022/03/05,CT,10543,724833,13.0
13,2022/03/06,CT,10543,724833,26.0
14,2022/03/07,CT,10542,727542,21.0
15,2022/03/08,CT,10591,728733,31.0
16,2022/03/09,CT,10609,729063,26.0
17,2022/03/10,CT,10615,729354,23.0
18,2022/03/11,CT,10648,729697,24.0
19,2022/03/12,CT,10648,729697,28.0
20,2022/03/13,CT,10648,729697,31.0
21,2022/03/14,CT,10655,730506,19.0
22,2022/03/15,CT,10675,730811,20.0
23,2022/03/16,CT,10677,731128,21.0
24,2022/03/17,CT,10677,731532,18.0
25,2022/03/18,CT,10717,731868,20.0
26,2022/03/19,CT,10717,731868,20.0
27,2022/03/20,CT,10717,731868,24.0
28,2022/03/21,CT,10723,732471,15.0
29,2022/03/22,CT,10742,732932,25.0
30,2022/03/23,CT,10740,733328,15.0
31,2022/03/24,CT,10744,733767,13.0
32,2022/03/25,CT,10759,734196,18.0
33,2022/03/26,CT,10759,734196,22.0
34,2022/03/27,CT,10759,734196,14.0
35,2022/03/28,CT,10759,735210,21.0
36,2022/03/29,CT,10779,735575,19.0
37,2022/03/30,CT,10779,736033,19.0
38,2022/03/31,CT,10776,736775,14.0
39,2022/04/01,CT,10779,737276,22.0
40,2022/04/02,CT,10779,737276,21.0
41,2022/04/03,CT,10779,737276,16.0
42,2022/04/04,CT,10779,738544,29.0
43,2022/04/05,CT,10793,738976,26.0
44,2022/04/06,CT,10795,739454,24.0
45,2022/04/07,CT,10795,740203,23.0
46,2022/04/08,CT,10801,740894,25.0
47,2022/04/09,CT,10801,740894,25.0
48,2022/04/10,CT,10801,740894,26.0
49,2022/04/11,CT,10802,742730,18.0
50,2022/04/12,CT,10808,743361,37.0
51,2022/04/13,CT,10809,744052,38.0
52,2022/04/14,CT,10809,744459,42.0
53,2022/04/15,CT,10813,745652,29.0
54,2022/04/16,CT,10813,745652,28.0
55,2022/04/17,CT,10813,745652,21.0
56,2022/04/18,CT,10813,747612,36.0
57,2022/04/19,CT,10813,748773,35.0
58,2022/04/20,CT,10825,749783,33.0
59,2022/04/21,CT,10826,750660,56.0
60,2022/04/22,CT,10834,751810,30.0
61,2022/04/23,CT,10834,751810,19.0
62,2022/04/24,CT,10834,751810,38.0
63,2022/04/25,CT,10834,753836,40.0
64,2022/04/26,CT,10838,754924,55.0
65,2022/04/27,CT,10838,755971,56.0
66,2022/04/28,CT,10840,757227,40.0
67,2022/04/29,CT,10850,758281,58.0
68,2022/04/30,CT,10850,758281,52.0
69,2022/05/01,CT,10850,758281,46.0
70,2022/05/02,CT,10851,760370,40.0
71,2022/05/03,CT,10855,762097,45.0
72,2022/05/04,CT,10858,763149,42.0
73,2022/05/05,CT,10858,764569,55.0
74,2022/05/06,CT,10874,766172,48.0
75,2022/05/07,CT,10874,766172,63.0
76,2022/05/08,CT,10874,766172,54.0
77,2022/05/09,CT,10875,770762,65.0
78,2022/05/10,CT,10883,772709,44.0
79,2022/05/11,CT,10883,775101,45.0
80,2022/05/12,CT,10883,777064,71.0
81,2022/05/13,CT,10914,779460,60.0
82,2022/05/14,CT,10914,779460,66.0
83,2022/05/15,CT,10914,779460,49.0
84,2022/05/16,CT,10914,789933,50.0
85,2022/05/17,CT,10922,791690,92.0
86,2022/05/18,CT,10922,793615,57.0
87,2022/05/19,CT,10922,795492,66.0
88,2022/05/20,CT,10926,797616,75.0
89,2022/05/21,CT,10926,797616,73.0
90,2022/05/22,CT,10926,797616,44.0
91,2022/05/23,CT,10926,801078,69.0
92,2022/05/24,CT,10937,802106,81.0
93,2022/05/25,CT,10936,803748,56.0
94,2022/05/26,CT,10941,805329,67.0
95,2022/05/27,CT,10941,806467,65.0
