,date,state,death,case,hosp
0,2022/02/21,DE,2695,255210,6.0
1,2022/02/22,DE,2702,255287,10.0
2,2022/02/23,DE,2703,255385,17.0
3,2022/02/24,DE,2703,256207,12.0
4,2022/02/25,DE,2706,256337,14.0
5,2022/02/26,DE,2709,256447,7.0
6,2022/02/27,DE,2709,256551,10.0
7,2022/02/28,DE,2709,256621,8.0
8,2022/03/01,DE,2711,256656,9.0
9,2022/03/02,DE,2711,256753,6.0
10,2022/03/03,DE,2711,256895,13.0
11,2022/03/04,DE,2713,257065,5.0
12,2022/03/05,DE,2751,257181,14.0
13,2022/03/06,DE,2751,257270,13.0
14,2022/03/07,DE,2751,257325,6.0
15,2022/03/08,DE,2752,257367,8.0
16,2022/03/09,DE,2752,257438,2.0
17,2022/03/10,DE,2753,257848,9.0
18,2022/03/11,DE,2753,258024,8.0
19,2022/03/12,DE,2807,258116,7.0
20,2022/03/13,DE,2807,258185,4.0
21,2022/03/14,DE,2807,258226,2.0
22,2022/03/15,DE,2811,258287,2.0
23,2022/03/16,DE,2812,258347,6.0
24,2022/03/17,DE,2812,258428,12.0
25,2022/03/18,DE,2812,258513,5.0
26,2022/03/19,DE,2833,258595,10.0
27,2022/03/20,DE,2833,258671,7.0
28,2022/03/21,DE,2833,258709,8.0
29,2022/03/22,DE,2835,258737,3.0
30,2022/03/23,DE,2835,258803,11.0
31,2022/03/24,DE,2836,259003,5.0
32,2022/03/25,DE,2837,259185,6.0
33,2022/03/26,DE,2846,259287,2.0
34,2022/03/27,DE,2846,259374,2.0
35,2022/03/28,DE,2846,259405,7.0
36,2022/03/29,DE,2846,259453,9.0
37,2022/03/30,DE,2846,259539,3.0
38,2022/03/31,DE,2846,259647,4.0
39,2022/04/01,DE,2846,259746,6.0
40,2022/04/02,DE,2870,259848,5.0
41,2022/04/03,DE,2870,259927,4.0
42,2022/04/04,DE,2870,259977,4.0
43,2022/04/05,DE,2871,260024,3.0
44,2022/04/06,DE,2871,260119,2.0
45,2022/04/07,DE,2871,260291,7.0
46,2022/04/08,DE,2871,259008,4.0
47,2022/04/09,DE,2884,259118,7.0
48,2022/04/10,DE,2884,259259,3.0
49,2022/04/11,DE,2884,259346,2.0
50,2022/04/12,DE,2884,259419,3.0
51,2022/04/13,DE,2884,259570,2.0
52,2022/04/14,DE,2884,259796,2.0
53,2022/04/15,DE,2894,260041,6.0
54,2022/04/16,DE,2894,260041,7.0
55,2022/04/17,DE,2894,260041,6.0
56,2022/04/18,DE,2894,260476,5.0
57,2022/04/19,DE,2896,260566,1.0
58,2022/04/20,DE,2896,260735,10.0
59,2022/04/21,DE,2896,260918,9.0
60,2022/04/22,DE,2896,261118,9.0
61,2022/04/23,DE,2905,261399,6.0
62,2022/04/24,DE,2905,261399,8.0
63,2022/04/25,DE,2905,261660,9.0
64,2022/04/26,DE,2906,261762,10.0
65,2022/04/27,DE,2906,261958,8.0
66,2022/04/28,DE,2906,262211,9.0
67,2022/04/29,DE,2907,262461,9.0
68,2022/04/30,DE,2907,262461,10.0
69,2022/05/01,DE,2907,262461,8.0
70,2022/05/02,DE,2919,263164,8.0
71,2022/05/03,DE,2919,263269,11.0
72,2022/05/04,DE,2919,263479,23.0
73,2022/05/05,DE,2919,263963,13.0
74,2022/05/06,DE,2928,264376,17.0
75,2022/05/07,DE,2928,264376,14.0
76,2022/05/08,DE,2928,264376,18.0
77,2022/05/09,DE,2928,265472,14.0
78,2022/05/10,DE,2928,265707,13.0
79,2022/05/11,DE,2928,265707,19.0
80,2022/05/12,DE,2928,266673,13.0
81,2022/05/13,DE,2931,267265,11.0
82,2022/05/14,DE,2931,267265,21.0
83,2022/05/15,DE,2931,267265,18.0
84,2022/05/16,DE,2931,268945,18.0
85,2022/05/17,DE,2936,269198,18.0
86,2022/05/18,DE,2936,269818,24.0
87,2022/05/19,DE,2936,270491,16.0
88,2022/05/20,DE,2939,271294,15.0
89,2022/05/21,DE,2939,271294,16.0
90,2022/05/22,DE,2939,271294,18.0
91,2022/05/23,DE,2939,272907,15.0
92,2022/05/24,DE,2942,273207,20.0
93,2022/05/25,DE,2942,273722,15.0
94,2022/05/26,DE,2942,274286,19.0
95,2022/05/27,DE,2956,274899,23.0
