,date,state,death,case,hosp
0,2022/02/21,FL,68902,5780682,345.0
1,2022/02/22,FL,68955,5790325,437.0
2,2022/02/23,FL,68955,5794256,361.0
3,2022/02/24,FL,69553,5797657,380.0
4,2022/02/25,FL,69790,5800599,351.0
5,2022/02/26,FL,69790,5803337,328.0
6,2022/02/27,FL,69790,5803337,273.0
7,2022/02/28,FL,70084,5806510,270.0
8,2022/03/01,FL,70247,5808620,279.0
9,2022/03/02,FL,70247,5810369,282.0
10,2022/03/03,FL,70789,5812552,228.0
11,2022/03/04,FL,70997,5814521,247.0
12,2022/03/05,FL,70997,5816275,200.0
13,2022/03/06,FL,70997,5816275,156.0
14,2022/03/07,FL,71326,5818732,174.0
15,2022/03/08,FL,71326,5820320,226.0
16,2022/03/09,FL,71397,5821833,196.0
17,2022/03/10,FL,71474,5823350,173.0
18,2022/03/11,FL,71860,5824728,147.0
19,2022/03/12,FL,71860,5824728,169.0
20,2022/03/13,FL,71860,5824728,132.0
21,2022/03/14,FL,72039,5827432,117.0
22,2022/03/15,FL,72055,5828601,128.0
23,2022/03/16,FL,72246,5829817,141.0
24,2022/03/17,FL,72443,5831359,126.0
25,2022/03/18,FL,72592,5832733,109.0
26,2022/03/19,FL,72704,5834058,115.0
27,2022/03/20,FL,72704,5834058,105.0
28,2022/03/21,FL,72767,5835800,108.0
29,2022/03/22,FL,72828,5836493,96.0
30,2022/03/23,FL,72880,5838503,122.0
31,2022/03/24,FL,72946,5840070,105.0
32,2022/03/25,FL,73027,5841469,94.0
33,2022/03/26,FL,73027,5841469,99.0
34,2022/03/27,FL,73027,5841469,72.0
35,2022/03/28,FL,73134,5844892,88.0
36,2022/03/29,FL,73136,5846240,111.0
37,2022/03/30,FL,73138,5847587,96.0
38,2022/03/31,FL,73244,5849949,103.0
39,2022/04/01,FL,73282,5851512,98.0
40,2022/04/02,FL,73290,5853175,73.0
41,2022/04/03,FL,73290,5853175,72.0
42,2022/04/04,FL,73409,5855342,72.0
43,2022/04/05,FL,73411,5856778,86.0
44,2022/04/06,FL,73456,5858937,112.0
45,2022/04/07,FL,73496,5860656,89.0
46,2022/04/08,FL,73538,5862817,104.0
47,2022/04/09,FL,73555,5864866,85.0
48,2022/04/10,FL,73555,5864866,89.0
49,2022/04/11,FL,73583,5867926,88.0
50,2022/04/12,FL,73588,5870034,99.0
51,2022/04/13,FL,73622,5872586,110.0
52,2022/04/14,FL,73656,5875505,106.0
53,2022/04/15,FL,73689,5878404,121.0
54,2022/04/16,FL,73689,5878404,133.0
55,2022/04/17,FL,73689,5878404,107.0
56,2022/04/18,FL,73738,5885218,125.0
57,2022/04/19,FL,73738,5888264,120.0
58,2022/04/20,FL,73759,5891834,131.0
59,2022/04/21,FL,73789,5895595,129.0
60,2022/04/22,FL,73830,5899188,145.0
61,2022/04/23,FL,73830,5899188,125.0
62,2022/04/24,FL,73830,5899188,109.0
63,2022/04/25,FL,73864,5908193,130.0
64,2022/04/26,FL,73869,5911764,169.0
65,2022/04/27,FL,73897,5916354,180.0
66,2022/04/28,FL,73928,5920992,180.0
67,2022/04/29,FL,73948,5925668,161.0
68,2022/04/30,FL,73948,5925668,180.0
69,2022/05/01,FL,73948,5925668,155.0
70,2022/05/02,FL,74005,5936763,161.0
71,2022/05/03,FL,74010,5941724,196.0
72,2022/05/04,FL,74008,5946185,209.0
73,2022/05/05,FL,74039,5952643,217.0
74,2022/05/06,FL,74060,5958618,210.0
75,2022/05/07,FL,74085,5964125,228.0
76,2022/05/08,FL,74085,5964125,187.0
77,2022/05/09,FL,74108,5965411,199.0
78,2022/05/10,FL,74113,5978814,237.0
79,2022/05/11,FL,74133,5986538,259.0
80,2022/05/12,FL,74158,5994350,222.0
81,2022/05/13,FL,74178,5997998,300.0
82,2022/05/14,FL,74178,5997998,264.0
83,2022/05/15,FL,74178,5997998,254.0
84,2022/05/16,FL,74239,6021780,264.0
85,2022/05/17,FL,74241,6030141,286.0
86,2022/05/18,FL,74272,6039475,338.0
87,2022/05/19,FL,74295,6049740,319.0
88,2022/05/20,FL,74330,6058248,324.0
89,2022/05/21,FL,74330,6067606,287.0
90,2022/05/22,FL,74330,6067606,337.0
91,2022/05/23,FL,74374,6081013,311.0
92,2022/05/24,FL,74378,6090530,373.0
93,2022/05/25,FL,74400,6102614,392.0
94,2022/05/26,FL,74435,6114014,394.0
95,2022/05/27,FL,74466,6125115,384.0
