,date,state,death,case,hosp
0,2022/02/21,GA,33543,2385578,156.0
1,2022/02/22,GA,33630,2386839,185.0
2,2022/02/23,GA,33737,2388880,182.0
3,2022/02/24,GA,33843,2390997,336.0
4,2022/02/25,GA,33958,2392516,348.0
5,2022/02/26,GA,33958,2392516,341.0
6,2022/02/27,GA,33958,2392516,287.0
7,2022/02/28,GA,34053,2395050,248.0
8,2022/03/01,GA,34164,2396446,230.0
9,2022/03/02,GA,34230,2397749,270.0
10,2022/03/03,GA,34333,2398885,243.0
11,2022/03/04,GA,34406,2400173,254.0
12,2022/03/05,GA,34406,2400173,232.0
13,2022/03/06,GA,34406,2400173,206.0
14,2022/03/07,GA,34471,2401996,183.0
15,2022/03/08,GA,34566,2402922,191.0
16,2022/03/09,GA,34641,2404173,205.0
17,2022/03/10,GA,34741,2405387,205.0
18,2022/03/11,GA,34804,2406374,219.0
19,2022/03/12,GA,34804,2406374,153.0
20,2022/03/13,GA,34804,2406374,129.0
21,2022/03/14,GA,34857,2407705,33.0
22,2022/03/15,GA,34901,2408886,63.0
23,2022/03/16,GA,34970,2410207,66.0
24,2022/03/17,GA,35044,2411217,57.0
25,2022/03/18,GA,35109,2412266,47.0
26,2022/03/19,GA,35109,2412266,46.0
27,2022/03/20,GA,35109,2412266,39.0
28,2022/03/21,GA,35174,2413577,37.0
29,2022/03/22,GA,35212,2414069,52.0
30,2022/03/23,GA,35254,2414539,38.0
31,2022/03/24,GA,35302,2415259,48.0
32,2022/03/25,GA,35364,2415900,48.0
33,2022/03/26,GA,35364,2415900,47.0
34,2022/03/27,GA,35364,2415900,33.0
35,2022/03/28,GA,35416,2417233,36.0
36,2022/03/29,GA,35459,2417820,41.0
37,2022/03/30,GA,35511,2426737,40.0
38,2022/03/31,GA,35571,2429552,47.0
39,2022/04/01,GA,35636,2430374,36.0
40,2022/04/02,GA,35636,2430374,35.0
41,2022/04/03,GA,35636,2430374,26.0
42,2022/04/04,GA,35704,2431329,34.0
43,2022/04/05,GA,35751,2431750,44.0
44,2022/04/06,GA,35800,2432257,38.0
45,2022/04/07,GA,35847,2432754,33.0
46,2022/04/08,GA,35911,2433184,30.0
47,2022/04/09,GA,35911,2433184,28.0
48,2022/04/10,GA,35911,2433184,33.0
49,2022/04/11,GA,35943,2434702,32.0
50,2022/04/12,GA,35969,2435197,35.0
51,2022/04/13,GA,35999,2435807,38.0
52,2022/04/14,GA,36042,2436297,26.0
53,2022/04/15,GA,36087,2437015,37.0
54,2022/04/16,GA,36087,2437015,31.0
55,2022/04/17,GA,36087,2437015,34.0
56,2022/04/18,GA,36087,2437291,33.0
57,2022/04/19,GA,36087,2437291,39.0
58,2022/04/20,GA,36217,2439765,32.0
59,2022/04/21,GA,36217,2439765,31.0
60,2022/04/22,GA,36217,2439765,29.0
61,2022/04/23,GA,36217,2439765,30.0
62,2022/04/24,GA,36217,2439765,32.0
63,2022/04/25,GA,36217,2439847,20.0
64,2022/04/26,GA,36217,2439847,33.0
65,2022/04/27,GA,36349,2445476,39.0
66,2022/04/28,GA,36349,2445476,32.0
67,2022/04/29,GA,36349,2445476,28.0
68,2022/04/30,GA,36349,2445476,30.0
69,2022/05/01,GA,36349,2445476,43.0
70,2022/05/02,GA,36349,2445607,32.0
71,2022/05/03,GA,36349,2445607,33.0
72,2022/05/04,GA,36498,2452012,45.0
73,2022/05/05,GA,36498,2452012,44.0
74,2022/05/06,GA,36498,2452012,42.0
75,2022/05/07,GA,36498,2452012,48.0
76,2022/05/08,GA,36498,2452012,36.0
77,2022/05/09,GA,36498,2452132,33.0
78,2022/05/10,GA,36498,2452132,44.0
79,2022/05/11,GA,36605,2460845,35.0
80,2022/05/12,GA,36605,2460845,43.0
81,2022/05/13,GA,36605,2460845,43.0
82,2022/05/14,GA,36605,2460845,48.0
83,2022/05/15,GA,36605,2460845,51.0
84,2022/05/16,GA,36605,2460878,57.0
85,2022/05/17,GA,36605,2460878,52.0
86,2022/05/18,GA,36674,2471438,54.0
87,2022/05/19,GA,36674,2471438,62.0
88,2022/05/20,GA,36674,2471438,60.0
89,2022/05/21,GA,36674,2471438,57.0
90,2022/05/22,GA,36674,2471438,50.0
91,2022/05/23,GA,36674,2471540,53.0
92,2022/05/24,GA,36674,2471540,55.0
93,2022/05/25,GA,36714,2485185,62.0
94,2022/05/26,GA,36714,2485185,56.0
95,2022/05/27,GA,36714,2485185,54.0
