,date,state,death,case,hosp
0,2022/02/21,HI,1301,228934,16.0
1,2022/02/22,HI,1301,229083,18.0
2,2022/02/23,HI,1301,229199,18.0
3,2022/02/24,HI,1309,229477,17.0
4,2022/02/25,HI,1318,229771,8.0
5,2022/02/26,HI,1327,230097,10.0
6,2022/02/27,HI,1331,230317,11.0
7,2022/02/28,HI,1331,230458,10.0
8,2022/03/01,HI,1331,230575,9.0
9,2022/03/02,HI,1338,230714,14.0
10,2022/03/03,HI,1341,231006,12.0
11,2022/03/04,HI,1345,231222,7.0
12,2022/03/05,HI,1350,231395,7.0
13,2022/03/06,HI,1351,231572,9.0
14,2022/03/07,HI,1351,231659,7.0
15,2022/03/08,HI,1351,231722,12.0
16,2022/03/09,HI,1351,231844,14.0
17,2022/03/10,HI,1351,231844,8.0
18,2022/03/11,HI,1351,231844,9.0
19,2022/03/12,HI,1351,231844,6.0
20,2022/03/13,HI,1351,231844,7.0
21,2022/03/14,HI,1351,231844,4.0
22,2022/03/15,HI,1351,231844,6.0
23,2022/03/16,HI,1365,232845,9.0
24,2022/03/17,HI,1365,232845,6.0
25,2022/03/18,HI,1365,232845,5.0
26,2022/03/19,HI,1365,232845,7.0
27,2022/03/20,HI,1365,232845,3.0
28,2022/03/21,HI,1365,232845,2.0
29,2022/03/22,HI,1365,232845,6.0
30,2022/03/23,HI,1370,233569,3.0
31,2022/03/24,HI,1370,233569,2.0
32,2022/03/25,HI,1370,233569,4.0
33,2022/03/26,HI,1370,233569,4.0
34,2022/03/27,HI,1370,233569,3.0
35,2022/03/28,HI,1370,233569,8.0
36,2022/03/29,HI,1370,233569,4.0
37,2022/03/30,HI,1376,234659,3.0
38,2022/03/31,HI,1376,234659,6.0
39,2022/04/01,HI,1376,234659,7.0
40,2022/04/02,HI,1376,234659,3.0
41,2022/04/03,HI,1376,234659,6.0
42,2022/04/04,HI,1376,234659,2.0
43,2022/04/05,HI,1376,234659,3.0
44,2022/04/06,HI,1379,235797,9.0
45,2022/04/07,HI,1379,235797,5.0
46,2022/04/08,HI,1379,235797,4.0
47,2022/04/09,HI,1379,235797,4.0
48,2022/04/10,HI,1379,235797,5.0
49,2022/04/11,HI,1379,235797,4.0
50,2022/04/12,HI,1379,235797,7.0
51,2022/04/13,HI,1387,237097,3.0
52,2022/04/14,HI,1387,237097,6.0
53,2022/04/15,HI,1387,237097,3.0
54,2022/04/16,HI,1387,237097,6.0
55,2022/04/17,HI,1387,237097,2.0
56,2022/04/18,HI,1387,237097,4.0
57,2022/04/19,HI,1387,237097,15.0
58,2022/04/20,HI,1404,238763,7.0
59,2022/04/21,HI,1404,238763,6.0
60,2022/04/22,HI,1404,238763,6.0
61,2022/04/23,HI,1404,238763,8.0
62,2022/04/24,HI,1404,238763,5.0
63,2022/04/25,HI,1404,238763,15.0
64,2022/04/26,HI,1404,238763,8.0
65,2022/04/27,HI,1415,241955,6.0
66,2022/04/28,HI,1415,241955,10.0
67,2022/04/29,HI,1415,241955,11.0
68,2022/04/30,HI,1415,241955,11.0
69,2022/05/01,HI,1415,241955,5.0
70,2022/05/02,HI,1415,241955,8.0
71,2022/05/03,HI,1415,241955,10.0
72,2022/05/04,HI,1425,246110,14.0
73,2022/05/05,HI,1425,246110,10.0
74,2022/05/06,HI,1425,246110,7.0
75,2022/05/07,HI,1425,246110,16.0
76,2022/05/08,HI,1425,246110,11.0
77,2022/05/09,HI,1425,246110,13.0
78,2022/05/10,HI,1425,246110,14.0
79,2022/05/11,HI,1431,251759,16.0
80,2022/05/12,HI,1431,251759,12.0
81,2022/05/13,HI,1431,251759,18.0
82,2022/05/14,HI,1431,251759,16.0
83,2022/05/15,HI,1431,251759,14.0
84,2022/05/16,HI,1431,251759,22.0
85,2022/05/17,HI,1431,251759,16.0
86,2022/05/18,HI,1443,258781,24.0
87,2022/05/19,HI,1443,258781,16.0
88,2022/05/20,HI,1443,258781,19.0
89,2022/05/21,HI,1443,258781,24.0
90,2022/05/22,HI,1443,258781,23.0
91,2022/05/23,HI,1443,258781,28.0
92,2022/05/24,HI,1443,258781,13.0
93,2022/05/25,HI,1448,267602,29.0
94,2022/05/26,HI,1448,267602,22.0
95,2022/05/27,HI,1448,267602,26.0
