,date,state,death,case,hosp
0,2022/02/21,IA,8948,745530,33.0
1,2022/02/22,IA,8948,746825,50.0
2,2022/02/23,IA,9085,747703,43.0
3,2022/02/24,IA,9085,748057,41.0
4,2022/02/25,IA,9085,748057,30.0
5,2022/02/26,IA,9085,748849,40.0
6,2022/02/27,IA,9085,748849,25.0
7,2022/02/28,IA,9085,748849,19.0
8,2022/03/01,IA,9085,754073,33.0
9,2022/03/02,IA,9171,754511,32.0
10,2022/03/03,IA,9171,755022,38.0
11,2022/03/04,IA,9171,755022,19.0
12,2022/03/05,IA,9171,755547,20.0
13,2022/03/06,IA,9171,755547,21.0
14,2022/03/07,IA,9171,755547,27.0
15,2022/03/08,IA,9171,755968,17.0
16,2022/03/09,IA,9262,756257,23.0
17,2022/03/10,IA,9262,756359,22.0
18,2022/03/11,IA,9262,756359,31.0
19,2022/03/12,IA,9262,756778,19.0
20,2022/03/13,IA,9262,756778,10.0
21,2022/03/14,IA,9262,756778,13.0
22,2022/03/15,IA,9262,757017,21.0
23,2022/03/16,IA,9349,757265,20.0
24,2022/03/17,IA,9349,757334,12.0
25,2022/03/18,IA,9349,757334,13.0
26,2022/03/19,IA,9349,757551,9.0
27,2022/03/20,IA,9349,757551,8.0
28,2022/03/21,IA,9349,757551,7.0
29,2022/03/22,IA,9349,757807,14.0
30,2022/03/23,IA,9402,757985,18.0
31,2022/03/24,IA,9402,758064,13.0
32,2022/03/25,IA,9402,758064,9.0
33,2022/03/26,IA,9402,758294,11.0
34,2022/03/27,IA,9402,758294,5.0
35,2022/03/28,IA,9402,758294,7.0
36,2022/03/29,IA,9402,758463,17.0
37,2022/03/30,IA,9445,758463,10.0
38,2022/03/31,IA,9445,758463,14.0
39,2022/04/01,IA,9445,758463,16.0
40,2022/04/02,IA,9445,759048,9.0
41,2022/04/03,IA,9445,759048,9.0
42,2022/04/04,IA,9445,759048,12.0
43,2022/04/05,IA,9445,759175,14.0
44,2022/04/06,IA,9454,759393,9.0
45,2022/04/07,IA,9454,759475,4.0
46,2022/04/08,IA,9454,759475,6.0
47,2022/04/09,IA,9454,759721,11.0
48,2022/04/10,IA,9454,759721,7.0
49,2022/04/11,IA,9454,759721,10.0
50,2022/04/12,IA,9454,760025,12.0
51,2022/04/13,IA,9475,760293,15.0
52,2022/04/14,IA,9475,760377,13.0
53,2022/04/15,IA,9475,760377,9.0
54,2022/04/16,IA,9475,760781,12.0
55,2022/04/17,IA,9475,760781,9.0
56,2022/04/18,IA,9475,760781,5.0
57,2022/04/19,IA,9475,761116,14.0
58,2022/04/20,IA,9510,761356,17.0
59,2022/04/21,IA,9510,761487,16.0
60,2022/04/22,IA,9510,761487,17.0
61,2022/04/23,IA,9510,762036,17.0
62,2022/04/24,IA,9510,762036,12.0
63,2022/04/25,IA,9510,762036,16.0
64,2022/04/26,IA,9510,762557,19.0
65,2022/04/27,IA,9529,763072,19.0
66,2022/04/28,IA,9529,763188,17.0
67,2022/04/29,IA,9529,763188,18.0
68,2022/04/30,IA,9529,763782,15.0
69,2022/05/01,IA,9529,763782,23.0
70,2022/05/02,IA,9529,763782,17.0
71,2022/05/03,IA,9529,764451,19.0
72,2022/05/04,IA,9533,765186,22.0
73,2022/05/05,IA,9533,765490,20.0
74,2022/05/06,IA,9533,765490,24.0
75,2022/05/07,IA,9533,766593,18.0
76,2022/05/08,IA,9533,766593,23.0
77,2022/05/09,IA,9533,766593,14.0
78,2022/05/10,IA,9533,767422,30.0
79,2022/05/11,IA,9555,768358,32.0
80,2022/05/12,IA,9555,768869,29.0
81,2022/05/13,IA,9555,768869,27.0
82,2022/05/14,IA,9555,770128,29.0
83,2022/05/15,IA,9555,770128,22.0
84,2022/05/16,IA,9555,770128,24.0
85,2022/05/17,IA,9555,771256,23.0
86,2022/05/18,IA,9572,772205,34.0
87,2022/05/19,IA,9572,772498,27.0
88,2022/05/20,IA,9572,772498,33.0
89,2022/05/21,IA,9572,773855,32.0
90,2022/05/22,IA,9572,773855,19.0
91,2022/05/23,IA,9572,773855,21.0
92,2022/05/24,IA,9572,775157,25.0
93,2022/05/25,IA,9588,776165,25.0
94,2022/05/26,IA,9588,776520,24.0
95,2022/05/27,IA,9588,776520,38.0
