,date,state,death,case,hosp
0,2022/02/21,ID,4678,414604,11.0
1,2022/02/22,ID,4705,416961,25.0
2,2022/02/23,ID,4717,419271,24.0
3,2022/02/24,ID,4724,421682,21.0
4,2022/02/25,ID,4732,423731,19.0
5,2022/02/26,ID,4732,423731,23.0
6,2022/02/27,ID,4732,423731,12.0
7,2022/02/28,ID,4753,426256,9.0
8,2022/03/01,ID,4765,427831,10.0
9,2022/03/02,ID,4774,429571,14.0
10,2022/03/03,ID,4774,431010,12.0
11,2022/03/04,ID,4790,432574,15.0
12,2022/03/05,ID,4790,432574,19.0
13,2022/03/06,ID,4790,432574,14.0
14,2022/03/07,ID,4799,434248,17.0
15,2022/03/08,ID,4799,435074,12.0
16,2022/03/09,ID,4810,436126,14.0
17,2022/03/10,ID,4818,437151,19.0
18,2022/03/11,ID,4823,438022,13.0
19,2022/03/12,ID,4823,438022,7.0
20,2022/03/13,ID,4823,438022,10.0
21,2022/03/14,ID,4823,439194,8.0
22,2022/03/15,ID,4823,440019,8.0
23,2022/03/16,ID,4835,440874,6.0
24,2022/03/17,ID,4838,441467,7.0
25,2022/03/18,ID,4838,442029,4.0
26,2022/03/19,ID,4838,442029,5.0
27,2022/03/20,ID,4838,442029,3.0
28,2022/03/21,ID,4838,442701,2.0
29,2022/03/22,ID,4864,443124,7.0
30,2022/03/23,ID,4863,443399,9.0
31,2022/03/24,ID,4867,443570,8.0
32,2022/03/25,ID,4869,443640,2.0
33,2022/03/26,ID,4869,443640,4.0
34,2022/03/27,ID,4869,443640,0.0
35,2022/03/28,ID,4871,443755,2.0
36,2022/03/29,ID,4873,443881,3.0
37,2022/03/30,ID,4876,444019,2.0
38,2022/03/31,ID,4876,444090,3.0
39,2022/04/01,ID,4879,444298,2.0
40,2022/04/02,ID,4879,444298,6.0
41,2022/04/03,ID,4879,444298,1.0
42,2022/04/04,ID,4886,444511,2.0
43,2022/04/05,ID,4890,444587,2.0
44,2022/04/06,ID,4895,444613,5.0
45,2022/04/07,ID,4895,444676,4.0
46,2022/04/08,ID,4898,444727,3.0
47,2022/04/09,ID,4898,444727,3.0
48,2022/04/10,ID,4898,444727,5.0
49,2022/04/11,ID,4900,444847,4.0
50,2022/04/12,ID,4908,444959,1.0
51,2022/04/13,ID,4908,445002,5.0
52,2022/04/14,ID,4914,445107,1.0
53,2022/04/15,ID,4916,445144,8.0
54,2022/04/16,ID,4916,445144,4.0
55,2022/04/17,ID,4916,445144,2.0
56,2022/04/18,ID,4917,445270,3.0
57,2022/04/19,ID,4917,445275,2.0
58,2022/04/20,ID,4921,445454,6.0
59,2022/04/21,ID,4921,445461,6.0
60,2022/04/22,ID,4925,445646,7.0
61,2022/04/23,ID,4925,445646,8.0
62,2022/04/24,ID,4925,445646,9.0
63,2022/04/25,ID,4925,445773,7.0
64,2022/04/26,ID,4925,445778,5.0
65,2022/04/27,ID,4926,445921,8.0
66,2022/04/28,ID,4926,445926,5.0
67,2022/04/29,ID,4930,446138,4.0
68,2022/04/30,ID,4930,446138,6.0
69,2022/05/01,ID,4930,446138,7.0
70,2022/05/02,ID,4930,446325,8.0
71,2022/05/03,ID,4930,446330,8.0
72,2022/05/04,ID,4931,446648,4.0
73,2022/05/05,ID,4931,446651,12.0
74,2022/05/06,ID,4931,446956,4.0
75,2022/05/07,ID,4931,446956,8.0
76,2022/05/08,ID,4931,446956,4.0
77,2022/05/09,ID,4933,447257,6.0
78,2022/05/10,ID,4933,447267,8.0
79,2022/05/11,ID,4933,447645,8.0
80,2022/05/12,ID,4933,447655,8.0
81,2022/05/13,ID,4936,448014,6.0
82,2022/05/14,ID,4936,448014,5.0
83,2022/05/15,ID,4936,448014,5.0
84,2022/05/16,ID,4937,448374,3.0
85,2022/05/17,ID,4937,448388,12.0
86,2022/05/18,ID,4939,448864,12.0
87,2022/05/19,ID,4939,448876,14.0
88,2022/05/20,ID,4939,449364,10.0
89,2022/05/21,ID,4939,449364,8.0
90,2022/05/22,ID,4939,449364,7.0
91,2022/05/23,ID,4942,449790,10.0
92,2022/05/24,ID,4942,449801,10.0
93,2022/05/25,ID,4942,450450,12.0
94,2022/05/26,ID,4942,450473,8.0
95,2022/05/27,ID,4943,451055,11.0
