,date,state,death,case,hosp
0,2022/02/21,IL,36360,3019135,113.0
1,2022/02/22,IL,36516,3025329,162.0
2,2022/02/23,IL,36614,3028052,167.0
3,2022/02/24,IL,36694,3030066,137.0
4,2022/02/25,IL,36792,3032190,134.0
5,2022/02/26,IL,36792,3032190,114.0
6,2022/02/27,IL,36792,3032190,91.0
7,2022/02/28,IL,36910,3036705,91.0
8,2022/03/01,IL,36953,3038507,110.0
9,2022/03/02,IL,37010,3040100,115.0
10,2022/03/03,IL,37054,3041322,94.0
11,2022/03/04,IL,37108,3042622,91.0
12,2022/03/05,IL,37108,3042622,91.0
13,2022/03/06,IL,37108,3042622,73.0
14,2022/03/07,IL,37151,3045351,69.0
15,2022/03/08,IL,37180,3046409,79.0
16,2022/03/09,IL,37214,3048034,89.0
17,2022/03/10,IL,37271,3049442,85.0
18,2022/03/11,IL,37310,3051272,81.0
19,2022/03/12,IL,37310,3051272,66.0
20,2022/03/13,IL,37310,3051272,48.0
21,2022/03/14,IL,37345,3053590,44.0
22,2022/03/15,IL,37392,3055131,92.0
23,2022/03/16,IL,37419,3056169,62.0
24,2022/03/17,IL,37438,3057341,66.0
25,2022/03/18,IL,37459,3058721,74.0
26,2022/03/19,IL,37459,3058721,67.0
27,2022/03/20,IL,37459,3058721,54.0
28,2022/03/21,IL,37479,3061163,47.0
29,2022/03/22,IL,37534,3062600,64.0
30,2022/03/23,IL,37554,3063751,75.0
31,2022/03/24,IL,37571,3065509,58.0
32,2022/03/25,IL,37589,3066843,56.0
33,2022/03/26,IL,37589,3066843,64.0
34,2022/03/27,IL,37589,3066843,42.0
35,2022/03/28,IL,37611,3069359,43.0
36,2022/03/29,IL,37631,3070932,55.0
37,2022/03/30,IL,37645,3072239,63.0
38,2022/03/31,IL,37667,3073830,62.0
39,2022/04/01,IL,37684,3075243,71.0
40,2022/04/02,IL,37684,3075243,64.0
41,2022/04/03,IL,37684,3075243,46.0
42,2022/04/04,IL,37691,3078238,42.0
43,2022/04/05,IL,37727,3080034,78.0
44,2022/04/06,IL,37738,3082210,51.0
45,2022/04/07,IL,37751,3083782,71.0
46,2022/04/08,IL,37764,3086087,77.0
47,2022/04/09,IL,37764,3086087,72.0
48,2022/04/10,IL,37764,3086087,53.0
49,2022/04/11,IL,37777,3090590,45.0
50,2022/04/12,IL,37789,3092335,60.0
51,2022/04/13,IL,37800,3094402,56.0
52,2022/04/14,IL,37806,3097741,53.0
53,2022/04/15,IL,37815,3100157,69.0
54,2022/04/16,IL,37815,3100157,57.0
55,2022/04/17,IL,37815,3100157,55.0
56,2022/04/18,IL,37823,3105932,44.0
57,2022/04/19,IL,37830,3108399,72.0
58,2022/04/20,IL,37840,3112315,60.0
59,2022/04/21,IL,37849,3115918,85.0
60,2022/04/22,IL,37859,3119711,95.0
61,2022/04/23,IL,37859,3119711,93.0
62,2022/04/24,IL,37859,3119711,73.0
63,2022/04/25,IL,37867,3127885,86.0
64,2022/04/26,IL,37872,3130382,119.0
65,2022/04/27,IL,37881,3133795,125.0
66,2022/04/28,IL,37888,3138397,106.0
67,2022/04/29,IL,37898,3144294,75.0
68,2022/04/30,IL,37898,3144347,103.0
69,2022/05/01,IL,37898,3144347,88.0
70,2022/05/02,IL,37906,3153353,84.0
71,2022/05/03,IL,37919,3157387,129.0
72,2022/05/04,IL,37934,3163121,109.0
73,2022/05/05,IL,37949,3167273,123.0
74,2022/05/06,IL,37956,3174977,132.0
75,2022/05/07,IL,37956,3174977,113.0
76,2022/05/08,IL,37956,3174977,85.0
77,2022/05/09,IL,37966,3189426,103.0
78,2022/05/10,IL,37982,3194739,118.0
79,2022/05/11,IL,37994,3200925,154.0
80,2022/05/12,IL,37997,3206588,167.0
81,2022/05/13,IL,38005,3215032,167.0
82,2022/05/14,IL,38005,3215032,145.0
83,2022/05/15,IL,38005,3215032,152.0
84,2022/05/16,IL,38013,3231905,136.0
85,2022/05/17,IL,38028,3237197,171.0
86,2022/05/18,IL,38041,3242954,167.0
87,2022/05/19,IL,38056,3250491,171.0
88,2022/05/20,IL,38068,3255231,170.0
89,2022/05/21,IL,38068,3255231,192.0
90,2022/05/22,IL,38068,3255231,157.0
91,2022/05/23,IL,38090,3269692,163.0
92,2022/05/24,IL,38103,3273698,155.0
93,2022/05/25,IL,38114,3280087,156.0
94,2022/05/26,IL,38121,3286462,184.0
95,2022/05/27,IL,38127,3292157,213.0
