,date,state,death,case,hosp
0,2022/02/21,IN,22575,1680769,76.0
1,2022/02/22,IN,22629,1681685,106.0
2,2022/02/23,IN,22693,1682604,94.0
3,2022/02/24,IN,22736,1683570,77.0
4,2022/02/25,IN,22800,1684310,83.0
5,2022/02/26,IN,22800,1684310,96.0
6,2022/02/27,IN,22800,1684310,48.0
7,2022/02/28,IN,22843,1685676,56.0
8,2022/03/01,IN,22880,1686214,75.0
9,2022/03/02,IN,22928,1686660,82.0
10,2022/03/03,IN,22963,1687170,62.0
11,2022/03/04,IN,23002,1687733,54.0
12,2022/03/05,IN,23002,1687733,68.0
13,2022/03/06,IN,23002,1687733,50.0
14,2022/03/07,IN,23017,1689177,45.0
15,2022/03/08,IN,23038,1689533,54.0
16,2022/03/09,IN,23115,1690000,42.0
17,2022/03/10,IN,23126,1690382,57.0
18,2022/03/11,IN,23164,1690675,49.0
19,2022/03/12,IN,23164,1690675,56.0
20,2022/03/13,IN,23164,1690675,39.0
21,2022/03/14,IN,23178,1691277,25.0
22,2022/03/15,IN,23193,1691600,47.0
23,2022/03/16,IN,23229,1691929,34.0
24,2022/03/17,IN,23250,1692255,31.0
25,2022/03/18,IN,23290,1692784,35.0
26,2022/03/19,IN,23290,1692784,39.0
27,2022/03/20,IN,23290,1692784,31.0
28,2022/03/21,IN,23300,1693159,28.0
29,2022/03/22,IN,23309,1693377,19.0
30,2022/03/23,IN,23334,1693683,32.0
31,2022/03/24,IN,23340,1693938,26.0
32,2022/03/25,IN,23356,1694163,35.0
33,2022/03/26,IN,23356,1694163,37.0
34,2022/03/27,IN,23356,1694163,26.0
35,2022/03/28,IN,23360,1694598,29.0
36,2022/03/29,IN,23373,1694848,29.0
37,2022/03/30,IN,23373,1690823,29.0
38,2022/03/31,IN,23373,1690823,30.0
39,2022/04/01,IN,23429,1691470,26.0
40,2022/04/02,IN,23429,1691470,23.0
41,2022/04/03,IN,23429,1691470,14.0
42,2022/04/04,IN,23433,1691874,10.0
43,2022/04/05,IN,23433,1691874,17.0
44,2022/04/06,IN,23460,1692248,14.0
45,2022/04/07,IN,23460,1692248,23.0
46,2022/04/08,IN,23479,1692704,29.0
47,2022/04/09,IN,23484,1692704,23.0
48,2022/04/10,IN,23484,1692704,23.0
49,2022/04/11,IN,23486,1693087,28.0
50,2022/04/12,IN,23493,1693087,45.0
51,2022/04/13,IN,23502,1693567,26.0
52,2022/04/14,IN,23509,1693565,15.0
53,2022/04/15,IN,23509,1693565,19.0
54,2022/04/16,IN,23509,1693565,24.0
55,2022/04/17,IN,23509,1693565,18.0
56,2022/04/18,IN,23509,1694955,20.0
57,2022/04/19,IN,23523,1694955,30.0
58,2022/04/20,IN,23523,1695736,29.0
59,2022/04/21,IN,23535,1695736,21.0
60,2022/04/22,IN,23535,1696759,32.0
61,2022/04/23,IN,23535,1696759,35.0
62,2022/04/24,IN,23535,1696759,32.0
63,2022/04/25,IN,23549,1699213,30.0
64,2022/04/26,IN,23552,1699213,36.0
65,2022/04/27,IN,23552,1700774,38.0
66,2022/04/28,IN,23570,1700774,29.0
67,2022/04/29,IN,23570,1702292,47.0
68,2022/04/30,IN,23587,1702292,32.0
69,2022/05/01,IN,23587,1702292,29.0
70,2022/05/02,IN,23587,1703579,32.0
71,2022/05/03,IN,23591,1703579,35.0
72,2022/05/04,IN,23591,1705394,45.0
73,2022/05/05,IN,23591,1705394,46.0
74,2022/05/06,IN,23591,1705394,34.0
75,2022/05/07,IN,23614,1707085,50.0
76,2022/05/08,IN,23614,1707085,28.0
77,2022/05/09,IN,23614,1709350,38.0
78,2022/05/10,IN,23619,1709350,47.0
79,2022/05/11,IN,23619,1711268,48.0
80,2022/05/12,IN,23630,1711268,50.0
81,2022/05/13,IN,23630,1713834,71.0
82,2022/05/14,IN,23636,1713834,70.0
83,2022/05/15,IN,23636,1713834,47.0
84,2022/05/16,IN,23636,1716327,44.0
85,2022/05/17,IN,23640,1716327,56.0
86,2022/05/18,IN,23640,1718495,62.0
87,2022/05/19,IN,23662,1718495,49.0
88,2022/05/20,IN,23662,1721977,62.0
89,2022/05/21,IN,23681,1721977,55.0
90,2022/05/22,IN,23681,1721977,47.0
91,2022/05/23,IN,23681,1724829,53.0
92,2022/05/24,IN,23682,1724829,59.0
93,2022/05/25,IN,23682,1727818,63.0
94,2022/05/26,IN,23692,1727818,58.0
95,2022/05/27,IN,23692,1730761,62.0
