,date,state,death,case,hosp
0,2022/02/21,KS,7936,763740,45.0
1,2022/02/22,KS,7941,763772,71.0
2,2022/02/23,KS,7955,765218,52.0
3,2022/02/24,KS,7955,765220,65.0
4,2022/02/25,KS,7961,766512,57.0
5,2022/02/26,KS,7961,766512,46.0
6,2022/02/27,KS,7961,766512,34.0
7,2022/02/28,KS,7968,766992,41.0
8,2022/03/01,KS,7969,766997,47.0
9,2022/03/02,KS,7997,767939,41.0
10,2022/03/03,KS,8000,767944,33.0
11,2022/03/04,KS,8007,768454,33.0
12,2022/03/05,KS,8007,768454,28.0
13,2022/03/06,KS,8007,768454,22.0
14,2022/03/07,KS,8013,768763,19.0
15,2022/03/08,KS,8015,768821,30.0
16,2022/03/09,KS,8027,769350,25.0
17,2022/03/10,KS,8027,769354,25.0
18,2022/03/11,KS,8035,769730,19.0
19,2022/03/12,KS,8035,769730,28.0
20,2022/03/13,KS,8035,769730,20.0
21,2022/03/14,KS,8060,769951,14.0
22,2022/03/15,KS,8057,769892,32.0
23,2022/03/16,KS,8118,770116,21.0
24,2022/03/17,KS,8118,770117,32.0
25,2022/03/18,KS,8176,770162,20.0
26,2022/03/19,KS,8176,770162,21.0
27,2022/03/20,KS,8176,770162,15.0
28,2022/03/21,KS,8180,770276,16.0
29,2022/03/22,KS,8179,770271,17.0
30,2022/03/23,KS,8222,770530,21.0
31,2022/03/24,KS,8222,770530,18.0
32,2022/03/25,KS,8248,770619,15.0
33,2022/03/26,KS,8248,770619,19.0
34,2022/03/27,KS,8248,770638,14.0
35,2022/03/28,KS,8249,770783,13.0
36,2022/03/29,KS,8248,770780,20.0
37,2022/03/30,KS,8321,771008,17.0
38,2022/03/31,KS,8321,771008,19.0
39,2022/04/01,KS,8413,771200,15.0
40,2022/04/02,KS,8413,771200,8.0
41,2022/04/03,KS,8413,771200,6.0
42,2022/04/04,KS,8421,771214,19.0
43,2022/04/05,KS,8421,771215,18.0
44,2022/04/06,KS,8421,771216,21.0
45,2022/04/07,KS,8421,771216,12.0
46,2022/04/08,KS,8500,771854,7.0
47,2022/04/09,KS,8500,771854,15.0
48,2022/04/10,KS,8500,771924,14.0
49,2022/04/11,KS,8501,772058,13.0
50,2022/04/12,KS,8501,772058,16.0
51,2022/04/13,KS,8501,772058,11.0
52,2022/04/14,KS,8501,772058,6.0
53,2022/04/15,KS,8524,773164,10.0
54,2022/04/16,KS,8524,773164,11.0
55,2022/04/17,KS,8524,773164,3.0
56,2022/04/18,KS,8524,773164,11.0
57,2022/04/19,KS,8524,773332,6.0
58,2022/04/20,KS,8524,773333,14.0
59,2022/04/21,KS,8524,773522,5.0
60,2022/04/22,KS,8597,774680,10.0
61,2022/04/23,KS,8597,774680,9.0
62,2022/04/24,KS,8597,774680,7.0
63,2022/04/25,KS,8597,774680,9.0
64,2022/04/26,KS,8597,774680,17.0
65,2022/04/27,KS,8597,774680,5.0
66,2022/04/28,KS,8597,775088,9.0
67,2022/04/29,KS,8635,776663,11.0
68,2022/04/30,KS,8635,776663,12.0
69,2022/05/01,KS,8635,776663,12.0
70,2022/05/02,KS,8635,776664,5.0
71,2022/05/03,KS,8635,776917,5.0
72,2022/05/04,KS,8635,776919,10.0
73,2022/05/05,KS,8635,777035,6.0
74,2022/05/06,KS,8691,778898,6.0
75,2022/05/07,KS,8691,778898,11.0
76,2022/05/08,KS,8691,778898,15.0
77,2022/05/09,KS,8691,778899,16.0
78,2022/05/10,KS,8691,779101,18.0
79,2022/05/11,KS,8691,779106,15.0
80,2022/05/12,KS,8691,779241,19.0
81,2022/05/13,KS,8720,781743,14.0
82,2022/05/14,KS,8720,781743,14.0
83,2022/05/15,KS,8720,781743,12.0
84,2022/05/16,KS,8720,781743,13.0
85,2022/05/17,KS,8720,781917,18.0
86,2022/05/18,KS,8802,783641,15.0
87,2022/05/19,KS,8802,783743,19.0
88,2022/05/20,KS,8802,783743,14.0
89,2022/05/21,KS,8802,783743,18.0
90,2022/05/22,KS,8802,783743,17.0
91,2022/05/23,KS,8802,783743,10.0
92,2022/05/24,KS,8802,783744,23.0
93,2022/05/25,KS,8939,786777,20.0
94,2022/05/26,KS,8939,786784,26.0
95,2022/05/27,KS,8959,786784,21.0
