,date,state,death,case,hosp
0,2022/02/21,KY,13676,1275660,229.0
1,2022/02/22,KY,13706,1278796,234.0
2,2022/02/23,KY,13740,1281460,231.0
3,2022/02/24,KY,13755,1281954,198.0
4,2022/02/25,KY,13824,1285192,168.0
5,2022/02/26,KY,13832,1285423,135.0
6,2022/02/27,KY,13832,1285538,118.0
7,2022/02/28,KY,13903,1288028,117.0
8,2022/03/01,KY,13934,1290555,127.0
9,2022/03/02,KY,13978,1292722,140.0
10,2022/03/03,KY,14009,1294942,111.0
11,2022/03/04,KY,14069,1296960,102.0
12,2022/03/05,KY,14075,1297193,112.0
13,2022/03/06,KY,14075,1297318,89.0
14,2022/03/07,KY,14136,1299116,97.0
15,2022/03/08,KY,14158,1299443,93.0
16,2022/03/09,KY,14172,1299733,97.0
17,2022/03/10,KY,14182,1300073,92.0
18,2022/03/11,KY,14192,1300413,91.0
19,2022/03/12,KY,14199,1300545,82.0
20,2022/03/13,KY,14199,1300607,71.0
21,2022/03/14,KY,14402,1308354,68.0
22,2022/03/15,KY,14407,1308560,89.0
23,2022/03/16,KY,14412,1309022,85.0
24,2022/03/17,KY,14424,1309941,53.0
25,2022/03/18,KY,14432,1310426,55.0
26,2022/03/19,KY,14441,1310496,54.0
27,2022/03/20,KY,14441,1310548,41.0
28,2022/03/21,KY,14662,1316644,43.0
29,2022/03/22,KY,14666,1316722,41.0
30,2022/03/23,KY,14676,1316778,42.0
31,2022/03/24,KY,14682,1316864,36.0
32,2022/03/25,KY,14683,1317366,42.0
33,2022/03/26,KY,14690,1317400,47.0
34,2022/03/27,KY,14690,1317446,30.0
35,2022/03/28,KY,14898,1322261,19.0
36,2022/03/29,KY,14898,1322323,31.0
37,2022/03/30,KY,14906,1322384,31.0
38,2022/03/31,KY,14907,1322449,36.0
39,2022/04/01,KY,14917,1322770,31.0
40,2022/04/02,KY,14917,1322805,37.0
41,2022/04/03,KY,14917,1322860,28.0
42,2022/04/04,KY,15039,1326159,29.0
43,2022/04/05,KY,15039,1326185,24.0
44,2022/04/06,KY,15045,1326271,34.0
45,2022/04/07,KY,15051,1326304,28.0
46,2022/04/08,KY,15054,1326505,35.0
47,2022/04/09,KY,15054,1326623,19.0
48,2022/04/10,KY,15054,1326658,17.0
49,2022/04/11,KY,15211,1329255,26.0
50,2022/04/12,KY,15212,1329383,30.0
51,2022/04/13,KY,15212,1329496,21.0
52,2022/04/14,KY,15212,1329565,24.0
53,2022/04/15,KY,15213,1329751,23.0
54,2022/04/16,KY,15213,1329879,17.0
55,2022/04/17,KY,15213,1329957,11.0
56,2022/04/18,KY,15305,1332709,20.0
57,2022/04/19,KY,15318,1332829,35.0
58,2022/04/20,KY,15318,1332898,25.0
59,2022/04/21,KY,15322,1332958,28.0
60,2022/04/22,KY,15322,1333203,31.0
61,2022/04/23,KY,15322,1333378,22.0
62,2022/04/24,KY,15322,1333472,19.0
63,2022/04/25,KY,15415,1335771,17.0
64,2022/04/26,KY,15415,1335910,21.0
65,2022/04/27,KY,15415,1336202,15.0
66,2022/04/28,KY,15415,1336403,26.0
67,2022/04/29,KY,15418,1336916,17.0
68,2022/04/30,KY,15418,1337049,18.0
69,2022/05/01,KY,15418,1337141,10.0
70,2022/05/02,KY,15571,1339285,19.0
71,2022/05/03,KY,15571,1339430,25.0
72,2022/05/04,KY,15571,1339678,27.0
73,2022/05/05,KY,15571,1339887,23.0
74,2022/05/06,KY,15572,1340350,33.0
75,2022/05/07,KY,15572,1340525,18.0
76,2022/05/08,KY,15572,1340691,24.0
77,2022/05/09,KY,15736,1343388,26.0
78,2022/05/10,KY,15736,1343760,22.0
79,2022/05/11,KY,15736,1344038,16.0
80,2022/05/12,KY,15736,1344784,22.0
81,2022/05/13,KY,15736,1345754,30.0
82,2022/05/14,KY,15736,1346188,30.0
83,2022/05/15,KY,15736,1346376,33.0
84,2022/05/16,KY,15830,1350621,32.0
85,2022/05/17,KY,15830,1351206,47.0
86,2022/05/18,KY,15830,1351450,47.0
87,2022/05/19,KY,15855,1352662,41.0
88,2022/05/20,KY,15855,1353944,43.0
89,2022/05/21,KY,15855,1354344,30.0
90,2022/05/22,KY,15855,1354606,37.0
91,2022/05/23,KY,15909,1359857,46.0
92,2022/05/24,KY,15909,1360158,40.0
93,2022/05/25,KY,15909,1360542,61.0
94,2022/05/26,KY,15909,1360896,64.0
95,2022/05/27,KY,15909,1361685,48.0
