,date,state,death,case,hosp
0,2022/02/21,LA,16465,1221493,71.0
1,2022/02/22,LA,16518,1223067,78.0
2,2022/02/23,LA,16557,1224028,89.0
3,2022/02/24,LA,16582,1224969,70.0
4,2022/02/25,LA,16606,1225637,65.0
5,2022/02/26,LA,16606,1225637,49.0
6,2022/02/27,LA,16606,1225637,45.0
7,2022/02/28,LA,16606,1225637,57.0
8,2022/03/01,LA,16606,1225637,51.0
9,2022/03/02,LA,16677,1227106,57.0
10,2022/03/03,LA,16711,1227713,48.0
11,2022/03/04,LA,16754,1228045,37.0
12,2022/03/05,LA,16754,1228045,44.0
13,2022/03/06,LA,16754,1228045,33.0
14,2022/03/07,LA,16785,1228580,41.0
15,2022/03/08,LA,16813,1228925,41.0
16,2022/03/09,LA,16832,1229337,34.0
17,2022/03/10,LA,16862,1229511,30.0
18,2022/03/11,LA,16887,1229653,36.0
19,2022/03/12,LA,16887,1229653,24.0
20,2022/03/13,LA,16887,1229653,21.0
21,2022/03/14,LA,16913,1230190,18.0
22,2022/03/15,LA,16950,1230419,34.0
23,2022/03/16,LA,16960,1230609,25.0
24,2022/03/17,LA,16981,1230793,25.0
25,2022/03/18,LA,16996,1230998,25.0
26,2022/03/19,LA,16996,1230998,23.0
27,2022/03/20,LA,16996,1230998,20.0
28,2022/03/21,LA,17016,1231246,23.0
29,2022/03/22,LA,17034,1231393,28.0
30,2022/03/23,LA,17045,1231556,21.0
31,2022/03/24,LA,17065,1231676,18.0
32,2022/03/25,LA,17076,1231846,17.0
33,2022/03/26,LA,17076,1231846,18.0
34,2022/03/27,LA,17076,1231846,21.0
35,2022/03/28,LA,17086,1232044,21.0
36,2022/03/29,LA,17104,1232128,16.0
37,2022/03/30,LA,17117,1232257,17.0
38,2022/03/31,LA,17127,1232422,18.0
39,2022/04/01,LA,17138,1232513,21.0
40,2022/04/02,LA,17138,1232513,17.0
41,2022/04/03,LA,17138,1232513,15.0
42,2022/04/04,LA,17146,1232762,15.0
43,2022/04/05,LA,17154,1233008,19.0
44,2022/04/06,LA,17162,1233225,13.0
45,2022/04/07,LA,17175,1233356,14.0
46,2022/04/08,LA,17177,1233479,22.0
47,2022/04/09,LA,17177,1233479,13.0
48,2022/04/10,LA,17177,1233479,18.0
49,2022/04/11,LA,17182,1233673,13.0
50,2022/04/12,LA,17185,1233871,25.0
51,2022/04/13,LA,17191,1234146,12.0
52,2022/04/14,LA,17194,1234650,17.0
53,2022/04/15,LA,17194,1234650,15.0
54,2022/04/16,LA,17194,1234650,12.0
55,2022/04/17,LA,17194,1234650,17.0
56,2022/04/18,LA,17197,1235193,10.0
57,2022/04/19,LA,17207,1235421,15.0
58,2022/04/20,LA,17213,1235683,21.0
59,2022/04/21,LA,17220,1235893,18.0
60,2022/04/22,LA,17223,1236111,16.0
61,2022/04/23,LA,17223,1236111,16.0
62,2022/04/24,LA,17223,1236111,14.0
63,2022/04/25,LA,17229,1236731,21.0
64,2022/04/26,LA,17235,1236996,25.0
65,2022/04/27,LA,17240,1237321,30.0
66,2022/04/28,LA,17244,1237639,32.0
67,2022/04/29,LA,17248,1238011,25.0
68,2022/04/30,LA,17248,1238011,30.0
69,2022/05/01,LA,17248,1238011,31.0
70,2022/05/02,LA,17262,1238557,33.0
71,2022/05/03,LA,17268,1239063,29.0
72,2022/05/04,LA,17270,1239469,27.0
73,2022/05/05,LA,17273,1239993,22.0
74,2022/05/06,LA,17276,1240538,27.0
75,2022/05/07,LA,17276,1240538,17.0
76,2022/05/08,LA,17276,1240538,25.0
77,2022/05/09,LA,17285,1241504,14.0
78,2022/05/10,LA,17286,1242101,29.0
79,2022/05/11,LA,17290,1242809,24.0
80,2022/05/12,LA,17291,1243693,20.0
81,2022/05/13,LA,17295,1244423,45.0
82,2022/05/14,LA,17295,1244423,35.0
83,2022/05/15,LA,17295,1244423,24.0
84,2022/05/16,LA,17297,1245776,22.0
85,2022/05/17,LA,17301,1246665,49.0
86,2022/05/18,LA,17307,1247925,44.0
87,2022/05/19,LA,17309,1249292,34.0
88,2022/05/20,LA,17313,1250429,53.0
89,2022/05/21,LA,17313,1250429,49.0
90,2022/05/22,LA,17313,1250429,50.0
91,2022/05/23,LA,17315,1251966,54.0
92,2022/05/24,LA,17318,1253093,54.0
93,2022/05/25,LA,17319,1254640,62.0
94,2022/05/26,LA,17321,1255869,56.0
95,2022/05/27,LA,17325,1257148,48.0
