,date,state,death,case,hosp
0,2022/02/21,MA,23109,1661206,44.0
1,2022/02/22,MA,23157,1665586,61.0
2,2022/02/23,MA,23293,1666622,63.0
3,2022/02/24,MA,23341,1668242,63.0
4,2022/02/25,MA,23370,1669594,65.0
5,2022/02/26,MA,23370,1669594,46.0
6,2022/02/27,MA,23370,1669594,42.0
7,2022/02/28,MA,23424,1671292,45.0
8,2022/03/01,MA,23488,1672594,50.0
9,2022/03/02,MA,23525,1673611,47.0
10,2022/03/03,MA,23553,1674777,49.0
11,2022/03/04,MA,23577,1675767,38.0
12,2022/03/05,MA,23577,1675767,37.0
13,2022/03/06,MA,23577,1675767,35.0
14,2022/03/07,MA,23614,1677619,25.0
15,2022/03/08,MA,23679,1678247,39.0
16,2022/03/09,MA,23708,1679034,53.0
17,2022/03/10,MA,23732,1679921,28.0
18,2022/03/11,MA,23751,1680673,25.0
19,2022/03/12,MA,23751,1680673,35.0
20,2022/03/13,MA,23751,1680673,31.0
21,2022/03/14,MA,19981,1682693,24.0
22,2022/03/15,MA,19997,1683224,24.0
23,2022/03/16,MA,20012,1684036,43.0
24,2022/03/17,MA,20023,1685055,32.0
25,2022/03/18,MA,20029,1685937,24.0
26,2022/03/19,MA,20029,1685937,24.0
27,2022/03/20,MA,20029,1685937,29.0
28,2022/03/21,MA,20041,1687720,38.0
29,2022/03/22,MA,20056,1688534,27.0
30,2022/03/23,MA,20058,1689750,37.0
31,2022/03/24,MA,20063,1690983,37.0
32,2022/03/25,MA,20072,1692177,35.0
33,2022/03/26,MA,20072,1692177,39.0
34,2022/03/27,MA,20072,1692177,33.0
35,2022/03/28,MA,20081,1694801,30.0
36,2022/03/29,MA,20097,1695750,28.0
37,2022/03/30,MA,20098,1697165,40.0
38,2022/03/31,MA,20105,1698761,35.0
39,2022/04/01,MA,20115,1700361,35.0
40,2022/04/02,MA,20115,1700361,35.0
41,2022/04/03,MA,20115,1700361,34.0
42,2022/04/04,MA,20121,1703457,33.0
43,2022/04/05,MA,20134,1704668,29.0
44,2022/04/06,MA,20134,1706160,39.0
45,2022/04/07,MA,20141,1708136,36.0
46,2022/04/08,MA,20143,1709900,43.0
47,2022/04/09,MA,20143,1709900,39.0
48,2022/04/10,MA,20143,1709900,47.0
49,2022/04/11,MA,20154,1714167,35.0
50,2022/04/12,MA,20166,1716149,63.0
51,2022/04/13,MA,20167,1718387,64.0
52,2022/04/14,MA,20169,1721642,67.0
53,2022/04/15,MA,20176,1724369,47.0
54,2022/04/16,MA,20176,1724369,49.0
55,2022/04/17,MA,20176,1724369,50.0
56,2022/04/18,MA,20176,1724369,46.0
57,2022/04/19,MA,20181,1731170,79.0
58,2022/04/20,MA,20208,1733156,72.0
59,2022/04/21,MA,20219,1735758,72.0
60,2022/04/22,MA,20222,1738231,84.0
61,2022/04/23,MA,20222,1738231,71.0
62,2022/04/24,MA,20222,1738231,66.0
63,2022/04/25,MA,20237,1743980,69.0
64,2022/04/26,MA,20238,1746596,74.0
65,2022/04/27,MA,20247,1749776,102.0
66,2022/04/28,MA,20257,1753520,93.0
67,2022/04/29,MA,20263,1757103,82.0
68,2022/04/30,MA,20263,1757103,106.0
69,2022/05/01,MA,20263,1757103,75.0
70,2022/05/02,MA,20280,1763854,91.0
71,2022/05/03,MA,20292,1766821,106.0
72,2022/05/04,MA,20303,1770301,111.0
73,2022/05/05,MA,20316,1775311,107.0
74,2022/05/06,MA,20334,1779829,126.0
75,2022/05/07,MA,20334,1779829,120.0
76,2022/05/08,MA,20334,1779829,104.0
77,2022/05/09,MA,20335,1789116,94.0
78,2022/05/10,MA,20357,1792722,138.0
79,2022/05/11,MA,20365,1797308,138.0
80,2022/05/12,MA,20383,1803831,118.0
81,2022/05/13,MA,20393,1809309,124.0
82,2022/05/14,MA,20393,1809309,131.0
83,2022/05/15,MA,20393,1809309,110.0
84,2022/05/16,MA,20409,1821071,120.0
85,2022/05/17,MA,20441,1825247,135.0
86,2022/05/18,MA,20453,1830028,146.0
87,2022/05/19,MA,20468,1835665,129.0
88,2022/05/20,MA,20478,1840292,147.0
89,2022/05/21,MA,20478,1840292,133.0
90,2022/05/22,MA,20478,1840292,128.0
91,2022/05/23,MA,20494,1848655,118.0
92,2022/05/24,MA,20533,1851791,137.0
93,2022/05/25,MA,20544,1855500,150.0
94,2022/05/26,MA,20561,1859460,130.0
95,2022/05/27,MA,20574,1863077,114.0
