,date,state,death,case,hosp
0,2022/02/21,MD,14011,998398,52.0
1,2022/02/22,MD,14049,999151,58.0
2,2022/02/23,MD,14062,999492,57.0
3,2022/02/24,MD,14076,1000153,52.0
4,2022/02/25,MD,14091,1000825,69.0
5,2022/02/26,MD,14105,1001772,44.0
6,2022/02/27,MD,14119,1002153,28.0
7,2022/02/28,MD,14122,1002542,36.0
8,2022/03/01,MD,14135,1002897,53.0
9,2022/03/02,MD,14146,1003302,41.0
10,2022/03/03,MD,14160,1003773,40.0
11,2022/03/04,MD,14171,1004171,45.0
12,2022/03/05,MD,14176,1004553,25.0
13,2022/03/06,MD,14183,1004802,26.0
14,2022/03/07,MD,14188,1005025,25.0
15,2022/03/08,MD,14206,1005319,38.0
16,2022/03/09,MD,14218,1005596,36.0
17,2022/03/10,MD,14229,1005981,34.0
18,2022/03/11,MD,14237,1006327,29.0
19,2022/03/12,MD,14249,1006697,31.0
20,2022/03/13,MD,14261,1006901,27.0
21,2022/03/14,MD,14263,1007047,26.0
22,2022/03/15,MD,14271,1007305,26.0
23,2022/03/16,MD,14280,1007637,30.0
24,2022/03/17,MD,14282,1008012,20.0
25,2022/03/18,MD,14286,1008442,29.0
26,2022/03/19,MD,14293,1008800,23.0
27,2022/03/20,MD,14298,1009004,20.0
28,2022/03/21,MD,14304,1009179,17.0
29,2022/03/22,MD,14303,1009361,17.0
30,2022/03/23,MD,14311,1009607,24.0
31,2022/03/24,MD,14316,1009969,16.0
32,2022/03/25,MD,14318,1010360,24.0
33,2022/03/26,MD,14324,1010761,18.0
34,2022/03/27,MD,14326,1010986,15.0
35,2022/03/28,MD,14327,1011198,13.0
36,2022/03/29,MD,14331,1011475,19.0
37,2022/03/30,MD,14343,1011762,24.0
38,2022/03/31,MD,14345,1012183,19.0
39,2022/04/01,MD,14347,1012621,24.0
40,2022/04/02,MD,14347,1012621,24.0
41,2022/04/03,MD,14347,1012621,14.0
42,2022/04/04,MD,14361,1013660,24.0
43,2022/04/05,MD,14363,1013960,23.0
44,2022/04/06,MD,14365,1014487,20.0
45,2022/04/07,MD,14368,1014978,32.0
46,2022/04/08,MD,14371,1015622,28.0
47,2022/04/09,MD,14371,1015622,20.0
48,2022/04/10,MD,14371,1015622,19.0
49,2022/04/11,MD,14377,1017235,18.0
50,2022/04/12,MD,14385,1017734,15.0
51,2022/04/13,MD,14391,1018190,20.0
52,2022/04/14,MD,14395,1018965,22.0
53,2022/04/15,MD,14398,1019751,30.0
54,2022/04/16,MD,14398,1019751,27.0
55,2022/04/17,MD,14398,1019751,18.0
56,2022/04/18,MD,14401,1020615,24.0
57,2022/04/19,MD,14407,1022489,25.0
58,2022/04/20,MD,14412,1023125,24.0
59,2022/04/21,MD,14418,1024169,27.0
60,2022/04/22,MD,14422,1025184,30.0
61,2022/04/23,MD,14422,1025184,28.0
62,2022/04/24,MD,14422,1025184,24.0
63,2022/04/25,MD,14425,1026189,30.0
64,2022/04/26,MD,14434,1028290,32.0
65,2022/04/27,MD,14441,1029016,33.0
66,2022/04/28,MD,14449,1030408,27.0
67,2022/04/29,MD,14456,1031797,42.0
68,2022/04/30,MD,14456,1031797,41.0
69,2022/05/01,MD,14456,1031797,49.0
70,2022/05/02,MD,14462,1033039,38.0
71,2022/05/03,MD,14477,1035272,48.0
72,2022/05/04,MD,14480,1036603,44.0
73,2022/05/05,MD,14482,1038128,45.0
74,2022/05/06,MD,14486,1040041,47.0
75,2022/05/07,MD,14486,1040041,56.0
76,2022/05/08,MD,14486,1040041,46.0
77,2022/05/09,MD,14495,1041886,40.0
78,2022/05/10,MD,14505,1045986,48.0
79,2022/05/11,MD,14510,1047526,57.0
80,2022/05/12,MD,14519,1049736,53.0
81,2022/05/13,MD,14520,1052203,64.0
82,2022/05/14,MD,14520,1052203,52.0
83,2022/05/15,MD,14520,1052203,67.0
84,2022/05/16,MD,14524,1054812,69.0
85,2022/05/17,MD,14542,1060508,92.0
86,2022/05/18,MD,14545,1062500,90.0
87,2022/05/19,MD,14547,1065270,69.0
88,2022/05/20,MD,14551,1068287,88.0
89,2022/05/21,MD,14551,1068287,89.0
90,2022/05/22,MD,14551,1068287,80.0
91,2022/05/23,MD,14555,1070472,82.0
92,2022/05/24,MD,14569,1076406,82.0
93,2022/05/25,MD,14581,1078389,92.0
94,2022/05/26,MD,14592,1081014,88.0
95,2022/05/27,MD,14594,1083691,75.0
