,date,state,death,case,hosp
0,2022/02/21,ME,1960,218797,10.0
1,2022/02/22,ME,1960,221406,20.0
2,2022/02/23,ME,1971,222925,10.0
3,2022/02/24,ME,2024,224048,8.0
4,2022/02/25,ME,2042,225253,15.0
5,2022/02/26,ME,2064,226120,5.0
6,2022/02/27,ME,2064,226143,11.0
7,2022/02/28,ME,2064,226150,8.0
8,2022/03/01,ME,2065,227332,11.0
9,2022/03/02,ME,2078,228241,7.0
10,2022/03/03,ME,2078,229275,21.0
11,2022/03/04,ME,2109,230273,6.0
12,2022/03/05,ME,2135,230720,11.0
13,2022/03/06,ME,2136,230720,8.0
14,2022/03/07,ME,2136,230720,8.0
15,2022/03/08,ME,2138,231285,5.0
16,2022/03/09,ME,2136,231469,8.0
17,2022/03/10,ME,2140,231758,16.0
18,2022/03/11,ME,2142,232011,5.0
19,2022/03/12,ME,2145,232293,19.0
20,2022/03/13,ME,2145,232293,17.0
21,2022/03/14,ME,2145,232293,6.0
22,2022/03/15,ME,2147,232647,8.0
23,2022/03/16,ME,2167,232953,6.0
24,2022/03/17,ME,2179,233237,9.0
25,2022/03/18,ME,2179,233537,8.0
26,2022/03/19,ME,2182,233696,4.0
27,2022/03/20,ME,2182,233696,8.0
28,2022/03/21,ME,2184,233696,10.0
29,2022/03/22,ME,2188,233968,14.0
30,2022/03/23,ME,2190,234159,9.0
31,2022/03/24,ME,2193,234413,9.0
32,2022/03/25,ME,2193,234651,15.0
33,2022/03/26,ME,2195,234839,8.0
34,2022/03/27,ME,2195,234839,9.0
35,2022/03/28,ME,2195,234839,7.0
36,2022/03/29,ME,2200,235293,14.0
37,2022/03/30,ME,2201,235584,9.0
38,2022/03/31,ME,2202,235790,6.0
39,2022/04/01,ME,2202,236046,9.0
40,2022/04/02,ME,2202,236258,8.0
41,2022/04/03,ME,2202,236258,8.0
42,2022/04/04,ME,2202,236258,11.0
43,2022/04/05,ME,2207,236709,10.0
44,2022/04/06,ME,2208,236985,11.0
45,2022/04/07,ME,2219,237218,10.0
46,2022/04/08,ME,2221,237481,12.0
47,2022/04/09,ME,2222,237717,7.0
48,2022/04/10,ME,2222,237717,10.0
49,2022/04/11,ME,2222,237717,11.0
50,2022/04/12,ME,2269,238169,11.0
51,2022/04/13,ME,2276,238774,11.0
52,2022/04/14,ME,2276,239130,11.0
53,2022/04/15,ME,2276,239649,11.0
54,2022/04/16,ME,2276,240086,7.0
55,2022/04/17,ME,2276,240086,9.0
56,2022/04/18,ME,2276,240086,14.0
57,2022/04/19,ME,2276,240086,13.0
58,2022/04/20,ME,2277,240810,13.0
59,2022/04/21,ME,2278,241249,15.0
60,2022/04/22,ME,2280,241716,12.0
61,2022/04/23,ME,2280,242033,21.0
62,2022/04/24,ME,2280,242033,14.0
63,2022/04/25,ME,2280,242033,14.0
64,2022/04/26,ME,2282,242602,14.0
65,2022/04/27,ME,2282,243128,21.0
66,2022/04/28,ME,2282,243592,19.0
67,2022/04/29,ME,2283,244062,27.0
68,2022/04/30,ME,2286,245080,20.0
69,2022/05/01,ME,2286,245080,16.0
70,2022/05/02,ME,2287,245871,19.0
71,2022/05/03,ME,2291,247069,15.0
72,2022/05/04,ME,2296,248099,27.0
73,2022/05/05,ME,2304,248798,17.0
74,2022/05/06,ME,2316,249728,12.0
75,2022/05/07,ME,2325,250689,18.0
76,2022/05/08,ME,2325,250689,20.0
77,2022/05/09,ME,2325,251134,11.0
78,2022/05/10,ME,2327,251905,24.0
79,2022/05/11,ME,2330,252653,22.0
80,2022/05/12,ME,2332,253654,28.0
81,2022/05/13,ME,2335,254427,18.0
82,2022/05/14,ME,2336,254855,24.0
83,2022/05/15,ME,2336,254855,20.0
84,2022/05/16,ME,2336,255531,12.0
85,2022/05/17,ME,2336,256146,41.0
86,2022/05/18,ME,2337,256958,21.0
87,2022/05/19,ME,2337,257749,26.0
88,2022/05/20,ME,2338,258267,20.0
89,2022/05/21,ME,2343,259058,29.0
90,2022/05/22,ME,2343,259058,21.0
91,2022/05/23,ME,2343,259635,15.0
92,2022/05/24,ME,2344,260471,19.0
93,2022/05/25,ME,2345,261031,12.0
94,2022/05/26,ME,2347,261587,17.0
95,2022/05/27,ME,2347,262097,16.0
