,date,state,death,case,hosp
0,2022/02/21,MI,33960,2337531,135.0
1,2022/02/22,MI,33960,2337531,175.0
2,2022/02/23,MI,34332,2344826,164.0
3,2022/02/24,MI,34332,2344826,118.0
4,2022/02/25,MI,34439,2352318,134.0
5,2022/02/26,MI,34439,2352318,119.0
6,2022/02/27,MI,34439,2352318,90.0
7,2022/02/28,MI,34467,2354772,82.0
8,2022/03/01,MI,34467,2354772,116.0
9,2022/03/02,MI,34727,2357880,126.0
10,2022/03/03,MI,34727,2357880,120.0
11,2022/03/04,MI,34802,2360182,108.0
12,2022/03/05,MI,34802,2360182,92.0
13,2022/03/06,MI,34802,2360182,76.0
14,2022/03/07,MI,34819,2362035,73.0
15,2022/03/08,MI,34819,2362035,106.0
16,2022/03/09,MI,35096,2364186,76.0
17,2022/03/10,MI,35096,2364186,81.0
18,2022/03/11,MI,35149,2366110,69.0
19,2022/03/12,MI,35149,2366110,82.0
20,2022/03/13,MI,35149,2366110,48.0
21,2022/03/14,MI,35171,2367648,46.0
22,2022/03/15,MI,35171,2367648,63.0
23,2022/03/16,MI,35314,2369750,74.0
24,2022/03/17,MI,35314,2369750,62.0
25,2022/03/18,MI,35379,2372750,59.0
26,2022/03/19,MI,35379,2372750,65.0
27,2022/03/20,MI,35379,2372750,55.0
28,2022/03/21,MI,35386,2374455,46.0
29,2022/03/22,MI,35386,2374455,58.0
30,2022/03/23,MI,35493,2376507,55.0
31,2022/03/24,MI,35493,2376507,63.0
32,2022/03/25,MI,35532,2378395,49.0
33,2022/03/26,MI,35532,2378395,59.0
34,2022/03/27,MI,35532,2378395,37.0
35,2022/03/28,MI,35538,2379828,44.0
36,2022/03/29,MI,35538,2379828,42.0
37,2022/03/30,MI,35622,2381800,45.0
38,2022/03/31,MI,35622,2381800,52.0
39,2022/04/01,MI,35666,2383197,46.0
40,2022/04/02,MI,35666,2383197,50.0
41,2022/04/03,MI,35666,2383197,49.0
42,2022/04/04,MI,35666,2383197,43.0
43,2022/04/05,MI,35666,2383197,52.0
44,2022/04/06,MI,35736,2386934,53.0
45,2022/04/07,MI,35736,2387517,56.0
46,2022/04/08,MI,35736,2387517,49.0
47,2022/04/09,MI,35736,2387517,51.0
48,2022/04/10,MI,35736,2387517,53.0
49,2022/04/11,MI,35736,2387517,50.0
50,2022/04/12,MI,35736,2387517,59.0
51,2022/04/13,MI,35817,2395209,56.0
52,2022/04/14,MI,35817,2395209,64.0
53,2022/04/15,MI,35857,2400990,72.0
54,2022/04/16,MI,35857,2400990,62.0
55,2022/04/17,MI,35857,2400990,54.0
56,2022/04/18,MI,35857,2400990,66.0
57,2022/04/19,MI,35857,2400990,51.0
58,2022/04/20,MI,35895,2405644,73.0
59,2022/04/21,MI,35935,2411464,66.0
60,2022/04/22,MI,35935,2411464,75.0
61,2022/04/23,MI,35935,2411464,89.0
62,2022/04/24,MI,35935,2411464,80.0
63,2022/04/25,MI,35935,2411464,100.0
64,2022/04/26,MI,35935,2411464,96.0
65,2022/04/27,MI,35961,2420092,99.0
66,2022/04/28,MI,36002,2425946,113.0
67,2022/04/29,MI,36002,2425946,110.0
68,2022/04/30,MI,36002,2425946,114.0
69,2022/05/01,MI,36002,2425946,104.0
70,2022/05/02,MI,36002,2425946,108.0
71,2022/05/03,MI,36002,2425946,137.0
72,2022/05/04,MI,36023,2438988,119.0
73,2022/05/05,MI,36064,2444891,93.0
74,2022/05/06,MI,36064,2444891,127.0
75,2022/05/07,MI,36064,2444891,124.0
76,2022/05/08,MI,36064,2444891,99.0
77,2022/05/09,MI,36064,2444891,109.0
78,2022/05/10,MI,36064,2444891,172.0
79,2022/05/11,MI,36098,2466603,117.0
80,2022/05/12,MI,36140,2472596,148.0
81,2022/05/13,MI,36140,2472596,158.0
82,2022/05/14,MI,36140,2472596,136.0
83,2022/05/15,MI,36140,2472596,125.0
84,2022/05/16,MI,36140,2472596,130.0
85,2022/05/17,MI,36140,2472596,149.0
86,2022/05/18,MI,36176,2495740,173.0
87,2022/05/19,MI,36218,2501863,154.0
88,2022/05/20,MI,36218,2501863,139.0
89,2022/05/21,MI,36218,2501863,162.0
90,2022/05/22,MI,36218,2501863,131.0
91,2022/05/23,MI,36218,2501863,114.0
92,2022/05/24,MI,36218,2501863,134.0
93,2022/05/25,MI,36315,2521610,149.0
94,2022/05/26,MI,36357,2527831,131.0
95,2022/05/27,MI,36357,2527831,154.0
