,date,state,death,case,hosp
0,2022/02/21,MN,12131,1404832,49.0
1,2022/02/22,MN,12163,1406824,59.0
2,2022/02/23,MN,12189,1410753,68.0
3,2022/02/24,MN,12246,1411773,54.0
4,2022/02/25,MN,12261,1412677,49.0
5,2022/02/26,MN,12261,1412677,69.0
6,2022/02/27,MN,12261,1412677,50.0
7,2022/02/28,MN,12289,1413756,41.0
8,2022/03/01,MN,12311,1415832,55.0
9,2022/03/02,MN,12332,1416371,55.0
10,2022/03/03,MN,12362,1417205,45.0
11,2022/03/04,MN,12373,1418001,43.0
12,2022/03/05,MN,12373,1418001,26.0
13,2022/03/06,MN,12373,1418001,26.0
14,2022/03/07,MN,12391,1418884,29.0
15,2022/03/08,MN,12411,1420339,45.0
16,2022/03/09,MN,12428,1420910,34.0
17,2022/03/10,MN,12455,1421512,26.0
18,2022/03/11,MN,12464,1422069,37.0
19,2022/03/12,MN,12464,1422069,29.0
20,2022/03/13,MN,12464,1422069,30.0
21,2022/03/14,MN,12480,1422544,33.0
22,2022/03/15,MN,12489,1423015,24.0
23,2022/03/16,MN,12512,1423893,21.0
24,2022/03/17,MN,12522,1424317,40.0
25,2022/03/18,MN,12531,1424823,36.0
26,2022/03/19,MN,12531,1424823,24.0
27,2022/03/20,MN,12531,1424823,20.0
28,2022/03/21,MN,12538,1425242,21.0
29,2022/03/22,MN,12550,1426266,37.0
30,2022/03/23,MN,12562,1426546,24.0
31,2022/03/24,MN,12582,1427007,30.0
32,2022/03/25,MN,12589,1427490,16.0
33,2022/03/26,MN,12589,1427490,35.0
34,2022/03/27,MN,12589,1427490,17.0
35,2022/03/28,MN,12602,1427954,16.0
36,2022/03/29,MN,12610,1428924,23.0
37,2022/03/30,MN,12621,1429271,23.0
38,2022/03/31,MN,12638,1429780,20.0
39,2022/04/01,MN,12640,1430319,23.0
40,2022/04/02,MN,12640,1430319,27.0
41,2022/04/03,MN,12640,1430319,19.0
42,2022/04/04,MN,12645,1430786,18.0
43,2022/04/05,MN,12649,1431873,19.0
44,2022/04/06,MN,12669,1432242,28.0
45,2022/04/07,MN,12674,1432857,21.0
46,2022/04/08,MN,12680,1433465,26.0
47,2022/04/09,MN,12680,1433465,28.0
48,2022/04/10,MN,12680,1433465,16.0
49,2022/04/11,MN,12687,1434138,20.0
50,2022/04/12,MN,12689,1435472,24.0
51,2022/04/13,MN,12694,1436154,22.0
52,2022/04/14,MN,12708,1437016,29.0
53,2022/04/15,MN,12714,1437888,23.0
54,2022/04/16,MN,12714,1437888,29.0
55,2022/04/17,MN,12714,1437888,24.0
56,2022/04/18,MN,12718,1438816,31.0
57,2022/04/19,MN,12722,1440553,24.0
58,2022/04/20,MN,12739,1441539,28.0
59,2022/04/21,MN,12742,1442656,44.0
60,2022/04/22,MN,12752,1444119,35.0
61,2022/04/23,MN,12752,1444119,33.0
62,2022/04/24,MN,12752,1444119,31.0
63,2022/04/25,MN,12753,1445277,41.0
64,2022/04/26,MN,12754,1447835,29.0
65,2022/04/27,MN,12769,1449209,51.0
66,2022/04/28,MN,12773,1450845,29.0
67,2022/04/29,MN,12778,1452817,49.0
68,2022/04/30,MN,12778,1452817,49.0
69,2022/05/01,MN,12778,1452817,38.0
70,2022/05/02,MN,12781,1454548,28.0
71,2022/05/03,MN,12782,1457048,51.0
72,2022/05/04,MN,12795,1459625,50.0
73,2022/05/05,MN,12801,1461902,54.0
74,2022/05/06,MN,12805,1464235,53.0
75,2022/05/07,MN,12805,1464235,67.0
76,2022/05/08,MN,12805,1464235,59.0
77,2022/05/09,MN,12809,1466895,56.0
78,2022/05/10,MN,12814,1472011,56.0
79,2022/05/11,MN,12826,1473811,61.0
80,2022/05/12,MN,12837,1476423,63.0
81,2022/05/13,MN,12849,1479337,65.0
82,2022/05/14,MN,12849,1479337,68.0
83,2022/05/15,MN,12849,1479337,52.0
84,2022/05/16,MN,12853,1481917,55.0
85,2022/05/17,MN,12859,1486498,62.0
86,2022/05/18,MN,12875,1488625,65.0
87,2022/05/19,MN,12884,1490745,91.0
88,2022/05/20,MN,12887,1493163,64.0
89,2022/05/21,MN,12887,1493163,68.0
90,2022/05/22,MN,12887,1493163,49.0
91,2022/05/23,MN,12896,1495309,49.0
92,2022/05/24,MN,12901,1499338,50.0
93,2022/05/25,MN,12920,1500866,58.0
94,2022/05/26,MN,12929,1503028,69.0
95,2022/05/27,MN,12938,1505292,58.0
