,date,state,death,case,hosp
0,2022/02/21,MO,18599,1404552,99.0
1,2022/02/22,MO,18622,1407975,131.0
2,2022/02/23,MO,18649,1409221,137.0
3,2022/02/24,MO,19033,1410543,130.0
4,2022/02/25,MO,19043,1411664,98.0
5,2022/02/26,MO,19045,1411732,104.0
6,2022/02/27,MO,19045,1411732,57.0
7,2022/02/28,MO,19061,1413255,79.0
8,2022/03/01,MO,19237,1414024,73.0
9,2022/03/02,MO,19272,1414729,96.0
10,2022/03/03,MO,19301,1415584,81.0
11,2022/03/04,MO,19309,1416290,86.0
12,2022/03/05,MO,19312,1416369,73.0
13,2022/03/06,MO,19312,1416369,59.0
14,2022/03/07,MO,19312,1417344,43.0
15,2022/03/08,MO,19518,1418171,60.0
16,2022/03/09,MO,19528,1418704,67.0
17,2022/03/10,MO,19532,1419328,63.0
18,2022/03/11,MO,19545,1419784,77.0
19,2022/03/12,MO,19545,1419783,50.0
20,2022/03/13,MO,19545,1419783,50.0
21,2022/03/14,MO,19553,1420744,31.0
22,2022/03/15,MO,19850,1421343,42.0
23,2022/03/16,MO,19853,1421831,47.0
24,2022/03/17,MO,19856,1422254,41.0
25,2022/03/18,MO,19859,1422854,42.0
26,2022/03/19,MO,19859,1422857,27.0
27,2022/03/20,MO,19859,1422857,36.0
28,2022/03/21,MO,19884,1423554,24.0
29,2022/03/22,MO,20034,1424118,36.0
30,2022/03/23,MO,20041,1424494,49.0
31,2022/03/24,MO,20043,1425120,39.0
32,2022/03/25,MO,20047,1425692,36.0
33,2022/03/26,MO,20047,1425691,34.0
34,2022/03/27,MO,20047,1425691,26.0
35,2022/03/28,MO,20055,1426526,24.0
36,2022/03/29,MO,20140,1426966,25.0
37,2022/03/30,MO,20155,1427549,39.0
38,2022/03/31,MO,20168,1428158,27.0
39,2022/04/01,MO,20168,1428279,29.0
40,2022/04/02,MO,20168,1428277,23.0
41,2022/04/03,MO,20168,1428277,22.0
42,2022/04/04,MO,20168,1428496,28.0
43,2022/04/05,MO,20171,1428595,28.0
44,2022/04/06,MO,20172,1428727,17.0
45,2022/04/07,MO,20173,1429400,34.0
46,2022/04/08,MO,20178,1429494,25.0
47,2022/04/09,MO,20178,1429493,11.0
48,2022/04/10,MO,20178,1429493,14.0
49,2022/04/11,MO,20178,1429770,21.0
50,2022/04/12,MO,20181,1429914,22.0
51,2022/04/13,MO,20184,1430048,20.0
52,2022/04/14,MO,20186,1430223,15.0
53,2022/04/15,MO,20186,1430417,22.0
54,2022/04/16,MO,20186,1430417,27.0
55,2022/04/17,MO,20186,1430417,20.0
56,2022/04/18,MO,20187,1430834,21.0
57,2022/04/19,MO,20187,1431039,29.0
58,2022/04/20,MO,20192,1431255,32.0
59,2022/04/21,MO,20192,1431520,29.0
60,2022/04/22,MO,20192,1431774,23.0
61,2022/04/23,MO,20192,1431774,33.0
62,2022/04/24,MO,20192,1431774,25.0
63,2022/04/25,MO,20192,1432399,11.0
64,2022/04/26,MO,20194,1432689,29.0
65,2022/04/27,MO,20199,1432998,24.0
66,2022/04/28,MO,20199,1433340,25.0
67,2022/04/29,MO,20199,1433597,33.0
68,2022/04/30,MO,20199,1433608,28.0
69,2022/05/01,MO,20199,1433608,18.0
70,2022/05/02,MO,20200,1435404,18.0
71,2022/05/03,MO,20215,1435912,30.0
72,2022/05/04,MO,20226,1436092,37.0
73,2022/05/05,MO,20513,1444501,43.0
74,2022/05/06,MO,20555,1447441,28.0
75,2022/05/07,MO,20555,1447441,20.0
76,2022/05/08,MO,20555,1447441,25.0
77,2022/05/09,MO,20555,1448604,20.0
78,2022/05/10,MO,20555,1449143,41.0
79,2022/05/11,MO,20555,1449743,43.0
80,2022/05/12,MO,20554,1450282,37.0
81,2022/05/13,MO,20586,1453876,46.0
82,2022/05/14,MO,20586,1453877,54.0
83,2022/05/15,MO,20586,1453877,28.0
84,2022/05/16,MO,20586,1455126,37.0
85,2022/05/17,MO,20586,1455893,52.0
86,2022/05/18,MO,20589,1456507,52.0
87,2022/05/19,MO,20590,1457151,47.0
88,2022/05/20,MO,20620,1461547,62.0
89,2022/05/21,MO,20620,1461548,52.0
90,2022/05/22,MO,20620,1461548,34.0
91,2022/05/23,MO,20620,1462748,38.0
92,2022/05/24,MO,20621,1463459,52.0
93,2022/05/25,MO,20621,1463956,45.0
94,2022/05/26,MO,20621,1464730,56.0
95,2022/05/27,MO,20752,1470426,65.0
