,date,state,death,case,hosp
0,2022/02/21,MS,11836,785528,43.0
1,2022/02/22,MS,11858,787396,45.0
2,2022/02/23,MS,11954,787938,40.0
3,2022/02/24,MS,11984,788479,51.0
4,2022/02/25,MS,12008,789056,23.0
5,2022/02/26,MS,12008,789056,17.0
6,2022/02/27,MS,12008,789056,22.0
7,2022/02/28,MS,12039,789940,24.0
8,2022/03/01,MS,12100,790168,29.0
9,2022/03/02,MS,12115,790616,19.0
10,2022/03/03,MS,12124,790986,15.0
11,2022/03/04,MS,12151,791208,11.0
12,2022/03/05,MS,12151,791208,19.0
13,2022/03/06,MS,12151,791208,9.0
14,2022/03/07,MS,12171,791817,16.0
15,2022/03/08,MS,12206,791966,10.0
16,2022/03/09,MS,12228,792129,13.0
17,2022/03/10,MS,12247,792289,9.0
18,2022/03/11,MS,12255,792560,12.0
19,2022/03/12,MS,12255,792560,11.0
20,2022/03/13,MS,12255,792560,10.0
21,2022/03/14,MS,12275,792950,8.0
22,2022/03/15,MS,12288,793103,11.0
23,2022/03/16,MS,12308,793201,8.0
24,2022/03/17,MS,12319,793278,6.0
25,2022/03/18,MS,12330,793390,2.0
26,2022/03/19,MS,12330,793390,15.0
27,2022/03/20,MS,12330,793390,8.0
28,2022/03/21,MS,12336,793635,5.0
29,2022/03/22,MS,12368,793741,9.0
30,2022/03/23,MS,12369,793870,6.0
31,2022/03/24,MS,12369,793960,6.0
32,2022/03/25,MS,12378,794093,3.0
33,2022/03/26,MS,12378,794093,9.0
34,2022/03/27,MS,12378,794093,3.0
35,2022/03/28,MS,12383,794225,1.0
36,2022/03/29,MS,12396,794292,2.0
37,2022/03/30,MS,12396,794427,7.0
38,2022/03/31,MS,12397,794558,8.0
39,2022/04/01,MS,12399,794721,4.0
40,2022/04/02,MS,12399,794721,4.0
41,2022/04/03,MS,12399,794721,1.0
42,2022/04/04,MS,12402,795164,3.0
43,2022/04/05,MS,12407,795298,3.0
44,2022/04/06,MS,12410,795408,1.0
45,2022/04/07,MS,12410,795613,3.0
46,2022/04/08,MS,12413,795824,3.0
47,2022/04/09,MS,12413,795824,2.0
48,2022/04/10,MS,12413,795824,2.0
49,2022/04/11,MS,12413,795824,2.0
50,2022/04/12,MS,12414,796023,4.0
51,2022/04/13,MS,12420,796139,0.0
52,2022/04/14,MS,12421,796262,2.0
53,2022/04/15,MS,12422,796348,3.0
54,2022/04/16,MS,12422,796348,5.0
55,2022/04/17,MS,12422,796348,7.0
56,2022/04/18,MS,12424,796496,3.0
57,2022/04/19,MS,12429,796546,2.0
58,2022/04/20,MS,12432,796645,6.0
59,2022/04/21,MS,12432,796740,5.0
60,2022/04/22,MS,12436,796840,2.0
61,2022/04/23,MS,12436,796840,5.0
62,2022/04/24,MS,12436,796840,3.0
63,2022/04/25,MS,12436,796840,5.0
64,2022/04/26,MS,12436,797161,3.0
65,2022/04/27,MS,12439,797249,5.0
66,2022/04/28,MS,12443,797413,4.0
67,2022/04/29,MS,12444,797575,5.0
68,2022/04/30,MS,12444,797575,5.0
69,2022/05/01,MS,12444,797575,6.0
70,2022/05/02,MS,12446,797922,6.0
71,2022/05/03,MS,12450,798065,9.0
72,2022/05/04,MS,12450,798283,4.0
73,2022/05/05,MS,12451,798467,2.0
74,2022/05/06,MS,12454,798721,5.0
75,2022/05/07,MS,12454,798721,5.0
76,2022/05/08,MS,12454,798721,6.0
77,2022/05/09,MS,12454,799608,6.0
78,2022/05/10,MS,12456,799875,5.0
79,2022/05/11,MS,12456,800241,4.0
80,2022/05/12,MS,12457,800826,7.0
81,2022/05/13,MS,12457,801527,16.0
82,2022/05/14,MS,12457,801527,16.0
83,2022/05/15,MS,12457,801527,9.0
84,2022/05/16,MS,12460,802482,8.0
85,2022/05/17,MS,12461,802794,13.0
86,2022/05/18,MS,12461,803311,11.0
87,2022/05/19,MS,12462,803763,13.0
88,2022/05/20,MS,12465,804123,17.0
89,2022/05/21,MS,12465,804123,14.0
90,2022/05/22,MS,12465,804123,14.0
91,2022/05/23,MS,12465,805040,9.0
92,2022/05/24,MS,12465,805295,14.0
93,2022/05/25,MS,12466,805800,9.0
94,2022/05/26,MS,12466,806305,9.0
95,2022/05/27,MS,12466,806838,10.0
