,date,state,death,case,hosp
0,2022/02/21,MT,3107,262221,31.0
1,2022/02/22,MT,3129,263855,28.0
2,2022/02/23,MT,3157,264701,19.0
3,2022/02/24,MT,3163,265460,22.0
4,2022/02/25,MT,3173,266080,26.0
5,2022/02/26,MT,3173,266080,22.0
6,2022/02/27,MT,3173,266080,17.0
7,2022/02/28,MT,3188,266861,15.0
8,2022/03/01,MT,3190,267513,15.0
9,2022/03/02,MT,3192,268397,21.0
10,2022/03/03,MT,3204,269233,24.0
11,2022/03/04,MT,3205,271257,20.0
12,2022/03/05,MT,3205,271257,13.0
13,2022/03/06,MT,3205,271257,9.0
14,2022/03/07,MT,3209,271432,10.0
15,2022/03/08,MT,3210,271578,10.0
16,2022/03/09,MT,3212,271706,16.0
17,2022/03/10,MT,3222,271832,12.0
18,2022/03/11,MT,3224,271883,7.0
19,2022/03/12,MT,3224,271883,8.0
20,2022/03/13,MT,3224,271883,7.0
21,2022/03/14,MT,3224,272015,5.0
22,2022/03/15,MT,3226,272118,12.0
23,2022/03/16,MT,3228,272190,18.0
24,2022/03/17,MT,3231,272277,14.0
25,2022/03/18,MT,3235,272346,9.0
26,2022/03/19,MT,3235,272346,10.0
27,2022/03/20,MT,3235,272346,5.0
28,2022/03/21,MT,3236,272424,7.0
29,2022/03/22,MT,3237,272500,7.0
30,2022/03/23,MT,3238,272554,8.0
31,2022/03/24,MT,3240,272599,8.0
32,2022/03/25,MT,3242,272640,5.0
33,2022/03/26,MT,3242,272640,8.0
34,2022/03/27,MT,3242,272640,9.0
35,2022/03/28,MT,3245,272697,6.0
36,2022/03/29,MT,3246,272753,4.0
37,2022/03/30,MT,3246,272786,4.0
38,2022/03/31,MT,3247,272798,1.0
39,2022/04/01,MT,3249,272865,8.0
40,2022/04/02,MT,3249,272865,0.0
41,2022/04/03,MT,3249,272865,3.0
42,2022/04/04,MT,3249,272922,2.0
43,2022/04/05,MT,3249,272970,0.0
44,2022/04/06,MT,3249,273039,5.0
45,2022/04/07,MT,3255,273069,5.0
46,2022/04/08,MT,3255,273092,4.0
47,2022/04/09,MT,3255,273092,6.0
48,2022/04/10,MT,3255,273092,4.0
49,2022/04/11,MT,3255,273163,2.0
50,2022/04/12,MT,3259,273221,0.0
51,2022/04/13,MT,3259,273264,3.0
52,2022/04/14,MT,3260,273299,4.0
53,2022/04/15,MT,3260,273355,7.0
54,2022/04/16,MT,3260,273355,4.0
55,2022/04/17,MT,3260,273355,4.0
56,2022/04/18,MT,3260,273445,4.0
57,2022/04/19,MT,3261,273530,3.0
58,2022/04/20,MT,3262,273616,5.0
59,2022/04/21,MT,3262,273658,3.0
60,2022/04/22,MT,3262,273733,4.0
61,2022/04/23,MT,3262,273733,5.0
62,2022/04/24,MT,3262,273733,5.0
63,2022/04/25,MT,3300,273812,3.0
64,2022/04/26,MT,3322,273922,7.0
65,2022/04/27,MT,3354,274028,4.0
66,2022/04/28,MT,3356,274143,5.0
67,2022/04/29,MT,3363,274221,3.0
68,2022/04/30,MT,3363,274221,7.0
69,2022/05/01,MT,3363,274221,7.0
70,2022/05/02,MT,3373,274376,5.0
71,2022/05/03,MT,3375,274506,14.0
72,2022/05/04,MT,3375,274627,9.0
73,2022/05/05,MT,3374,274720,6.0
74,2022/05/06,MT,3378,274835,11.0
75,2022/05/07,MT,3378,274835,5.0
76,2022/05/08,MT,3378,274835,5.0
77,2022/05/09,MT,3378,274863,7.0
78,2022/05/10,MT,3378,274897,13.0
79,2022/05/11,MT,3378,274949,6.0
80,2022/05/12,MT,3378,274996,5.0
81,2022/05/13,MT,3381,275448,6.0
82,2022/05/14,MT,3381,275448,7.0
83,2022/05/15,MT,3381,275448,10.0
84,2022/05/16,MT,3381,275506,13.0
85,2022/05/17,MT,3381,275623,12.0
86,2022/05/18,MT,3381,275681,8.0
87,2022/05/19,MT,3381,275733,10.0
88,2022/05/20,MT,3385,276550,16.0
89,2022/05/21,MT,3385,276550,16.0
90,2022/05/22,MT,3385,276550,10.0
91,2022/05/23,MT,3385,276621,16.0
92,2022/05/24,MT,3385,276725,19.0
93,2022/05/25,MT,3385,276788,22.0
94,2022/05/26,MT,3385,276842,11.0
95,2022/05/27,MT,3401,277837,24.0
