,date,state,death,case,hosp
0,2022/02/21,NC,22247,2570553,160.0
1,2022/02/22,NC,22306,2572953,191.0
2,2022/02/23,NC,22400,2576513,186.0
3,2022/02/24,NC,22459,2580257,188.0
4,2022/02/25,NC,22510,2585150,141.0
5,2022/02/26,NC,22510,2585150,157.0
6,2022/02/27,NC,22510,2585150,119.0
7,2022/02/28,NC,22580,2591336,94.0
8,2022/03/01,NC,22618,2592518,132.0
9,2022/03/02,NC,22681,2594720,127.0
10,2022/03/03,NC,22735,2597136,112.0
11,2022/03/04,NC,22773,2599829,110.0
12,2022/03/05,NC,22773,2599829,113.0
13,2022/03/06,NC,22773,2599829,74.0
14,2022/03/07,NC,22812,2603972,84.0
15,2022/03/08,NC,22827,2604965,68.0
16,2022/03/09,NC,22874,2606731,68.0
17,2022/03/10,NC,22902,2608470,69.0
18,2022/03/11,NC,22932,2610385,84.0
19,2022/03/12,NC,22932,2610385,68.0
20,2022/03/13,NC,22932,2610385,52.0
21,2022/03/14,NC,22971,2613497,43.0
22,2022/03/15,NC,22976,2614111,77.0
23,2022/03/16,NC,23015,2615637,54.0
24,2022/03/17,NC,23040,2616873,51.0
25,2022/03/18,NC,23068,2618734,47.0
26,2022/03/19,NC,23068,2618734,53.0
27,2022/03/20,NC,23068,2618734,31.0
28,2022/03/21,NC,23088,2621175,28.0
29,2022/03/22,NC,23101,2621973,56.0
30,2022/03/23,NC,23140,2623506,49.0
31,2022/03/24,NC,23169,2624977,37.0
32,2022/03/25,NC,23184,2626216,50.0
33,2022/03/26,NC,23184,2626216,45.0
34,2022/03/27,NC,23184,2626216,34.0
35,2022/03/28,NC,23200,2628499,41.0
36,2022/03/29,NC,23204,2629108,43.0
37,2022/03/30,NC,23213,2629965,32.0
38,2022/03/31,NC,23217,2631072,41.0
39,2022/04/01,NC,23225,2632182,35.0
40,2022/04/02,NC,23225,2632182,33.0
41,2022/04/03,NC,23225,2632182,24.0
42,2022/04/04,NC,23246,2634234,31.0
43,2022/04/05,NC,23249,2634760,36.0
44,2022/04/06,NC,23267,2635567,27.0
45,2022/04/07,NC,23267,2635567,40.0
46,2022/04/08,NC,23268,2635742,32.0
47,2022/04/09,NC,23268,2635742,39.0
48,2022/04/10,NC,23268,2635742,31.0
49,2022/04/11,NC,23268,2635871,31.0
50,2022/04/12,NC,23268,2635984,28.0
51,2022/04/13,NC,23344,2640677,37.0
52,2022/04/14,NC,23344,2640677,49.0
53,2022/04/15,NC,23344,2640677,53.0
54,2022/04/16,NC,23344,2640677,38.0
55,2022/04/17,NC,23344,2640677,25.0
56,2022/04/18,NC,23344,2641157,36.0
57,2022/04/19,NC,23344,2641201,32.0
58,2022/04/20,NC,23373,2649255,41.0
59,2022/04/21,NC,23373,2649422,32.0
60,2022/04/22,NC,23373,2649561,37.0
61,2022/04/23,NC,23373,2649561,48.0
62,2022/04/24,NC,23373,2649561,49.0
63,2022/04/25,NC,23373,2649749,53.0
64,2022/04/26,NC,23373,2649978,50.0
65,2022/04/27,NC,23415,2660970,64.0
66,2022/04/28,NC,23415,2660970,47.0
67,2022/04/29,NC,23415,2661333,45.0
68,2022/04/30,NC,23415,2661333,49.0
69,2022/05/01,NC,23415,2661333,43.0
70,2022/05/02,NC,23415,2661633,45.0
71,2022/05/03,NC,23415,2661765,70.0
72,2022/05/04,NC,24587,2675130,61.0
73,2022/05/05,NC,24587,2675152,62.0
74,2022/05/06,NC,24587,2675505,68.0
75,2022/05/07,NC,24587,2675505,48.0
76,2022/05/08,NC,24587,2675505,41.0
77,2022/05/09,NC,24587,2675646,48.0
78,2022/05/10,NC,24587,2675904,55.0
79,2022/05/11,NC,24598,2693394,77.0
80,2022/05/12,NC,24598,2693609,94.0
81,2022/05/13,NC,24598,2693618,90.0
82,2022/05/14,NC,24598,2693618,76.0
83,2022/05/15,NC,24598,2693618,75.0
84,2022/05/16,NC,24598,2693908,62.0
85,2022/05/17,NC,24598,2694090,89.0
86,2022/05/18,NC,24637,2717011,91.0
87,2022/05/19,NC,24637,2717483,94.0
88,2022/05/20,NC,24637,2717639,98.0
89,2022/05/21,NC,24637,2717639,81.0
90,2022/05/22,NC,24637,2717639,59.0
91,2022/05/23,NC,24637,2718022,94.0
92,2022/05/24,NC,24637,2718181,105.0
93,2022/05/25,NC,24654,2746229,112.0
94,2022/05/26,NC,24654,2746340,97.0
95,2022/05/27,NC,24654,2746340,100.0
