,date,state,death,case,hosp
0,2022/02/21,ND,2221,236955,15.0
1,2022/02/22,ND,2221,237139,13.0
2,2022/02/23,ND,2227,237326,15.0
3,2022/02/24,ND,2230,237599,10.0
4,2022/02/25,ND,2234,237802,10.0
5,2022/02/26,ND,2239,237935,17.0
6,2022/02/27,ND,2239,238029,9.0
7,2022/02/28,ND,2239,238053,9.0
8,2022/03/01,ND,2241,238207,8.0
9,2022/03/02,ND,2246,238354,13.0
10,2022/03/03,ND,2252,238505,16.0
11,2022/03/04,ND,2252,238625,7.0
12,2022/03/05,ND,2258,238702,7.0
13,2022/03/06,ND,2258,238753,5.0
14,2022/03/07,ND,2258,238784,8.0
15,2022/03/08,ND,2261,238863,7.0
16,2022/03/09,ND,2265,238955,6.0
17,2022/03/10,ND,2270,239043,4.0
18,2022/03/11,ND,2270,239125,9.0
19,2022/03/12,ND,2273,239189,4.0
20,2022/03/13,ND,2273,239216,13.0
21,2022/03/14,ND,2273,239230,3.0
22,2022/03/15,ND,2275,239283,9.0
23,2022/03/16,ND,2276,239339,9.0
24,2022/03/17,ND,2279,239391,3.0
25,2022/03/18,ND,2279,239442,5.0
26,2022/03/19,ND,2279,239442,8.0
27,2022/03/20,ND,2279,239442,6.0
28,2022/03/21,ND,2279,239442,1.0
29,2022/03/22,ND,2279,239442,5.0
30,2022/03/23,ND,2279,239442,2.0
31,2022/03/24,ND,2279,239442,5.0
32,2022/03/25,ND,2279,239675,2.0
33,2022/03/26,ND,2279,239675,2.0
34,2022/03/27,ND,2279,239675,4.0
35,2022/03/28,ND,2279,239675,1.0
36,2022/03/29,ND,2279,239705,2.0
37,2022/03/30,ND,2279,239746,3.0
38,2022/03/31,ND,2279,239780,4.0
39,2022/04/01,ND,2279,239863,4.0
40,2022/04/02,ND,2279,239863,2.0
41,2022/04/03,ND,2279,239863,4.0
42,2022/04/04,ND,2279,239863,1.0
43,2022/04/05,ND,2279,239905,2.0
44,2022/04/06,ND,2279,239970,2.0
45,2022/04/07,ND,2279,240020,2.0
46,2022/04/08,ND,2298,240110,2.0
47,2022/04/09,ND,2301,240110,0.0
48,2022/04/10,ND,2301,240110,3.0
49,2022/04/11,ND,2301,240110,4.0
50,2022/04/12,ND,2301,240172,2.0
51,2022/04/13,ND,2301,240236,0.0
52,2022/04/14,ND,2304,240312,1.0
53,2022/04/15,ND,2304,240383,2.0
54,2022/04/16,ND,2304,240383,3.0
55,2022/04/17,ND,2304,240383,0.0
56,2022/04/18,ND,2304,240383,4.0
57,2022/04/19,ND,2304,240434,3.0
58,2022/04/20,ND,2304,240529,1.0
59,2022/04/21,ND,2304,240595,0.0
60,2022/04/22,ND,2307,240713,7.0
61,2022/04/23,ND,2308,240713,9.0
62,2022/04/24,ND,2308,240713,5.0
63,2022/04/25,ND,2308,240713,2.0
64,2022/04/26,ND,2310,240818,1.0
65,2022/04/27,ND,2310,240914,5.0
66,2022/04/28,ND,2315,240968,3.0
67,2022/04/29,ND,2315,241127,2.0
68,2022/04/30,ND,2315,241127,6.0
69,2022/05/01,ND,2315,241127,5.0
70,2022/05/02,ND,2315,241127,4.0
71,2022/05/03,ND,2315,241271,6.0
72,2022/05/04,ND,2315,241385,1.0
73,2022/05/05,ND,2315,241488,4.0
74,2022/05/06,ND,2315,241739,5.0
75,2022/05/07,ND,2315,241739,7.0
76,2022/05/08,ND,2315,241739,3.0
77,2022/05/09,ND,2315,241739,4.0
78,2022/05/10,ND,2315,241916,6.0
79,2022/05/11,ND,2315,242065,3.0
80,2022/05/12,ND,2319,242222,4.0
81,2022/05/13,ND,2319,242462,4.0
82,2022/05/14,ND,2321,242462,14.0
83,2022/05/15,ND,2321,242462,6.0
84,2022/05/16,ND,2321,242462,4.0
85,2022/05/17,ND,2322,242654,3.0
86,2022/05/18,ND,2322,242893,8.0
87,2022/05/19,ND,2322,243055,5.0
88,2022/05/20,ND,2323,243345,5.0
89,2022/05/21,ND,2323,243345,4.0
90,2022/05/22,ND,2323,243345,11.0
91,2022/05/23,ND,2323,243345,4.0
92,2022/05/24,ND,2323,243345,7.0
93,2022/05/25,ND,2323,243769,5.0
94,2022/05/26,ND,2327,243917,4.0
95,2022/05/27,ND,2328,244278,10.0
