,date,state,death,case,hosp
0,2022/02/21,NE,3883,452901,23.0
1,2022/02/22,NE,3901,453165,33.0
2,2022/02/23,NE,3944,453490,25.0
3,2022/02/24,NE,3954,453522,22.0
4,2022/02/25,NE,3956,453569,26.0
5,2022/02/26,NE,3956,453569,16.0
6,2022/02/27,NE,3956,453569,20.0
7,2022/02/28,NE,3956,475528,11.0
8,2022/03/01,NE,3986,475690,18.0
9,2022/03/02,NE,3986,475888,23.0
10,2022/03/03,NE,4002,476008,19.0
11,2022/03/04,NE,4013,476194,12.0
12,2022/03/05,NE,4013,476194,20.0
13,2022/03/06,NE,4013,476194,15.0
14,2022/03/07,NE,4013,476481,14.0
15,2022/03/08,NE,4017,476572,17.0
16,2022/03/09,NE,4022,476690,22.0
17,2022/03/10,NE,4025,476807,10.0
18,2022/03/11,NE,4026,476844,7.0
19,2022/03/12,NE,4026,476844,11.0
20,2022/03/13,NE,4026,476844,8.0
21,2022/03/14,NE,4026,476952,9.0
22,2022/03/15,NE,4034,477029,10.0
23,2022/03/16,NE,4044,477109,18.0
24,2022/03/17,NE,4046,477187,14.0
25,2022/03/18,NE,4047,477197,10.0
26,2022/03/19,NE,4047,477198,9.0
27,2022/03/20,NE,4047,477198,6.0
28,2022/03/21,NE,4047,477240,5.0
29,2022/03/22,NE,4050,477227,7.0
30,2022/03/23,NE,4051,477227,7.0
31,2022/03/24,NE,4053,477183,12.0
32,2022/03/25,NE,4053,477151,12.0
33,2022/03/26,NE,4053,477183,10.0
34,2022/03/27,NE,4053,477183,2.0
35,2022/03/28,NE,4053,477803,3.0
36,2022/03/29,NE,4123,477831,11.0
37,2022/03/30,NE,4144,477794,10.0
38,2022/03/31,NE,4161,477761,8.0
39,2022/04/01,NE,4162,477724,7.0
40,2022/04/02,NE,4162,477724,6.0
41,2022/04/03,NE,4162,477724,6.0
42,2022/04/04,NE,4162,477823,10.0
43,2022/04/05,NE,4164,477847,8.0
44,2022/04/06,NE,4164,477916,5.0
45,2022/04/07,NE,4164,477977,6.0
46,2022/04/08,NE,4175,478044,5.0
47,2022/04/09,NE,4175,478044,4.0
48,2022/04/10,NE,4175,478044,5.0
49,2022/04/11,NE,4175,478183,7.0
50,2022/04/12,NE,4190,478250,10.0
51,2022/04/13,NE,4190,478332,9.0
52,2022/04/14,NE,4191,478417,6.0
53,2022/04/15,NE,4191,478480,4.0
54,2022/04/16,NE,4191,478480,4.0
55,2022/04/17,NE,4191,478479,5.0
56,2022/04/18,NE,4191,478612,3.0
57,2022/04/19,NE,4194,478716,8.0
58,2022/04/20,NE,4195,478811,6.0
59,2022/04/21,NE,4195,479060,8.0
60,2022/04/22,NE,4197,479181,7.0
61,2022/04/23,NE,4197,479181,8.0
62,2022/04/24,NE,4197,479181,6.0
63,2022/04/25,NE,4197,479393,9.0
64,2022/04/26,NE,4197,479545,5.0
65,2022/04/27,NE,4197,479685,5.0
66,2022/04/28,NE,4197,479827,4.0
67,2022/04/29,NE,4197,479989,6.0
68,2022/04/30,NE,4197,479989,7.0
69,2022/05/01,NE,4197,479989,5.0
70,2022/05/02,NE,4197,480151,4.0
71,2022/05/03,NE,4201,480422,8.0
72,2022/05/04,NE,4215,480586,14.0
73,2022/05/05,NE,4216,480805,8.0
74,2022/05/06,NE,4216,480805,6.0
75,2022/05/07,NE,4216,480805,6.0
76,2022/05/08,NE,4216,480805,5.0
77,2022/05/09,NE,4216,480805,7.0
78,2022/05/10,NE,4216,481424,10.0
79,2022/05/11,NE,4229,481725,10.0
80,2022/05/12,NE,4231,482035,10.0
81,2022/05/13,NE,4234,482305,10.0
82,2022/05/14,NE,4234,482305,10.0
83,2022/05/15,NE,4234,482305,10.0
84,2022/05/16,NE,4234,482305,7.0
85,2022/05/17,NE,4240,483133,16.0
86,2022/05/18,NE,4240,483133,12.0
87,2022/05/19,NE,4240,483783,15.0
88,2022/05/20,NE,4240,484085,8.0
89,2022/05/21,NE,4240,484085,13.0
90,2022/05/22,NE,4240,484085,10.0
91,2022/05/23,NE,4240,484085,15.0
92,2022/05/24,NE,4240,484085,9.0
93,2022/05/25,NE,4275,485377,9.0
94,2022/05/26,NE,4284,485756,13.0
95,2022/05/27,NE,4284,485756,18.0
