,date,state,death,case,hosp
0,2022/02/21,NH,2333,293697,10.0
1,2022/02/22,NH,2333,293697,18.0
2,2022/02/23,NH,2368,295701,20.0
3,2022/02/24,NH,2370,296870,11.0
4,2022/02/25,NH,2373,297729,15.0
5,2022/02/26,NH,2373,297729,11.0
6,2022/02/27,NH,2373,297729,15.0
7,2022/02/28,NH,2377,298362,7.0
8,2022/03/01,NH,2387,298626,7.0
9,2022/03/02,NH,2396,298808,15.0
10,2022/03/03,NH,2398,298993,12.0
11,2022/03/04,NH,2402,299213,4.0
12,2022/03/05,NH,2402,299213,9.0
13,2022/03/06,NH,2402,299213,8.0
14,2022/03/07,NH,2403,299651,9.0
15,2022/03/08,NH,2408,299749,12.0
16,2022/03/09,NH,2408,299873,7.0
17,2022/03/10,NH,2414,299999,6.0
18,2022/03/11,NH,2415,300185,13.0
19,2022/03/12,NH,2415,300185,5.0
20,2022/03/13,NH,2415,300185,8.0
21,2022/03/14,NH,2417,300511,6.0
22,2022/03/15,NH,2424,300550,12.0
23,2022/03/16,NH,2428,300692,16.0
24,2022/03/17,NH,2431,300799,5.0
25,2022/03/18,NH,2434,300941,7.0
26,2022/03/19,NH,2434,300941,7.0
27,2022/03/20,NH,2434,300941,6.0
28,2022/03/21,NH,2436,301308,6.0
29,2022/03/22,NH,2442,301385,4.0
30,2022/03/23,NH,2443,301534,9.0
31,2022/03/24,NH,2445,301687,6.0
32,2022/03/25,NH,2445,301777,1.0
33,2022/03/26,NH,2445,301777,2.0
34,2022/03/27,NH,2445,301777,5.0
35,2022/03/28,NH,2447,302181,3.0
36,2022/03/29,NH,2451,302253,8.0
37,2022/03/30,NH,2452,302383,11.0
38,2022/03/31,NH,2452,302541,5.0
39,2022/04/01,NH,2452,302678,2.0
40,2022/04/02,NH,2452,302678,9.0
41,2022/04/03,NH,2452,302678,7.0
42,2022/04/04,NH,2452,303010,8.0
43,2022/04/05,NH,2455,303134,8.0
44,2022/04/06,NH,2457,303268,8.0
45,2022/04/07,NH,2457,303472,9.0
46,2022/04/08,NH,2458,303755,11.0
47,2022/04/09,NH,2458,303755,9.0
48,2022/04/10,NH,2458,303755,8.0
49,2022/04/11,NH,2459,304365,12.0
50,2022/04/12,NH,2463,304503,10.0
51,2022/04/13,NH,2463,304793,16.0
52,2022/04/14,NH,2464,305119,16.0
53,2022/04/15,NH,2464,305411,12.0
54,2022/04/16,NH,2464,305411,8.0
55,2022/04/17,NH,2464,305411,9.0
56,2022/04/18,NH,2465,306193,11.0
57,2022/04/19,NH,2471,306369,15.0
58,2022/04/20,NH,2472,306724,11.0
59,2022/04/21,NH,2472,307103,13.0
60,2022/04/22,NH,2475,307528,9.0
61,2022/04/23,NH,2475,307528,15.0
62,2022/04/24,NH,2475,307528,9.0
63,2022/04/25,NH,2475,308446,9.0
64,2022/04/26,NH,2477,308653,12.0
65,2022/04/27,NH,2478,309193,16.0
66,2022/04/28,NH,2479,309552,18.0
67,2022/04/29,NH,2480,309982,16.0
68,2022/04/30,NH,2480,309982,7.0
69,2022/05/01,NH,2480,309982,11.0
70,2022/05/02,NH,2481,311144,9.0
71,2022/05/03,NH,2486,311625,24.0
72,2022/05/04,NH,2487,312161,15.0
73,2022/05/05,NH,2487,312679,16.0
74,2022/05/06,NH,2487,313288,15.0
75,2022/05/07,NH,2487,313288,17.0
76,2022/05/08,NH,2487,313288,11.0
77,2022/05/09,NH,2488,314533,15.0
78,2022/05/10,NH,2492,314860,12.0
79,2022/05/11,NH,2493,315447,23.0
80,2022/05/12,NH,2499,316127,21.0
81,2022/05/13,NH,2500,316691,20.0
82,2022/05/14,NH,2500,316691,26.0
83,2022/05/15,NH,2500,316691,16.0
84,2022/05/16,NH,2502,318675,31.0
85,2022/05/17,NH,2513,319179,23.0
86,2022/05/18,NH,2515,319827,26.0
87,2022/05/19,NH,2515,320445,23.0
88,2022/05/20,NH,2520,321042,24.0
89,2022/05/21,NH,2520,321042,16.0
90,2022/05/22,NH,2520,321042,27.0
91,2022/05/23,NH,2524,322511,33.0
92,2022/05/24,NH,2526,322904,32.0
93,2022/05/25,NH,2528,323326,14.0
94,2022/05/26,NH,2531,323897,26.0
95,2022/05/27,NH,2534,324373,20.0
