,date,state,death,case,hosp
0,2022/02/21,NJ,32711,2158821,77.0
1,2022/02/22,NJ,32743,2160023,105.0
2,2022/02/23,NJ,32803,2161190,89.0
3,2022/02/24,NJ,32829,2162940,113.0
4,2022/02/25,NJ,32857,2164368,100.0
5,2022/02/26,NJ,32888,2165484,88.0
6,2022/02/27,NJ,32896,2166758,62.0
7,2022/02/28,NJ,32916,2167515,63.0
8,2022/03/01,NJ,32951,2168631,89.0
9,2022/03/02,NJ,32966,2170061,80.0
10,2022/03/03,NJ,32982,2171339,60.0
11,2022/03/04,NJ,32999,2172771,77.0
12,2022/03/05,NJ,33012,2173813,61.0
13,2022/03/06,NJ,33015,2174464,53.0
14,2022/03/07,NJ,33027,2175439,51.0
15,2022/03/08,NJ,33050,2176633,59.0
16,2022/03/09,NJ,33054,2177598,54.0
17,2022/03/10,NJ,33067,2178977,55.0
18,2022/03/11,NJ,33087,2180216,60.0
19,2022/03/12,NJ,33087,2180793,47.0
20,2022/03/13,NJ,33106,2181398,36.0
21,2022/03/14,NJ,33114,2181828,47.0
22,2022/03/15,NJ,33126,2182557,40.0
23,2022/03/16,NJ,33136,2184240,41.0
24,2022/03/17,NJ,33149,2185323,44.0
25,2022/03/18,NJ,33155,2186846,48.0
26,2022/03/19,NJ,33168,2187715,51.0
27,2022/03/20,NJ,33170,2188228,34.0
28,2022/03/21,NJ,33179,2188780,30.0
29,2022/03/22,NJ,33186,2189639,49.0
30,2022/03/23,NJ,33192,2190843,42.0
31,2022/03/24,NJ,33198,2192294,26.0
32,2022/03/25,NJ,33203,2193470,46.0
33,2022/03/26,NJ,33203,2194379,44.0
34,2022/03/27,NJ,33212,2195320,32.0
35,2022/03/28,NJ,33219,2195963,35.0
36,2022/03/29,NJ,33225,2196970,47.0
37,2022/03/30,NJ,33230,2198339,29.0
38,2022/03/31,NJ,33232,2199807,41.0
39,2022/04/01,NJ,33238,2201324,57.0
40,2022/04/02,NJ,33246,2202817,48.0
41,2022/04/03,NJ,33246,2203836,40.0
42,2022/04/04,NJ,33259,2204645,31.0
43,2022/04/05,NJ,33264,2206255,57.0
44,2022/04/06,NJ,33280,2208118,46.0
45,2022/04/07,NJ,33289,2210227,61.0
46,2022/04/08,NJ,33294,2212245,52.0
47,2022/04/09,NJ,33299,2213874,47.0
48,2022/04/10,NJ,33299,2215685,40.0
49,2022/04/11,NJ,33308,2216804,52.0
50,2022/04/12,NJ,33313,2218786,46.0
51,2022/04/13,NJ,33315,2221058,52.0
52,2022/04/14,NJ,33324,2223788,71.0
53,2022/04/15,NJ,33324,2225363,57.0
54,2022/04/16,NJ,33338,2227709,59.0
55,2022/04/17,NJ,33337,2229976,55.0
56,2022/04/18,NJ,33343,2230972,33.0
57,2022/04/19,NJ,33349,2232789,60.0
58,2022/04/20,NJ,33356,2235034,71.0
59,2022/04/21,NJ,33363,2237831,70.0
60,2022/04/22,NJ,33371,2240701,83.0
61,2022/04/23,NJ,33379,2243235,79.0
62,2022/04/24,NJ,33381,2244919,59.0
63,2022/04/25,NJ,33395,2246234,50.0
64,2022/04/26,NJ,33408,2248959,87.0
65,2022/04/27,NJ,33419,2252045,91.0
66,2022/04/28,NJ,33423,2255205,67.0
67,2022/04/29,NJ,33431,2258440,77.0
68,2022/04/30,NJ,33433,2261694,73.0
69,2022/05/01,NJ,33434,2263991,69.0
70,2022/05/02,NJ,33448,2267006,73.0
71,2022/05/03,NJ,33455,2269649,103.0
72,2022/05/04,NJ,33467,2273050,120.0
73,2022/05/05,NJ,33474,2277389,106.0
74,2022/05/06,NJ,33482,2281655,99.0
75,2022/05/07,NJ,33488,2285641,103.0
76,2022/05/08,NJ,33489,2288950,80.0
77,2022/05/09,NJ,33495,2291089,83.0
78,2022/05/10,NJ,33503,2295482,130.0
79,2022/05/11,NJ,33517,2300407,116.0
80,2022/05/12,NJ,33529,2306574,131.0
81,2022/05/13,NJ,33537,2313062,122.0
82,2022/05/14,NJ,33544,2318229,141.0
83,2022/05/15,NJ,33545,2322204,128.0
84,2022/05/16,NJ,33553,2325525,93.0
85,2022/05/17,NJ,33571,2330144,153.0
86,2022/05/18,NJ,33586,2335255,125.0
87,2022/05/19,NJ,33595,2341250,125.0
88,2022/05/20,NJ,33603,2347382,159.0
89,2022/05/21,NJ,33610,2352650,130.0
90,2022/05/22,NJ,33610,2356577,123.0
91,2022/05/23,NJ,33619,2359532,134.0
92,2022/05/24,NJ,33640,2365656,142.0
93,2022/05/25,NJ,33651,2370508,156.0
94,2022/05/26,NJ,33665,2375979,141.0
95,2022/05/27,NJ,33679,2381173,146.0
