,date,state,death,case,hosp
0,2022/02/21,NM,6796,508863,32.0
1,2022/02/22,NM,6823,509178,33.0
2,2022/02/23,NM,6853,509710,35.0
3,2022/02/24,NM,6875,510330,33.0
4,2022/02/25,NM,6905,510783,33.0
5,2022/02/26,NM,6905,510783,24.0
6,2022/02/27,NM,6905,510783,20.0
7,2022/02/28,NM,6921,511434,23.0
8,2022/03/01,NM,6927,512120,25.0
9,2022/03/02,NM,6941,512550,23.0
10,2022/03/03,NM,6958,512938,27.0
11,2022/03/04,NM,6974,513311,26.0
12,2022/03/05,NM,6974,513311,15.0
13,2022/03/06,NM,6974,513311,20.0
14,2022/03/07,NM,6990,513994,16.0
15,2022/03/08,NM,7012,514170,25.0
16,2022/03/09,NM,7028,514511,15.0
17,2022/03/10,NM,7042,514901,20.0
18,2022/03/11,NM,7052,515164,17.0
19,2022/03/12,NM,7052,515164,16.0
20,2022/03/13,NM,7052,515164,13.0
21,2022/03/14,NM,7080,515554,18.0
22,2022/03/15,NM,7105,515656,14.0
23,2022/03/16,NM,7118,515849,18.0
24,2022/03/17,NM,7130,516055,15.0
25,2022/03/18,NM,7145,516171,12.0
26,2022/03/19,NM,7145,516171,10.0
27,2022/03/20,NM,7147,516210,9.0
28,2022/03/21,NM,7159,516549,8.0
29,2022/03/22,NM,7173,516661,12.0
30,2022/03/23,NM,7182,516889,17.0
31,2022/03/24,NM,7199,517082,10.0
32,2022/03/25,NM,7208,517225,11.0
33,2022/03/26,NM,7208,517225,13.0
34,2022/03/27,NM,7208,517225,10.0
35,2022/03/28,NM,7221,517526,13.0
36,2022/03/29,NM,7236,517608,6.0
37,2022/03/30,NM,7257,517742,10.0
38,2022/03/31,NM,7276,517858,11.0
39,2022/04/01,NM,7281,517951,11.0
40,2022/04/02,NM,7281,517951,7.0
41,2022/04/03,NM,7281,517951,4.0
42,2022/04/04,NM,7295,518470,5.0
43,2022/04/05,NM,7317,518557,5.0
44,2022/04/06,NM,7335,518705,7.0
45,2022/04/07,NM,7353,518820,8.0
46,2022/04/08,NM,7362,518941,8.0
47,2022/04/09,NM,7362,518941,7.0
48,2022/04/10,NM,7362,518941,6.0
49,2022/04/11,NM,7375,519262,4.0
50,2022/04/12,NM,7385,519342,7.0
51,2022/04/13,NM,7392,519510,8.0
52,2022/04/14,NM,7402,519681,7.0
53,2022/04/15,NM,7412,519833,14.0
54,2022/04/16,NM,7412,519833,9.0
55,2022/04/17,NM,7412,519833,2.0
56,2022/04/18,NM,7418,520288,8.0
57,2022/04/19,NM,7429,520402,7.0
58,2022/04/20,NM,7436,520591,8.0
59,2022/04/21,NM,7438,520828,12.0
60,2022/04/22,NM,7444,521018,11.0
61,2022/04/23,NM,7444,521018,7.0
62,2022/04/24,NM,7444,521018,3.0
63,2022/04/25,NM,7447,521432,5.0
64,2022/04/26,NM,7456,521583,8.0
65,2022/04/27,NM,7465,521823,9.0
66,2022/04/28,NM,7486,522094,8.0
67,2022/04/29,NM,7501,522329,11.0
68,2022/04/30,NM,7501,522329,5.0
69,2022/05/01,NM,7501,522329,4.0
70,2022/05/02,NM,7518,522857,7.0
71,2022/05/03,NM,7530,523023,4.0
72,2022/05/04,NM,7538,523268,6.0
73,2022/05/05,NM,7549,523621,8.0
74,2022/05/06,NM,7564,523940,5.0
75,2022/05/07,NM,7564,523940,8.0
76,2022/05/08,NM,7558,523940,5.0
77,2022/05/09,NM,7570,524644,11.0
78,2022/05/10,NM,7583,524895,11.0
79,2022/05/11,NM,7596,525249,12.0
80,2022/05/12,NM,7602,525751,9.0
81,2022/05/13,NM,7609,526137,13.0
82,2022/05/14,NM,7609,526137,11.0
83,2022/05/15,NM,7609,526137,10.0
84,2022/05/16,NM,7625,527161,12.0
85,2022/05/17,NM,7640,527534,17.0
86,2022/05/18,NM,7652,528146,17.0
87,2022/05/19,NM,7666,528699,14.0
88,2022/05/20,NM,7677,529336,15.0
89,2022/05/21,NM,7677,529336,17.0
90,2022/05/22,NM,7677,529336,16.0
91,2022/05/23,NM,7686,530772,8.0
92,2022/05/24,NM,7702,531309,18.0
93,2022/05/25,NM,7734,532240,14.0
94,2022/05/26,NM,7758,533074,22.0
95,2022/05/27,NM,7780,533867,16.0
