,date,state,death,case,hosp
0,2022/02/21,NV,9508,677345,50.0
1,2022/02/22,NV,9554,678401,59.0
2,2022/02/23,NV,9575,678684,50.0
3,2022/02/24,NV,9613,679715,40.0
4,2022/02/25,NV,9664,681387,37.0
5,2022/02/26,NV,9664,681387,39.0
6,2022/02/27,NV,9664,681387,39.0
7,2022/02/28,NV,9704,683766,30.0
8,2022/03/01,NV,9716,684031,33.0
9,2022/03/02,NV,9753,684441,32.0
10,2022/03/03,NV,9774,684821,36.0
11,2022/03/04,NV,9799,685346,22.0
12,2022/03/05,NV,9799,685346,39.0
13,2022/03/06,NV,9799,685346,21.0
14,2022/03/07,NV,9820,685865,19.0
15,2022/03/08,NV,9844,686236,27.0
16,2022/03/09,NV,9875,686806,27.0
17,2022/03/10,NV,9895,687506,24.0
18,2022/03/11,NV,9922,688054,14.0
19,2022/03/12,NV,9922,688054,21.0
20,2022/03/13,NV,9922,688054,19.0
21,2022/03/14,NV,9922,688054,13.0
22,2022/03/15,NV,9933,710709,22.0
23,2022/03/16,NV,9949,710709,18.0
24,2022/03/17,NV,9949,710848,19.0
25,2022/03/18,NV,9949,710848,20.0
26,2022/03/19,NV,9988,711249,11.0
27,2022/03/20,NV,9988,711249,16.0
28,2022/03/21,NV,9988,711249,18.0
29,2022/03/22,NV,10016,711451,15.0
30,2022/03/23,NV,10031,711794,21.0
31,2022/03/24,NV,10031,711794,20.0
32,2022/03/25,NV,10043,712197,15.0
33,2022/03/26,NV,10053,712404,14.0
34,2022/03/27,NV,10053,712404,15.0
35,2022/03/28,NV,10053,712404,11.0
36,2022/03/29,NV,10056,712638,22.0
37,2022/03/30,NV,10091,712983,16.0
38,2022/03/31,NV,10091,713129,16.0
39,2022/04/01,NV,10107,713287,8.0
40,2022/04/02,NV,10125,713505,14.0
41,2022/04/03,NV,10125,713505,11.0
42,2022/04/04,NV,10125,713505,13.0
43,2022/04/05,NV,10132,713697,7.0
44,2022/04/06,NV,10136,714180,11.0
45,2022/04/07,NV,10136,714299,15.0
46,2022/04/08,NV,10154,714478,11.0
47,2022/04/09,NV,10164,714652,9.0
48,2022/04/10,NV,10164,714652,9.0
49,2022/04/11,NV,10164,714652,10.0
50,2022/04/12,NV,10185,714925,13.0
51,2022/04/13,NV,10501,715377,11.0
52,2022/04/14,NV,10501,715498,12.0
53,2022/04/15,NV,10660,715696,15.0
54,2022/04/16,NV,10665,715906,7.0
55,2022/04/17,NV,10665,715906,15.0
56,2022/04/18,NV,10665,715906,6.0
57,2022/04/19,NV,10682,716157,8.0
58,2022/04/20,NV,10684,716548,14.0
59,2022/04/21,NV,10684,716731,14.0
60,2022/04/22,NV,10684,717028,15.0
61,2022/04/23,NV,10728,717368,14.0
62,2022/04/24,NV,10728,717368,10.0
63,2022/04/25,NV,10728,717368,6.0
64,2022/04/26,NV,10728,717604,11.0
65,2022/04/27,NV,10752,718437,17.0
66,2022/04/28,NV,10752,718675,15.0
67,2022/04/29,NV,10775,719023,14.0
68,2022/04/30,NV,10774,719451,8.0
69,2022/05/01,NV,10774,719451,18.0
70,2022/05/02,NV,10774,719451,21.0
71,2022/05/03,NV,10777,719817,24.0
72,2022/05/04,NV,10780,720739,14.0
73,2022/05/05,NV,10780,721100,29.0
74,2022/05/06,NV,10786,721551,20.0
75,2022/05/07,NV,10787,722133,25.0
76,2022/05/08,NV,10787,722133,15.0
77,2022/05/09,NV,10787,722133,20.0
78,2022/05/10,NV,10788,722619,19.0
79,2022/05/11,NV,10798,724044,22.0
80,2022/05/12,NV,10798,724364,22.0
81,2022/05/13,NV,10802,724922,28.0
82,2022/05/14,NV,10802,724922,25.0
83,2022/05/15,NV,10802,724922,22.0
84,2022/05/16,NV,10802,724922,29.0
85,2022/05/17,NV,10814,726312,24.0
86,2022/05/18,NV,10824,728159,27.0
87,2022/05/19,NV,10824,728764,30.0
88,2022/05/20,NV,10824,728764,27.0
89,2022/05/21,NV,10829,730666,31.0
90,2022/05/22,NV,10829,730666,26.0
91,2022/05/23,NV,10829,730666,34.0
92,2022/05/24,NV,10842,731636,28.0
93,2022/05/25,NV,10872,734290,39.0
94,2022/05/26,NV,10872,735021,33.0
95,2022/05/27,NV,10872,735021,38.0
