,date,state,death,case,hosp
0,2022/02/21,NY,66418,4894236,172.0
1,2022/02/22,NY,66485,4895859,205.0
2,2022/02/23,NY,66544,4898058,234.0
3,2022/02/24,NY,66602,4900723,213.0
4,2022/02/25,NY,66658,4903132,206.0
5,2022/02/26,NY,66681,4904574,187.0
6,2022/02/27,NY,66726,4907229,154.0
7,2022/02/28,NY,66741,4908495,139.0
8,2022/03/01,NY,66791,4909771,188.0
9,2022/03/02,NY,66829,4911447,183.0
10,2022/03/03,NY,66863,4913870,177.0
11,2022/03/04,NY,66895,4914637,161.0
12,2022/03/05,NY,66907,4917196,167.0
13,2022/03/06,NY,66940,4920181,111.0
14,2022/03/07,NY,66955,4921272,92.0
15,2022/03/08,NY,66990,4922305,129.0
16,2022/03/09,NY,66995,4923926,130.0
17,2022/03/10,NY,67003,4925680,119.0
18,2022/03/11,NY,67027,4927976,111.0
19,2022/03/12,NY,67027,4928980,124.0
20,2022/03/13,NY,67067,4931658,76.0
21,2022/03/14,NY,67073,4932742,86.0
22,2022/03/15,NY,67105,4935240,113.0
23,2022/03/16,NY,67145,4937364,124.0
24,2022/03/17,NY,67172,4939755,111.0
25,2022/03/18,NY,67191,4941880,123.0
26,2022/03/19,NY,67194,4943481,99.0
27,2022/03/20,NY,67198,4946816,71.0
28,2022/03/21,NY,67203,4948160,96.0
29,2022/03/22,NY,67218,4949516,116.0
30,2022/03/23,NY,67238,4953072,99.0
31,2022/03/24,NY,67242,4956766,100.0
32,2022/03/25,NY,67254,4960146,113.0
33,2022/03/26,NY,67264,4961905,113.0
34,2022/03/27,NY,67276,4966262,87.0
35,2022/03/28,NY,67285,4968589,83.0
36,2022/03/29,NY,67299,4970905,121.0
37,2022/03/30,NY,67306,4973964,133.0
38,2022/03/31,NY,67313,4978875,122.0
39,2022/04/01,NY,67330,4982764,144.0
40,2022/04/02,NY,67334,4985141,147.0
41,2022/04/03,NY,67341,4987149,98.0
42,2022/04/04,NY,67354,4993542,107.0
43,2022/04/05,NY,67357,4996128,134.0
44,2022/04/06,NY,67369,4999644,161.0
45,2022/04/07,NY,67378,5005809,167.0
46,2022/04/08,NY,67387,5011544,168.0
47,2022/04/09,NY,67394,5014807,177.0
48,2022/04/10,NY,67401,5018213,144.0
49,2022/04/11,NY,67413,5027587,148.0
50,2022/04/12,NY,67427,5031095,202.0
51,2022/04/13,NY,67442,5036645,195.0
52,2022/04/14,NY,67447,5044079,204.0
53,2022/04/15,NY,67459,5050965,202.0
54,2022/04/16,NY,67459,5055230,192.0
55,2022/04/17,NY,67459,5058582,134.0
56,2022/04/18,NY,67470,5068947,216.0
57,2022/04/19,NY,67507,5073609,206.0
58,2022/04/20,NY,67525,5080508,271.0
59,2022/04/21,NY,67547,5087631,245.0
60,2022/04/22,NY,67557,5096091,274.0
61,2022/04/23,NY,67561,5100177,269.0
62,2022/04/24,NY,67572,5104382,213.0
63,2022/04/25,NY,67587,5114160,223.0
64,2022/04/26,NY,67605,5118962,291.0
65,2022/04/27,NY,67625,5126231,291.0
66,2022/04/28,NY,67648,5136083,326.0
67,2022/04/29,NY,67664,5144886,311.0
68,2022/04/30,NY,67684,5150193,284.0
69,2022/05/01,NY,67694,5154714,251.0
70,2022/05/02,NY,67711,5166413,256.0
71,2022/05/03,NY,67727,5172487,375.0
72,2022/05/04,NY,67745,5180822,363.0
73,2022/05/05,NY,67770,5191562,346.0
74,2022/05/06,NY,67786,5202698,373.0
75,2022/05/07,NY,67797,5209140,382.0
76,2022/05/08,NY,67816,5215540,306.0
77,2022/05/09,NY,67837,5232634,299.0
78,2022/05/10,NY,67865,5239296,381.0
79,2022/05/11,NY,67892,5248641,365.0
80,2022/05/12,NY,67913,5262629,389.0
81,2022/05/13,NY,67938,5274472,431.0
82,2022/05/14,NY,67953,5280834,415.0
83,2022/05/15,NY,67971,5286182,329.0
84,2022/05/16,NY,68004,5301899,376.0
85,2022/05/17,NY,68033,5309983,427.0
86,2022/05/18,NY,68055,5320730,418.0
87,2022/05/19,NY,68084,5332600,371.0
88,2022/05/20,NY,68112,5343396,371.0
89,2022/05/21,NY,68112,5343396,361.0
90,2022/05/22,NY,68140,5352710,339.0
91,2022/05/23,NY,68165,5369376,322.0
92,2022/05/24,NY,68206,5376056,396.0
93,2022/05/25,NY,68237,5384203,359.0
94,2022/05/26,NY,68254,5394508,381.0
95,2022/05/27,NY,68292,5404333,404.0
