,date,state,death,case,hosp
0,2022/02/21,OH,35493,2645679,125.0
1,2022/02/22,OH,36267,2647048,162.0
2,2022/02/23,OH,36267,2648371,164.0
3,2022/02/24,OH,36267,2649692,155.0
4,2022/02/25,OH,36580,2651304,148.0
5,2022/02/26,OH,36580,2652634,132.0
6,2022/02/27,OH,36580,2653211,109.0
7,2022/02/28,OH,36580,2653940,87.0
8,2022/03/01,OH,36822,2654991,137.0
9,2022/03/02,OH,36822,2656162,99.0
10,2022/03/03,OH,36822,2657358,119.0
11,2022/03/04,OH,37018,2658276,110.0
12,2022/03/05,OH,37018,2659138,89.0
13,2022/03/06,OH,37018,2659498,85.0
14,2022/03/07,OH,37018,2659929,68.0
15,2022/03/08,OH,37212,2660728,75.0
16,2022/03/09,OH,37212,2661557,81.0
17,2022/03/10,OH,37212,2662425,81.0
18,2022/03/11,OH,37410,2663019,74.0
19,2022/03/12,OH,37410,2663518,79.0
20,2022/03/13,OH,37410,2663835,68.0
21,2022/03/14,OH,37410,2663835,45.0
22,2022/03/15,OH,37410,2663835,72.0
23,2022/03/16,OH,37410,2663835,83.0
24,2022/03/17,OH,37608,2666030,78.0
25,2022/03/18,OH,37608,2666030,75.0
26,2022/03/19,OH,37608,2666030,64.0
27,2022/03/20,OH,37608,2666030,57.0
28,2022/03/21,OH,37608,2666030,52.0
29,2022/03/22,OH,37608,2666030,59.0
30,2022/03/23,OH,37608,2666030,57.0
31,2022/03/24,OH,37793,2669698,48.0
32,2022/03/25,OH,37793,2669698,46.0
33,2022/03/26,OH,37793,2669698,40.0
34,2022/03/27,OH,37793,2669698,50.0
35,2022/03/28,OH,37793,2669698,44.0
36,2022/03/29,OH,37793,2669698,47.0
37,2022/03/30,OH,37793,2669698,39.0
38,2022/03/31,OH,38042,2672801,49.0
39,2022/04/01,OH,38042,2672801,41.0
40,2022/04/02,OH,38042,2672801,31.0
41,2022/04/03,OH,38042,2672801,32.0
42,2022/04/04,OH,38042,2672801,36.0
43,2022/04/05,OH,38042,2672801,41.0
44,2022/04/06,OH,38042,2672801,43.0
45,2022/04/07,OH,38166,2676629,32.0
46,2022/04/08,OH,38166,2676629,56.0
47,2022/04/09,OH,38166,2676629,51.0
48,2022/04/10,OH,38166,2676629,46.0
49,2022/04/11,OH,38166,2676629,36.0
50,2022/04/12,OH,38166,2676629,51.0
51,2022/04/13,OH,38166,2676629,47.0
52,2022/04/14,OH,38266,2681437,52.0
53,2022/04/15,OH,38266,2681437,58.0
54,2022/04/16,OH,38266,2681437,43.0
55,2022/04/17,OH,38266,2681437,38.0
56,2022/04/18,OH,38266,2681437,39.0
57,2022/04/19,OH,38266,2681437,54.0
58,2022/04/20,OH,38266,2681437,62.0
59,2022/04/21,OH,38360,2688327,58.0
60,2022/04/22,OH,38360,2688327,58.0
61,2022/04/23,OH,38360,2688327,60.0
62,2022/04/24,OH,38360,2688327,52.0
63,2022/04/25,OH,38360,2688327,55.0
64,2022/04/26,OH,38360,2688327,53.0
65,2022/04/27,OH,38360,2688327,77.0
66,2022/04/28,OH,38428,2697058,72.0
67,2022/04/29,OH,38428,2697058,63.0
68,2022/04/30,OH,38428,2697058,75.0
69,2022/05/01,OH,38428,2697058,63.0
70,2022/05/02,OH,38428,2697058,93.0
71,2022/05/03,OH,38428,2697058,80.0
72,2022/05/04,OH,38428,2697058,96.0
73,2022/05/05,OH,38495,2708071,83.0
74,2022/05/06,OH,38495,2708071,90.0
75,2022/05/07,OH,38495,2708071,84.0
76,2022/05/08,OH,38495,2708071,76.0
77,2022/05/09,OH,38495,2708071,75.0
78,2022/05/10,OH,38495,2708071,84.0
79,2022/05/11,OH,38495,2708071,105.0
80,2022/05/12,OH,38550,2724041,129.0
81,2022/05/13,OH,38550,2724041,121.0
82,2022/05/14,OH,38550,2724041,105.0
83,2022/05/15,OH,38550,2724041,106.0
84,2022/05/16,OH,38550,2724041,100.0
85,2022/05/17,OH,38550,2724041,139.0
86,2022/05/18,OH,38550,2724041,122.0
87,2022/05/19,OH,38590,2743577,139.0
88,2022/05/20,OH,38590,2743577,149.0
89,2022/05/21,OH,38590,2743577,140.0
90,2022/05/22,OH,38590,2743577,141.0
91,2022/05/23,OH,38590,2743577,121.0
92,2022/05/24,OH,38590,2743577,145.0
93,2022/05/25,OH,38590,2743577,152.0
94,2022/05/26,OH,38628,2763123,153.0
95,2022/05/27,OH,38628,2763123,154.0
