,date,state,death,case,hosp
0,2022/02/21,OK,12767,1013287,83.0
1,2022/02/22,OK,12767,1015935,97.0
2,2022/02/23,OK,12990,1016945,116.0
3,2022/02/24,OK,12990,1018328,67.0
4,2022/02/25,OK,12990,1019489,83.0
5,2022/02/26,OK,12990,1019489,64.0
6,2022/02/27,OK,12990,1019489,50.0
7,2022/02/28,OK,12990,1021595,56.0
8,2022/03/01,OK,12990,1021849,63.0
9,2022/03/02,OK,13278,1022769,63.0
10,2022/03/03,OK,13278,1023358,59.0
11,2022/03/04,OK,13278,1024471,48.0
12,2022/03/05,OK,13278,1024471,41.0
13,2022/03/06,OK,13278,1024471,33.0
14,2022/03/07,OK,13278,1024471,35.0
15,2022/03/08,OK,13278,1026472,43.0
16,2022/03/09,OK,13278,1026472,30.0
17,2022/03/10,OK,13514,1026650,36.0
18,2022/03/11,OK,13514,1027136,33.0
19,2022/03/12,OK,13514,1027663,30.0
20,2022/03/13,OK,13514,1027663,26.0
21,2022/03/14,OK,13514,1027663,22.0
22,2022/03/15,OK,13730,1028420,32.0
23,2022/03/16,OK,13730,1028420,25.0
24,2022/03/17,OK,13730,1029977,23.0
25,2022/03/18,OK,13730,1029977,23.0
26,2022/03/19,OK,13730,1029977,17.0
27,2022/03/20,OK,13730,1029977,26.0
28,2022/03/21,OK,13730,1029977,13.0
29,2022/03/22,OK,13730,1031145,23.0
30,2022/03/23,OK,13730,1031145,23.0
31,2022/03/24,OK,13889,1031896,12.0
32,2022/03/25,OK,13889,1031896,10.0
33,2022/03/26,OK,13889,1032520,11.0
34,2022/03/27,OK,13889,1032520,11.0
35,2022/03/28,OK,13889,1032520,15.0
36,2022/03/29,OK,13889,1033256,24.0
37,2022/03/30,OK,13889,1033256,22.0
38,2022/03/31,OK,14010,1033848,22.0
39,2022/04/01,OK,14010,1033848,17.0
40,2022/04/02,OK,14010,1034439,19.0
41,2022/04/03,OK,14010,1034439,16.0
42,2022/04/04,OK,14010,1034439,9.0
43,2022/04/05,OK,14010,1035301,12.0
44,2022/04/06,OK,14010,1035301,15.0
45,2022/04/07,OK,14087,1035301,15.0
46,2022/04/08,OK,14087,1035301,10.0
47,2022/04/09,OK,14087,1036133,5.0
48,2022/04/10,OK,14087,1036133,8.0
49,2022/04/11,OK,14087,1036133,8.0
50,2022/04/12,OK,14087,1036495,13.0
51,2022/04/13,OK,14087,1036495,7.0
52,2022/04/14,OK,14166,1036495,8.0
53,2022/04/15,OK,14166,1036495,15.0
54,2022/04/16,OK,14166,1037729,10.0
55,2022/04/17,OK,14166,1037729,11.0
56,2022/04/18,OK,14166,1037729,12.0
57,2022/04/19,OK,14173,1038301,13.0
58,2022/04/20,OK,14173,1038301,8.0
59,2022/04/21,OK,14219,1038801,10.0
60,2022/04/22,OK,14219,1038801,10.0
61,2022/04/23,OK,14219,1039415,6.0
62,2022/04/24,OK,14219,1039415,4.0
63,2022/04/25,OK,14219,1039415,11.0
64,2022/04/26,OK,14219,1039952,9.0
65,2022/04/27,OK,14219,1039952,10.0
66,2022/04/28,OK,14271,1040416,13.0
67,2022/04/29,OK,14271,1040416,15.0
68,2022/04/30,OK,14271,1040982,3.0
69,2022/05/01,OK,14271,1040982,2.0
70,2022/05/02,OK,14271,1040982,5.0
71,2022/05/03,OK,14271,1041397,13.0
72,2022/05/04,OK,14271,1041397,7.0
73,2022/05/05,OK,14346,1042136,13.0
74,2022/05/06,OK,14346,1042136,11.0
75,2022/05/07,OK,14346,1042637,9.0
76,2022/05/08,OK,14346,1042637,9.0
77,2022/05/09,OK,14346,1042637,7.0
78,2022/05/10,OK,14346,1043539,9.0
79,2022/05/11,OK,14346,1043539,21.0
80,2022/05/12,OK,14380,1044179,10.0
81,2022/05/13,OK,14380,1044179,10.0
82,2022/05/14,OK,14380,1044868,16.0
83,2022/05/15,OK,14380,1044868,14.0
84,2022/05/16,OK,14380,1044868,11.0
85,2022/05/17,OK,14380,1044868,6.0
86,2022/05/18,OK,14380,1044868,15.0
87,2022/05/19,OK,14419,1046359,10.0
88,2022/05/20,OK,14419,1046359,14.0
89,2022/05/21,OK,14419,1047216,17.0
90,2022/05/22,OK,14419,1047216,11.0
91,2022/05/23,OK,14419,1047216,17.0
92,2022/05/24,OK,14419,1048033,21.0
93,2022/05/25,OK,14419,1048033,14.0
94,2022/05/26,OK,14420,1048988,23.0
95,2022/05/27,OK,14420,1048988,16.0
