,date,state,death,case,hosp
0,2022/02/21,OR,6456,685953,78.0
1,2022/02/22,OR,6485,689325,73.0
2,2022/02/23,OR,6519,690481,58.0
3,2022/02/24,OR,6578,691337,54.0
4,2022/02/25,OR,6582,692261,67.0
5,2022/02/26,OR,6582,692261,59.0
6,2022/02/27,OR,6582,692261,45.0
7,2022/02/28,OR,6622,693929,38.0
8,2022/03/01,OR,6648,694649,54.0
9,2022/03/02,OR,6652,695323,58.0
10,2022/03/03,OR,6686,696003,39.0
11,2022/03/04,OR,6709,696717,49.0
12,2022/03/05,OR,6709,696717,49.0
13,2022/03/06,OR,6709,696717,27.0
14,2022/03/07,OR,6743,697775,29.0
15,2022/03/08,OR,6772,698127,31.0
16,2022/03/09,OR,6800,698564,39.0
17,2022/03/10,OR,6854,698982,31.0
18,2022/03/11,OR,6869,699362,37.0
19,2022/03/12,OR,6869,699362,31.0
20,2022/03/13,OR,6869,699362,27.0
21,2022/03/14,OR,6885,699960,21.0
22,2022/03/15,OR,6899,700361,28.0
23,2022/03/16,OR,6933,700660,27.0
24,2022/03/17,OR,6960,700960,30.0
25,2022/03/18,OR,6971,701198,25.0
26,2022/03/19,OR,6971,701198,22.0
27,2022/03/20,OR,6971,701198,14.0
28,2022/03/21,OR,6975,701729,15.0
29,2022/03/22,OR,6983,701992,17.0
30,2022/03/23,OR,7013,702288,18.0
31,2022/03/24,OR,7033,702566,21.0
32,2022/03/25,OR,7035,702750,17.0
33,2022/03/26,OR,7035,702750,19.0
34,2022/03/27,OR,7035,702750,13.0
35,2022/03/28,OR,7074,703132,13.0
36,2022/03/29,OR,7115,703465,14.0
37,2022/03/30,OR,7139,703838,8.0
38,2022/03/31,OR,7144,704152,13.0
39,2022/04/01,OR,7147,704515,12.0
40,2022/04/02,OR,7147,704515,13.0
41,2022/04/03,OR,7147,704515,10.0
42,2022/04/04,OR,7214,705120,6.0
43,2022/04/05,OR,7219,705466,15.0
44,2022/04/06,OR,7225,705817,14.0
45,2022/04/07,OR,7281,706252,18.0
46,2022/04/08,OR,7296,706687,21.0
47,2022/04/09,OR,7296,706687,13.0
48,2022/04/10,OR,7296,706687,14.0
49,2022/04/11,OR,7315,707512,18.0
50,2022/04/12,OR,7399,707987,12.0
51,2022/04/13,OR,7404,708522,17.0
52,2022/04/14,OR,7427,709125,15.0
53,2022/04/15,OR,7443,709586,19.0
54,2022/04/16,OR,7443,709586,20.0
55,2022/04/17,OR,7443,709586,18.0
56,2022/04/18,OR,7455,711100,18.0
57,2022/04/19,OR,7461,711827,31.0
58,2022/04/20,OR,7468,712686,16.0
59,2022/04/21,OR,7478,713618,13.0
60,2022/04/22,OR,7478,714346,21.0
61,2022/04/23,OR,7478,714346,22.0
62,2022/04/24,OR,7478,714346,17.0
63,2022/04/25,OR,7487,716414,19.0
64,2022/04/26,OR,7488,717505,20.0
65,2022/04/27,OR,7499,718630,17.0
66,2022/04/28,OR,7502,719857,24.0
67,2022/04/29,OR,7502,721311,27.0
68,2022/04/30,OR,7502,721311,27.0
69,2022/05/01,OR,7502,721311,30.0
70,2022/05/02,OR,7505,723336,30.0
71,2022/05/03,OR,7511,725150,20.0
72,2022/05/04,OR,7519,726612,26.0
73,2022/05/05,OR,7520,728335,36.0
74,2022/05/06,OR,7528,729413,31.0
75,2022/05/07,OR,7528,729413,21.0
76,2022/05/08,OR,7528,729413,39.0
77,2022/05/09,OR,7541,732382,33.0
78,2022/05/10,OR,7546,734014,26.0
79,2022/05/11,OR,7548,735464,36.0
80,2022/05/12,OR,7556,737186,37.0
81,2022/05/13,OR,7560,738830,31.0
82,2022/05/14,OR,7560,738830,41.0
83,2022/05/15,OR,7560,738830,30.0
84,2022/05/16,OR,7563,741780,36.0
85,2022/05/17,OR,7567,743781,46.0
86,2022/05/18,OR,7568,745723,52.0
87,2022/05/19,OR,7580,747342,48.0
88,2022/05/20,OR,7586,749722,38.0
89,2022/05/21,OR,7586,749722,42.0
90,2022/05/22,OR,7586,749722,41.0
91,2022/05/23,OR,7591,753576,36.0
92,2022/05/24,OR,7598,755367,55.0
93,2022/05/25,OR,7607,757210,49.0
94,2022/05/26,OR,7610,758879,49.0
95,2022/05/27,OR,7611,760804,50.0
