,date,state,death,case,hosp
0,2022/02/21,PA,42789,2744145,160.0
1,2022/02/22,PA,42789,2746745,190.0
2,2022/02/23,PA,43002,2749767,149.0
3,2022/02/24,PA,43069,2751629,156.0
4,2022/02/25,PA,43148,2753361,173.0
5,2022/02/26,PA,43203,2755730,162.0
6,2022/02/27,PA,43215,2756546,136.0
7,2022/02/28,PA,43216,2757425,113.0
8,2022/03/01,PA,43332,2758482,136.0
9,2022/03/02,PA,43421,2759653,143.0
10,2022/03/03,PA,43486,2760952,119.0
11,2022/03/04,PA,43525,2762093,119.0
12,2022/03/05,PA,43525,2763033,108.0
13,2022/03/06,PA,43600,2763589,107.0
14,2022/03/07,PA,43600,2764367,99.0
15,2022/03/08,PA,43692,2765682,91.0
16,2022/03/09,PA,43730,2766523,86.0
17,2022/03/10,PA,43767,2767631,74.0
18,2022/03/11,PA,43808,2768513,74.0
19,2022/03/12,PA,43834,2769336,96.0
20,2022/03/13,PA,43839,2769702,62.0
21,2022/03/14,PA,43845,2770077,63.0
22,2022/03/15,PA,43909,2771090,77.0
23,2022/03/16,PA,43962,2772116,77.0
24,2022/03/17,PA,43992,2772886,68.0
25,2022/03/18,PA,44011,2773762,66.0
26,2022/03/19,PA,44011,2774453,58.0
27,2022/03/20,PA,44049,2774815,46.0
28,2022/03/21,PA,44050,2775183,44.0
29,2022/03/22,PA,44091,2775728,47.0
30,2022/03/23,PA,44115,2776302,52.0
31,2022/03/24,PA,44152,2777260,53.0
32,2022/03/25,PA,44180,2777986,56.0
33,2022/03/26,PA,44208,2778646,59.0
34,2022/03/27,PA,44209,2779049,39.0
35,2022/03/28,PA,44211,2779328,33.0
36,2022/03/29,PA,44238,2779921,64.0
37,2022/03/30,PA,44260,2780481,44.0
38,2022/03/31,PA,44275,2781353,45.0
39,2022/04/01,PA,44295,2782174,51.0
40,2022/04/02,PA,44313,2782827,44.0
41,2022/04/03,PA,44313,2782827,37.0
42,2022/04/04,PA,44316,2783690,35.0
43,2022/04/05,PA,44348,2784487,45.0
44,2022/04/06,PA,44370,2785346,45.0
45,2022/04/07,PA,44391,2786509,44.0
46,2022/04/08,PA,44404,2787687,51.0
47,2022/04/09,PA,44417,2788744,40.0
48,2022/04/10,PA,44424,2789262,43.0
49,2022/04/11,PA,44425,2789749,34.0
50,2022/04/12,PA,44442,2791018,48.0
51,2022/04/13,PA,44441,2792250,57.0
52,2022/04/14,PA,44464,2793978,66.0
53,2022/04/15,PA,44474,2795539,63.0
54,2022/04/16,PA,44488,2796875,51.0
55,2022/04/17,PA,44488,2797607,56.0
56,2022/04/18,PA,44488,2798707,46.0
57,2022/04/19,PA,44539,2800317,59.0
58,2022/04/20,PA,44550,2801534,81.0
59,2022/04/21,PA,44578,2803378,71.0
60,2022/04/22,PA,44592,2804987,83.0
61,2022/04/23,PA,44602,2806984,55.0
62,2022/04/24,PA,44608,2808171,64.0
63,2022/04/25,PA,44610,2809243,55.0
64,2022/04/26,PA,44616,2810781,81.0
65,2022/04/27,PA,44629,2812954,99.0
66,2022/04/28,PA,44641,2815518,105.0
67,2022/04/29,PA,44663,2817766,94.0
68,2022/04/30,PA,44677,2820219,92.0
69,2022/05/01,PA,44678,2821667,78.0
70,2022/05/02,PA,44679,2823133,90.0
71,2022/05/03,PA,44713,2825267,85.0
72,2022/05/04,PA,44733,2827882,106.0
73,2022/05/05,PA,44733,2828639,109.0
74,2022/05/06,PA,44733,2829027,136.0
75,2022/05/07,PA,44733,2829027,116.0
76,2022/05/08,PA,44733,2829027,88.0
77,2022/05/09,PA,44733,2829776,107.0
78,2022/05/10,PA,44733,2829776,155.0
79,2022/05/11,PA,44814,2849865,137.0
80,2022/05/12,PA,44814,2850343,153.0
81,2022/05/13,PA,44814,2850343,169.0
82,2022/05/14,PA,44814,2850343,159.0
83,2022/05/15,PA,44814,2850343,143.0
84,2022/05/16,PA,44814,2852056,150.0
85,2022/05/17,PA,44856,2868494,182.0
86,2022/05/18,PA,44898,2877660,171.0
87,2022/05/19,PA,44898,2877660,165.0
88,2022/05/20,PA,44923,2882374,181.0
89,2022/05/21,PA,44923,2887716,204.0
90,2022/05/22,PA,44923,2887716,154.0
91,2022/05/23,PA,44923,2887716,164.0
92,2022/05/24,PA,45098,2899047,171.0
93,2022/05/25,PA,45147,2907324,196.0
94,2022/05/26,PA,45147,2907324,200.0
95,2022/05/27,PA,45169,2913240,203.0
