,date,state,death,case,hosp
0,2022/02/21,RI,3402,354617,9.0
1,2022/02/22,RI,3404,354817,6.0
2,2022/02/23,RI,3404,355014,9.0
3,2022/02/24,RI,3406,355294,11.0
4,2022/02/25,RI,3406,355509,9.0
5,2022/02/26,RI,3406,355509,5.0
6,2022/02/27,RI,3406,355509,4.0
7,2022/02/28,RI,3412,355925,8.0
8,2022/03/01,RI,3413,356095,5.0
9,2022/03/02,RI,3413,356436,8.0
10,2022/03/03,RI,3415,356627,5.0
11,2022/03/04,RI,3417,356783,5.0
12,2022/03/05,RI,3417,356783,0.0
13,2022/03/06,RI,3417,356783,1.0
14,2022/03/07,RI,3419,357136,2.0
15,2022/03/08,RI,3419,357266,7.0
16,2022/03/09,RI,3419,357440,5.0
17,2022/03/10,RI,3421,357647,4.0
18,2022/03/11,RI,3421,357802,2.0
19,2022/03/12,RI,3421,357802,6.0
20,2022/03/13,RI,3421,357802,0.0
21,2022/03/14,RI,3422,358209,1.0
22,2022/03/15,RI,3423,358429,5.0
23,2022/03/16,RI,3427,358637,7.0
24,2022/03/17,RI,3429,358880,4.0
25,2022/03/18,RI,3429,359064,4.0
26,2022/03/19,RI,3429,359064,13.0
27,2022/03/20,RI,3429,359064,1.0
28,2022/03/21,RI,3431,359470,6.0
29,2022/03/22,RI,3431,359610,4.0
30,2022/03/23,RI,3433,359823,5.0
31,2022/03/24,RI,3435,360016,4.0
32,2022/03/25,RI,3438,360172,4.0
33,2022/03/26,RI,3438,360172,2.0
34,2022/03/27,RI,3438,360172,2.0
35,2022/03/28,RI,3521,360594,1.0
36,2022/03/29,RI,3522,360759,4.0
37,2022/03/30,RI,3522,360959,4.0
38,2022/03/31,RI,3522,361262,3.0
39,2022/04/01,RI,3522,361508,7.0
40,2022/04/02,RI,3522,361508,5.0
41,2022/04/03,RI,3522,361508,7.0
42,2022/04/04,RI,3522,362000,3.0
43,2022/04/05,RI,3523,362267,5.0
44,2022/04/06,RI,3524,362635,4.0
45,2022/04/07,RI,3524,363033,5.0
46,2022/04/08,RI,3525,363372,4.0
47,2022/04/09,RI,3525,363372,5.0
48,2022/04/10,RI,3525,363372,2.0
49,2022/04/11,RI,3527,364184,2.0
50,2022/04/12,RI,3527,364648,7.0
51,2022/04/13,RI,3527,365009,9.0
52,2022/04/14,RI,3527,365548,2.0
53,2022/04/15,RI,3527,365880,9.0
54,2022/04/16,RI,3527,365880,4.0
55,2022/04/17,RI,3527,365880,3.0
56,2022/04/18,RI,3529,366740,4.0
57,2022/04/19,RI,3532,367095,9.0
58,2022/04/20,RI,3532,367413,4.0
59,2022/04/21,RI,3532,367902,5.0
60,2022/04/22,RI,3532,368246,10.0
61,2022/04/23,RI,3532,368246,2.0
62,2022/04/24,RI,3532,368246,8.0
63,2022/04/25,RI,3535,369234,5.0
64,2022/04/26,RI,3538,369723,8.0
65,2022/04/27,RI,3538,370262,7.0
66,2022/04/28,RI,3538,370920,11.0
67,2022/04/29,RI,3540,371629,11.0
68,2022/04/30,RI,3540,371629,6.0
69,2022/05/01,RI,3540,371629,8.0
70,2022/05/02,RI,3540,372866,7.0
71,2022/05/03,RI,3541,373437,14.0
72,2022/05/04,RI,3541,374181,11.0
73,2022/05/05,RI,3542,375119,7.0
74,2022/05/06,RI,3544,375897,9.0
75,2022/05/07,RI,3544,375897,7.0
76,2022/05/08,RI,3544,375897,12.0
77,2022/05/09,RI,3546,377576,6.0
78,2022/05/10,RI,3547,378424,10.0
79,2022/05/11,RI,3548,379414,14.0
80,2022/05/12,RI,3548,380384,23.0
81,2022/05/13,RI,3552,381271,20.0
82,2022/05/14,RI,3552,381271,14.0
83,2022/05/15,RI,3552,381271,10.0
84,2022/05/16,RI,3554,383209,5.0
85,2022/05/17,RI,3559,384187,16.0
86,2022/05/18,RI,3561,385153,17.0
87,2022/05/19,RI,3561,386196,14.0
88,2022/05/20,RI,3562,387083,9.0
89,2022/05/21,RI,3562,387083,12.0
90,2022/05/22,RI,3562,387083,6.0
91,2022/05/23,RI,3562,388586,10.0
92,2022/05/24,RI,3565,389305,10.0
93,2022/05/25,RI,3565,389901,13.0
94,2022/05/26,RI,3569,390639,10.0
95,2022/05/27,RI,3577,391275,17.0
