,date,state,death,case,hosp
0,2022/02/21,SC,16533,1449637,61.0
1,2022/02/22,SC,16600,1455967,82.0
2,2022/02/23,SC,16614,1456990,85.0
3,2022/02/24,SC,16643,1458075,81.0
4,2022/02/25,SC,16790,1459070,66.0
5,2022/02/26,SC,16790,1459070,61.0
6,2022/02/27,SC,16790,1459070,52.0
7,2022/02/28,SC,16865,1461155,50.0
8,2022/03/01,SC,16912,1461426,58.0
9,2022/03/02,SC,16928,1461805,66.0
10,2022/03/03,SC,16959,1462329,63.0
11,2022/03/04,SC,16961,1462846,46.0
12,2022/03/05,SC,16961,1462846,41.0
13,2022/03/06,SC,16961,1462846,37.0
14,2022/03/07,SC,17186,1463842,40.0
15,2022/03/08,SC,17221,1463920,39.0
16,2022/03/09,SC,17251,1464224,45.0
17,2022/03/10,SC,17331,1464590,40.0
18,2022/03/11,SC,17372,1465127,26.0
19,2022/03/12,SC,17372,1465127,32.0
20,2022/03/13,SC,17372,1465127,22.0
21,2022/03/14,SC,17372,1465127,19.0
22,2022/03/15,SC,17380,1465739,33.0
23,2022/03/16,SC,17380,1465739,13.0
24,2022/03/17,SC,17380,1465739,22.0
25,2022/03/18,SC,17380,1465739,23.0
26,2022/03/19,SC,17380,1465739,23.0
27,2022/03/20,SC,17380,1465739,18.0
28,2022/03/21,SC,17380,1465739,18.0
29,2022/03/22,SC,17493,1467115,21.0
30,2022/03/23,SC,17493,1467115,21.0
31,2022/03/24,SC,17493,1467115,17.0
32,2022/03/25,SC,17493,1467115,16.0
33,2022/03/26,SC,17493,1467115,12.0
34,2022/03/27,SC,17493,1467115,13.0
35,2022/03/28,SC,17493,1467115,10.0
36,2022/03/29,SC,17591,1468140,17.0
37,2022/03/30,SC,17591,1468140,14.0
38,2022/03/31,SC,17591,1468140,10.0
39,2022/04/01,SC,17591,1468140,12.0
40,2022/04/02,SC,17591,1468140,12.0
41,2022/04/03,SC,17591,1468140,10.0
42,2022/04/04,SC,17591,1468140,8.0
43,2022/04/05,SC,17650,1469706,11.0
44,2022/04/06,SC,17650,1469706,12.0
45,2022/04/07,SC,17650,1469706,9.0
46,2022/04/08,SC,17650,1469706,9.0
47,2022/04/09,SC,17650,1469706,12.0
48,2022/04/10,SC,17650,1469706,9.0
49,2022/04/11,SC,17650,1469706,11.0
50,2022/04/12,SC,17698,1470597,9.0
51,2022/04/13,SC,17698,1470597,17.0
52,2022/04/14,SC,17698,1470597,11.0
53,2022/04/15,SC,17698,1470597,11.0
54,2022/04/16,SC,17698,1470597,6.0
55,2022/04/17,SC,17698,1470597,6.0
56,2022/04/18,SC,17698,1470597,14.0
57,2022/04/19,SC,17734,1472093,15.0
58,2022/04/20,SC,17734,1472093,18.0
59,2022/04/21,SC,17734,1472093,10.0
60,2022/04/22,SC,17734,1472093,13.0
61,2022/04/23,SC,17734,1472093,8.0
62,2022/04/24,SC,17734,1472093,12.0
63,2022/04/25,SC,17734,1472093,10.0
64,2022/04/26,SC,17734,1472093,18.0
65,2022/04/27,SC,17734,1472093,14.0
66,2022/04/28,SC,17767,1474272,17.0
67,2022/04/29,SC,17767,1474272,18.0
68,2022/04/30,SC,17767,1474272,13.0
69,2022/05/01,SC,17767,1474272,20.0
70,2022/05/02,SC,17767,1474272,19.0
71,2022/05/03,SC,17847,1477345,25.0
72,2022/05/04,SC,17847,1477345,21.0
73,2022/05/05,SC,17847,1477345,21.0
74,2022/05/06,SC,17847,1477345,24.0
75,2022/05/07,SC,17847,1477345,21.0
76,2022/05/08,SC,17847,1477345,16.0
77,2022/05/09,SC,17847,1477345,23.0
78,2022/05/10,SC,17847,1477345,13.0
79,2022/05/11,SC,17869,1481646,15.0
80,2022/05/12,SC,17869,1481646,26.0
81,2022/05/13,SC,17869,1481646,27.0
82,2022/05/14,SC,17869,1481646,28.0
83,2022/05/15,SC,17869,1481646,25.0
84,2022/05/16,SC,17869,1481646,43.0
85,2022/05/17,SC,17869,1487728,45.0
86,2022/05/18,SC,17869,1487728,45.0
87,2022/05/19,SC,17869,1487728,41.0
88,2022/05/20,SC,17869,1487728,44.0
89,2022/05/21,SC,17869,1487728,38.0
90,2022/05/22,SC,17869,1487728,39.0
91,2022/05/23,SC,17869,1487728,37.0
92,2022/05/24,SC,17905,1495762,40.0
93,2022/05/25,SC,17905,1495762,42.0
94,2022/05/26,SC,17905,1495762,49.0
95,2022/05/27,SC,17905,1495762,39.0
