,date,state,death,case,hosp
0,2022/02/21,SD,2772,234961,18.0
1,2022/02/22,SD,2779,235116,20.0
2,2022/02/23,SD,2784,235541,19.0
3,2022/02/24,SD,2788,235654,18.0
4,2022/02/25,SD,2802,235787,16.0
5,2022/02/26,SD,2802,235787,14.0
6,2022/02/27,SD,2802,235787,9.0
7,2022/02/28,SD,2805,235882,6.0
8,2022/03/01,SD,2808,236056,18.0
9,2022/03/02,SD,2814,236132,13.0
10,2022/03/03,SD,2820,236221,8.0
11,2022/03/04,SD,2827,236276,11.0
12,2022/03/05,SD,2827,236276,16.0
13,2022/03/06,SD,2827,236276,8.0
14,2022/03/07,SD,2834,236351,6.0
15,2022/03/08,SD,2843,236432,3.0
16,2022/03/09,SD,2844,236503,9.0
17,2022/03/10,SD,2848,236552,11.0
18,2022/03/11,SD,2853,236602,6.0
19,2022/03/12,SD,2853,236602,10.0
20,2022/03/13,SD,2853,236602,5.0
21,2022/03/14,SD,2859,236648,2.0
22,2022/03/15,SD,2861,236715,3.0
23,2022/03/16,SD,2870,236750,6.0
24,2022/03/17,SD,2871,236797,10.0
25,2022/03/18,SD,2875,236845,5.0
26,2022/03/19,SD,2875,236845,6.0
27,2022/03/20,SD,2875,236845,2.0
28,2022/03/21,SD,2875,236845,3.0
29,2022/03/22,SD,2875,236845,6.0
30,2022/03/23,SD,2880,236955,6.0
31,2022/03/24,SD,2880,236955,7.0
32,2022/03/25,SD,2880,236955,5.0
33,2022/03/26,SD,2880,236955,1.0
34,2022/03/27,SD,2880,236955,2.0
35,2022/03/28,SD,2880,236955,2.0
36,2022/03/29,SD,2880,236955,4.0
37,2022/03/30,SD,2883,237109,1.0
38,2022/03/31,SD,2883,237109,3.0
39,2022/04/01,SD,2883,237109,3.0
40,2022/04/02,SD,2883,237109,7.0
41,2022/04/03,SD,2883,237109,2.0
42,2022/04/04,SD,2883,237109,4.0
43,2022/04/05,SD,2883,237109,4.0
44,2022/04/06,SD,2893,237246,7.0
45,2022/04/07,SD,2893,237246,2.0
46,2022/04/08,SD,2893,237246,2.0
47,2022/04/09,SD,2893,237246,4.0
48,2022/04/10,SD,2893,237246,1.0
49,2022/04/11,SD,2893,237246,2.0
50,2022/04/12,SD,2893,237246,2.0
51,2022/04/13,SD,2898,237370,5.0
52,2022/04/14,SD,2898,237370,3.0
53,2022/04/15,SD,2898,237370,4.0
54,2022/04/16,SD,2898,237370,3.0
55,2022/04/17,SD,2898,237370,0.0
56,2022/04/18,SD,2898,237370,5.0
57,2022/04/19,SD,2898,237370,4.0
58,2022/04/20,SD,2901,237535,7.0
59,2022/04/21,SD,2901,237535,4.0
60,2022/04/22,SD,2901,237535,8.0
61,2022/04/23,SD,2901,237535,7.0
62,2022/04/24,SD,2901,237535,2.0
63,2022/04/25,SD,2901,237535,0.0
64,2022/04/26,SD,2901,237535,7.0
65,2022/04/27,SD,2912,237812,1.0
66,2022/04/28,SD,2912,237812,3.0
67,2022/04/29,SD,2912,237812,7.0
68,2022/04/30,SD,2912,237812,3.0
69,2022/05/01,SD,2912,237812,0.0
70,2022/05/02,SD,2912,237812,5.0
71,2022/05/03,SD,2912,237812,3.0
72,2022/05/04,SD,2915,238185,2.0
73,2022/05/05,SD,2915,238185,4.0
74,2022/05/06,SD,2915,238185,3.0
75,2022/05/07,SD,2915,238185,4.0
76,2022/05/08,SD,2915,238185,1.0
77,2022/05/09,SD,2915,238185,5.0
78,2022/05/10,SD,2915,238185,7.0
79,2022/05/11,SD,2917,238635,9.0
80,2022/05/12,SD,2917,238635,5.0
81,2022/05/13,SD,2917,238635,5.0
82,2022/05/14,SD,2917,238635,6.0
83,2022/05/15,SD,2917,238635,6.0
84,2022/05/16,SD,2917,238635,4.0
85,2022/05/17,SD,2917,238635,4.0
86,2022/05/18,SD,2919,239110,5.0
87,2022/05/19,SD,2919,239110,4.0
88,2022/05/20,SD,2919,239110,5.0
89,2022/05/21,SD,2919,239110,4.0
90,2022/05/22,SD,2919,239110,4.0
91,2022/05/23,SD,2919,239110,3.0
92,2022/05/24,SD,2919,239110,6.0
93,2022/05/25,SD,2927,239704,4.0
94,2022/05/26,SD,2927,239704,9.0
95,2022/05/27,SD,2927,239704,7.0
