,date,state,death,case,hosp
0,2022/02/21,TN,23695,1942537,109.0
1,2022/02/22,TN,23741,1947423,133.0
2,2022/02/23,TN,23761,1948664,135.0
3,2022/02/24,TN,23857,1951303,109.0
4,2022/02/25,TN,24124,1953537,117.0
5,2022/02/26,TN,24219,1955520,99.0
6,2022/02/27,TN,24219,1955520,76.0
7,2022/02/28,TN,24219,1955520,81.0
8,2022/03/01,TN,24245,1957929,72.0
9,2022/03/02,TN,24298,1959798,82.0
10,2022/03/03,TN,24386,1961471,74.0
11,2022/03/04,TN,24409,1962720,70.0
12,2022/03/05,TN,24432,1963475,44.0
13,2022/03/06,TN,24432,1963475,44.0
14,2022/03/07,TN,24432,1963475,39.0
15,2022/03/08,TN,24461,1964812,38.0
16,2022/03/09,TN,24477,1965388,43.0
17,2022/03/10,TN,24549,1966089,47.0
18,2022/03/11,TN,24598,1966694,47.0
19,2022/03/12,TN,24780,1967109,44.0
20,2022/03/13,TN,24780,1967109,26.0
21,2022/03/14,TN,24780,1967109,27.0
22,2022/03/15,TN,25000,1967850,34.0
23,2022/03/16,TN,25143,1968277,40.0
24,2022/03/17,TN,25150,1968658,24.0
25,2022/03/18,TN,25166,1968990,39.0
26,2022/03/19,TN,25181,1969275,23.0
27,2022/03/20,TN,25181,1969275,27.0
28,2022/03/21,TN,25181,1969275,15.0
29,2022/03/22,TN,25196,1969898,20.0
30,2022/03/23,TN,25214,1970164,27.0
31,2022/03/24,TN,25219,1970508,22.0
32,2022/03/25,TN,25250,1970804,17.0
33,2022/03/26,TN,25256,1971028,22.0
34,2022/03/27,TN,25256,1971028,24.0
35,2022/03/28,TN,25256,1971028,22.0
36,2022/03/29,TN,25259,1971458,15.0
37,2022/03/30,TN,25328,1971834,13.0
38,2022/03/31,TN,25337,1972072,18.0
39,2022/04/01,TN,25349,1972377,10.0
40,2022/04/02,TN,25361,1972565,10.0
41,2022/04/03,TN,25361,1972565,10.0
42,2022/04/04,TN,25361,1972565,14.0
43,2022/04/05,TN,25409,1973017,9.0
44,2022/04/06,TN,25532,1973201,22.0
45,2022/04/07,TN,25613,1973468,9.0
46,2022/04/08,TN,25618,1973820,17.0
47,2022/04/09,TN,25757,1974299,7.0
48,2022/04/10,TN,25757,1974299,8.0
49,2022/04/11,TN,25757,1974299,16.0
50,2022/04/12,TN,25766,1974870,15.0
51,2022/04/13,TN,25776,1975044,17.0
52,2022/04/14,TN,25837,1975364,14.0
53,2022/04/15,TN,25839,1975817,18.0
54,2022/04/16,TN,25843,1976272,13.0
55,2022/04/17,TN,25843,1976272,11.0
56,2022/04/18,TN,25843,1976272,8.0
57,2022/04/19,TN,25844,1976936,14.0
58,2022/04/20,TN,25841,1977268,19.0
59,2022/04/21,TN,25846,1977753,15.0
60,2022/04/22,TN,25860,1978233,13.0
61,2022/04/23,TN,25872,1978688,15.0
62,2022/04/24,TN,25872,1978688,7.0
63,2022/04/25,TN,25872,1978688,17.0
64,2022/04/26,TN,25882,1979699,17.0
65,2022/04/27,TN,25880,1980088,22.0
66,2022/04/28,TN,25882,1980686,19.0
67,2022/04/29,TN,25883,1981360,15.0
68,2022/04/30,TN,25895,1981990,33.0
69,2022/05/01,TN,25895,1981990,12.0
70,2022/05/02,TN,25895,1981990,17.0
71,2022/05/03,TN,25899,1983100,21.0
72,2022/05/04,TN,25922,1983580,23.0
73,2022/05/05,TN,25926,1984299,13.0
74,2022/05/06,TN,25934,1985211,17.0
75,2022/05/07,TN,25936,1986036,16.0
76,2022/05/08,TN,25936,1986036,15.0
77,2022/05/09,TN,25936,1986036,15.0
78,2022/05/10,TN,25937,1987911,28.0
79,2022/05/11,TN,25968,1988665,30.0
80,2022/05/12,TN,25988,1989821,25.0
81,2022/05/13,TN,25993,1990937,30.0
82,2022/05/14,TN,25993,1990937,45.0
83,2022/05/15,TN,25993,1990937,31.0
84,2022/05/16,TN,25993,1990937,33.0
85,2022/05/17,TN,25992,1994583,47.0
86,2022/05/18,TN,25997,1995501,34.0
87,2022/05/19,TN,26029,1997201,36.0
88,2022/05/20,TN,26040,1998412,37.0
89,2022/05/21,TN,26099,2000045,41.0
90,2022/05/22,TN,26099,2000045,30.0
91,2022/05/23,TN,26099,2000045,42.0
92,2022/05/24,TN,26110,2003392,42.0
93,2022/05/25,TN,26133,2004566,42.0
94,2022/05/26,TN,26133,2006479,37.0
95,2022/05/27,TN,26165,2008204,30.0
