,date,state,death,case,hosp
0,2022/02/21,UT,4359,918402,54.0
1,2022/02/22,UT,4372,920472,22.0
2,2022/02/23,UT,4392,921086,65.0
3,2022/02/24,UT,4397,921714,51.0
4,2022/02/25,UT,4408,922139,42.0
5,2022/02/26,UT,4408,922139,35.0
6,2022/02/27,UT,4408,922139,34.0
7,2022/02/28,UT,4411,923036,18.0
8,2022/03/01,UT,4417,923313,41.0
9,2022/03/02,UT,4436,923777,47.0
10,2022/03/03,UT,4442,924174,38.0
11,2022/03/04,UT,4453,924436,41.0
12,2022/03/05,UT,4453,924436,31.0
13,2022/03/06,UT,4453,924436,35.0
14,2022/03/07,UT,4461,924978,17.0
15,2022/03/08,UT,4485,925081,41.0
16,2022/03/09,UT,4494,925279,31.0
17,2022/03/10,UT,4518,925469,37.0
18,2022/03/11,UT,4539,925712,27.0
19,2022/03/12,UT,4539,925712,33.0
20,2022/03/13,UT,4539,925712,15.0
21,2022/03/14,UT,4545,926066,20.0
22,2022/03/15,UT,4550,926160,17.0
23,2022/03/16,UT,4553,926344,15.0
24,2022/03/17,UT,4556,926517,16.0
25,2022/03/18,UT,4561,926636,25.0
26,2022/03/19,UT,4561,926636,9.0
27,2022/03/20,UT,4561,926636,12.0
28,2022/03/21,UT,4572,926981,13.0
29,2022/03/22,UT,4610,927098,19.0
30,2022/03/23,UT,4645,927224,13.0
31,2022/03/24,UT,4681,927389,16.0
32,2022/03/25,UT,4702,927521,17.0
33,2022/03/26,UT,4702,927521,10.0
34,2022/03/27,UT,4702,927521,5.0
35,2022/03/28,UT,4706,927776,7.0
36,2022/03/29,UT,4711,927877,14.0
37,2022/03/30,UT,4714,928009,14.0
38,2022/03/31,UT,4714,928148,10.0
39,2022/04/01,UT,4714,928148,14.0
40,2022/04/02,UT,4714,928148,4.0
41,2022/04/03,UT,4714,928148,10.0
42,2022/04/04,UT,4714,928148,6.0
43,2022/04/05,UT,4714,928148,11.0
44,2022/04/06,UT,4714,928148,16.0
45,2022/04/07,UT,4730,928847,9.0
46,2022/04/08,UT,4730,928847,8.0
47,2022/04/09,UT,4730,928847,14.0
48,2022/04/10,UT,4730,928847,6.0
49,2022/04/11,UT,4730,928847,5.0
50,2022/04/12,UT,4730,928847,14.0
51,2022/04/13,UT,4730,928847,6.0
52,2022/04/14,UT,4736,929587,10.0
53,2022/04/15,UT,4736,929587,9.0
54,2022/04/16,UT,4736,929587,13.0
55,2022/04/17,UT,4736,929587,3.0
56,2022/04/18,UT,4736,929587,7.0
57,2022/04/19,UT,4736,929587,7.0
58,2022/04/20,UT,4736,929587,3.0
59,2022/04/21,UT,4740,930785,12.0
60,2022/04/22,UT,4740,930785,12.0
61,2022/04/23,UT,4740,930785,13.0
62,2022/04/24,UT,4740,930785,9.0
63,2022/04/25,UT,4740,930785,7.0
64,2022/04/26,UT,4740,930785,9.0
65,2022/04/27,UT,4740,930785,12.0
66,2022/04/28,UT,4747,932480,14.0
67,2022/04/29,UT,4747,932480,8.0
68,2022/04/30,UT,4747,932480,12.0
69,2022/05/01,UT,4747,932480,6.0
70,2022/05/02,UT,4747,932480,6.0
71,2022/05/03,UT,4747,932480,26.0
72,2022/05/04,UT,4747,932480,18.0
73,2022/05/05,UT,4760,935708,14.0
74,2022/05/06,UT,4760,935708,12.0
75,2022/05/07,UT,4760,935708,17.0
76,2022/05/08,UT,4760,935708,15.0
77,2022/05/09,UT,4760,935708,6.0
78,2022/05/10,UT,4760,935708,14.0
79,2022/05/11,UT,4760,935708,18.0
80,2022/05/12,UT,4761,939092,17.0
81,2022/05/13,UT,4761,939092,25.0
82,2022/05/14,UT,4761,939092,16.0
83,2022/05/15,UT,4761,939092,18.0
84,2022/05/16,UT,4761,939092,13.0
85,2022/05/17,UT,4761,939092,27.0
86,2022/05/18,UT,4761,939092,23.0
87,2022/05/19,UT,4765,943596,25.0
88,2022/05/20,UT,4765,943596,26.0
89,2022/05/21,UT,4765,943596,20.0
90,2022/05/22,UT,4765,943596,13.0
91,2022/05/23,UT,4765,943596,19.0
92,2022/05/24,UT,4765,943596,30.0
93,2022/05/25,UT,4765,943596,15.0
94,2022/05/26,UT,4777,949210,34.0
95,2022/05/27,UT,4777,949210,28.0
