,date,state,death,case,hosp
0,2022/02/21,VA,18145,1628623,89.0
1,2022/02/22,VA,18230,1630796,129.0
2,2022/02/23,VA,18338,1633035,128.0
3,2022/02/24,VA,18440,1634851,101.0
4,2022/02/25,VA,18536,1636510,100.0
5,2022/02/26,VA,18536,1636510,109.0
6,2022/02/27,VA,18536,1636510,57.0
7,2022/02/28,VA,18771,1639942,59.0
8,2022/03/01,VA,18811,1641438,88.0
9,2022/03/02,VA,18859,1643050,89.0
10,2022/03/03,VA,18905,1644694,66.0
11,2022/03/04,VA,18955,1645791,69.0
12,2022/03/05,VA,18955,1645791,65.0
13,2022/03/06,VA,18955,1645791,40.0
14,2022/03/07,VA,19060,1648179,43.0
15,2022/03/08,VA,19098,1649266,58.0
16,2022/03/09,VA,19141,1650334,56.0
17,2022/03/10,VA,19165,1651940,43.0
18,2022/03/11,VA,19212,1653212,51.0
19,2022/03/12,VA,19212,1653212,47.0
20,2022/03/13,VA,19212,1653212,46.0
21,2022/03/14,VA,19315,1654893,37.0
22,2022/03/15,VA,19356,1656187,57.0
23,2022/03/16,VA,19392,1657409,39.0
24,2022/03/17,VA,19430,1658568,38.0
25,2022/03/18,VA,19466,1659710,49.0
26,2022/03/19,VA,19466,1659710,42.0
27,2022/03/20,VA,19466,1659710,32.0
28,2022/03/21,VA,19520,1661484,29.0
29,2022/03/22,VA,19543,1662140,28.0
30,2022/03/23,VA,19563,1663132,32.0
31,2022/03/24,VA,19586,1664080,36.0
32,2022/03/25,VA,19609,1665082,27.0
33,2022/03/26,VA,19609,1665082,28.0
34,2022/03/27,VA,19609,1665082,22.0
35,2022/03/28,VA,19631,1666422,35.0
36,2022/03/29,VA,19653,1667289,27.0
37,2022/03/30,VA,19673,1668087,31.0
38,2022/03/31,VA,19692,1668891,18.0
39,2022/04/01,VA,19714,1669750,38.0
40,2022/04/02,VA,19714,1669750,30.0
41,2022/04/03,VA,19714,1669750,24.0
42,2022/04/04,VA,19720,1671423,18.0
43,2022/04/05,VA,19754,1672450,24.0
44,2022/04/06,VA,19789,1673382,19.0
45,2022/04/07,VA,19823,1674560,29.0
46,2022/04/08,VA,19859,1675845,23.0
47,2022/04/09,VA,19859,1675845,29.0
48,2022/04/10,VA,19859,1675845,18.0
49,2022/04/11,VA,19884,1678215,21.0
50,2022/04/12,VA,19918,1679418,22.0
51,2022/04/13,VA,19953,1680533,31.0
52,2022/04/14,VA,19988,1681729,26.0
53,2022/04/15,VA,20022,1683267,31.0
54,2022/04/16,VA,20022,1683267,19.0
55,2022/04/17,VA,20022,1683267,21.0
56,2022/04/18,VA,20044,1685887,21.0
57,2022/04/19,VA,20071,1686861,36.0
58,2022/04/20,VA,20099,1688068,48.0
59,2022/04/21,VA,20124,1689563,39.0
60,2022/04/22,VA,20149,1691268,41.0
61,2022/04/23,VA,20149,1691268,41.0
62,2022/04/24,VA,20149,1691268,36.0
63,2022/04/25,VA,20169,1694570,26.0
64,2022/04/26,VA,20187,1696048,32.0
65,2022/04/27,VA,20202,1697577,29.0
66,2022/04/28,VA,20220,1699596,35.0
67,2022/04/29,VA,20236,1701458,31.0
68,2022/04/30,VA,20236,1701458,30.0
69,2022/05/01,VA,20236,1701458,30.0
70,2022/05/02,VA,20237,1705650,36.0
71,2022/05/03,VA,20247,1707085,34.0
72,2022/05/04,VA,20256,1710272,54.0
73,2022/05/05,VA,20270,1712801,63.0
74,2022/05/06,VA,20280,1715478,53.0
75,2022/05/07,VA,20280,1715478,64.0
76,2022/05/08,VA,20280,1715478,52.0
77,2022/05/09,VA,20288,1721501,48.0
78,2022/05/10,VA,20295,1723985,62.0
79,2022/05/11,VA,20301,1726749,70.0
80,2022/05/12,VA,20310,1729893,70.0
81,2022/05/13,VA,20317,1733188,66.0
82,2022/05/14,VA,20317,1733188,56.0
83,2022/05/15,VA,20317,1733188,53.0
84,2022/05/16,VA,20322,1740753,61.0
85,2022/05/17,VA,20328,1744306,84.0
86,2022/05/18,VA,20328,1747607,78.0
87,2022/05/19,VA,20332,1751443,83.0
88,2022/05/20,VA,20338,1755290,91.0
89,2022/05/21,VA,20338,1755290,94.0
90,2022/05/22,VA,20338,1755290,80.0
91,2022/05/23,VA,20340,1763908,82.0
92,2022/05/24,VA,20348,1767132,92.0
93,2022/05/25,VA,20358,1770620,73.0
94,2022/05/26,VA,20370,1774185,91.0
95,2022/05/27,VA,20376,1777813,71.0
