,date,state,death,case,hosp
0,2022/02/21,VT,583,110679,8.0
1,2022/02/22,VT,587,111319,5.0
2,2022/02/23,VT,593,111584,8.0
3,2022/02/24,VT,593,111794,12.0
4,2022/02/25,VT,595,112023,3.0
5,2022/02/26,VT,595,112023,4.0
6,2022/02/27,VT,595,112023,6.0
7,2022/02/28,VT,598,112364,7.0
8,2022/03/01,VT,598,112364,5.0
9,2022/03/02,VT,602,112728,6.0
10,2022/03/03,VT,604,112906,9.0
11,2022/03/04,VT,607,113107,6.0
12,2022/03/05,VT,607,113107,3.0
13,2022/03/06,VT,607,113107,2.0
14,2022/03/07,VT,607,113407,8.0
15,2022/03/08,VT,608,113454,1.0
16,2022/03/09,VT,608,113651,6.0
17,2022/03/10,VT,608,113762,6.0
18,2022/03/11,VT,608,113948,3.0
19,2022/03/12,VT,608,113948,0.0
20,2022/03/13,VT,608,113948,5.0
21,2022/03/14,VT,608,114206,3.0
22,2022/03/15,VT,608,114289,3.0
23,2022/03/16,VT,609,114535,6.0
24,2022/03/17,VT,611,114709,7.0
25,2022/03/18,VT,611,114868,8.0
26,2022/03/19,VT,611,114868,6.0
27,2022/03/20,VT,611,114868,6.0
28,2022/03/21,VT,611,115232,3.0
29,2022/03/22,VT,613,115312,5.0
30,2022/03/23,VT,614,115531,8.0
31,2022/03/24,VT,615,115675,5.0
32,2022/03/25,VT,615,115849,3.0
33,2022/03/26,VT,615,115849,6.0
34,2022/03/27,VT,615,115849,2.0
35,2022/03/28,VT,615,116157,4.0
36,2022/03/29,VT,617,116246,1.0
37,2022/03/30,VT,617,116465,6.0
38,2022/03/31,VT,617,116639,5.0
39,2022/04/01,VT,617,116800,5.0
40,2022/04/02,VT,617,116800,7.0
41,2022/04/03,VT,617,116800,2.0
42,2022/04/04,VT,619,117160,4.0
43,2022/04/05,VT,620,117309,3.0
44,2022/04/06,VT,620,117529,9.0
45,2022/04/07,VT,620,117742,9.0
46,2022/04/08,VT,620,117991,10.0
47,2022/04/09,VT,620,117991,7.0
48,2022/04/10,VT,620,117991,4.0
49,2022/04/11,VT,623,118520,8.0
50,2022/04/12,VT,623,118683,9.0
51,2022/04/13,VT,623,118993,6.0
52,2022/04/14,VT,623,119339,5.0
53,2022/04/15,VT,623,119613,6.0
54,2022/04/16,VT,623,119613,5.0
55,2022/04/17,VT,623,119613,3.0
56,2022/04/18,VT,623,120352,8.0
57,2022/04/19,VT,626,120503,11.0
58,2022/04/20,VT,626,120847,12.0
59,2022/04/21,VT,626,121193,12.0
60,2022/04/22,VT,629,121534,16.0
61,2022/04/23,VT,629,121534,9.0
62,2022/04/24,VT,629,121534,10.0
63,2022/04/25,VT,629,122341,9.0
64,2022/04/26,VT,629,122341,14.0
65,2022/04/27,VT,630,123062,18.0
66,2022/04/28,VT,634,123455,20.0
67,2022/04/29,VT,637,123842,13.0
68,2022/04/30,VT,637,123842,13.0
69,2022/05/01,VT,637,123842,11.0
70,2022/05/02,VT,639,124523,15.0
71,2022/05/03,VT,639,124830,22.0
72,2022/05/04,VT,639,125347,11.0
73,2022/05/05,VT,642,125699,9.0
74,2022/05/06,VT,642,126099,9.0
75,2022/05/07,VT,642,126099,17.0
76,2022/05/08,VT,642,126099,8.0
77,2022/05/09,VT,644,126937,9.0
78,2022/05/10,VT,648,127189,6.0
79,2022/05/11,VT,648,127457,9.0
80,2022/05/12,VT,648,128058,4.0
81,2022/05/13,VT,648,128471,24.0
82,2022/05/14,VT,648,128471,10.0
83,2022/05/15,VT,648,128471,7.0
84,2022/05/16,VT,652,129252,9.0
85,2022/05/17,VT,654,129464,11.0
86,2022/05/18,VT,654,129854,9.0
87,2022/05/19,VT,654,129854,8.0
88,2022/05/20,VT,654,129854,7.0
89,2022/05/21,VT,654,129854,11.0
90,2022/05/22,VT,654,129854,9.0
91,2022/05/23,VT,654,129854,7.0
92,2022/05/24,VT,654,129854,11.0
93,2022/05/25,VT,654,129854,9.0
94,2022/05/26,VT,661,131460,10.0
95,2022/05/27,VT,661,131460,11.0
