,date,state,death,case,hosp
0,2022/02/21,WA,11706,1410803,86.0
1,2022/02/22,WA,11712,1412745,88.0
2,2022/02/23,WA,11812,1415548,107.0
3,2022/02/24,WA,11811,1416016,98.0
4,2022/02/25,WA,11903,1419088,83.0
5,2022/02/26,WA,11903,1419088,64.0
6,2022/02/27,WA,11903,1419088,74.0
7,2022/02/28,WA,11941,1424674,63.0
8,2022/03/01,WA,11941,1424853,76.0
9,2022/03/02,WA,12020,1428260,72.0
10,2022/03/03,WA,12020,1428413,68.0
11,2022/03/04,WA,12098,1430901,72.0
12,2022/03/05,WA,12098,1430901,52.0
13,2022/03/06,WA,12098,1430938,50.0
14,2022/03/07,WA,12141,1432966,53.0
15,2022/03/08,WA,12141,1433011,48.0
16,2022/03/09,WA,12210,1435562,50.0
17,2022/03/10,WA,12210,1435650,62.0
18,2022/03/11,WA,12263,1438763,36.0
19,2022/03/12,WA,12263,1438770,39.0
20,2022/03/13,WA,12263,1438770,32.0
21,2022/03/14,WA,12292,1441186,32.0
22,2022/03/15,WA,12292,1441390,36.0
23,2022/03/16,WA,12348,1443641,42.0
24,2022/03/17,WA,12348,1443701,32.0
25,2022/03/18,WA,12406,1445951,27.0
26,2022/03/19,WA,12406,1445951,32.0
27,2022/03/20,WA,12406,1445951,23.0
28,2022/03/21,WA,12421,1447540,30.0
29,2022/03/22,WA,12421,1447594,37.0
30,2022/03/23,WA,12467,1449475,30.0
31,2022/03/24,WA,12468,1449501,22.0
32,2022/03/25,WA,12497,1452003,16.0
33,2022/03/26,WA,12497,1452003,27.0
34,2022/03/27,WA,12497,1452003,29.0
35,2022/03/28,WA,12515,1453919,22.0
36,2022/03/29,WA,12515,1453946,31.0
37,2022/03/30,WA,12540,1455589,27.0
38,2022/03/31,WA,12540,1455632,30.0
39,2022/04/01,WA,12566,1457235,15.0
40,2022/04/02,WA,12566,1457235,26.0
41,2022/04/03,WA,12566,1457415,18.0
42,2022/04/04,WA,12573,1459308,29.0
43,2022/04/05,WA,12573,1459312,17.0
44,2022/04/06,WA,12599,1465384,29.0
45,2022/04/07,WA,12602,1465415,23.0
46,2022/04/08,WA,12623,1468041,27.0
47,2022/04/09,WA,12623,1468041,18.0
48,2022/04/10,WA,12623,1468041,28.0
49,2022/04/11,WA,12627,1469439,21.0
50,2022/04/12,WA,12627,1469449,27.0
51,2022/04/13,WA,12643,1472736,32.0
52,2022/04/14,WA,12643,1472774,24.0
53,2022/04/15,WA,12672,1475546,38.0
54,2022/04/16,WA,12672,1475546,33.0
55,2022/04/17,WA,12672,1475546,29.0
56,2022/04/18,WA,12676,1478644,44.0
57,2022/04/19,WA,12676,1478705,35.0
58,2022/04/20,WA,12703,1480490,28.0
59,2022/04/21,WA,12703,1480524,39.0
60,2022/04/22,WA,12708,1484441,35.0
61,2022/04/23,WA,12708,1484441,37.0
62,2022/04/24,WA,12708,1484441,32.0
63,2022/04/25,WA,12721,1490295,36.0
64,2022/04/26,WA,12721,1490295,46.0
65,2022/04/27,WA,12735,1493877,39.0
66,2022/04/28,WA,12735,1493919,43.0
67,2022/04/29,WA,12747,1498708,53.0
68,2022/04/30,WA,12747,1498708,51.0
69,2022/05/01,WA,12747,1498708,71.0
70,2022/05/02,WA,12750,1510582,62.0
71,2022/05/03,WA,12750,1510618,69.0
72,2022/05/04,WA,12767,1511975,68.0
73,2022/05/05,WA,12767,1512003,75.0
74,2022/05/06,WA,12771,1514314,64.0
75,2022/05/07,WA,12771,1514314,57.0
76,2022/05/08,WA,12771,1514314,65.0
77,2022/05/09,WA,12789,1522821,55.0
78,2022/05/10,WA,12789,1522842,71.0
79,2022/05/11,WA,12820,1527939,72.0
80,2022/05/12,WA,12820,1528056,88.0
81,2022/05/13,WA,12843,1534324,71.0
82,2022/05/14,WA,12843,1534324,83.0
83,2022/05/15,WA,12843,1534324,90.0
84,2022/05/16,WA,12857,1541595,71.0
85,2022/05/17,WA,12857,1541725,95.0
86,2022/05/18,WA,12882,1547787,93.0
87,2022/05/19,WA,12882,1547811,110.0
88,2022/05/20,WA,12902,1555759,106.0
89,2022/05/21,WA,12902,1555759,100.0
90,2022/05/22,WA,12902,1555759,112.0
91,2022/05/23,WA,12914,1563021,137.0
92,2022/05/24,WA,12914,1563048,145.0
93,2022/05/25,WA,12935,1569555,130.0
94,2022/05/26,WA,12935,1569774,143.0
95,2022/05/27,WA,12967,1577553,145.0
