,date,state,death,case,hosp
0,2022/02/21,WI,13086,1567002,74.0
1,2022/02/22,WI,13108,1567927,92.0
2,2022/02/23,WI,13156,1568999,73.0
3,2022/02/24,WI,13224,1569908,82.0
4,2022/02/25,WI,13256,1570683,84.0
5,2022/02/26,WI,13256,1570683,75.0
6,2022/02/27,WI,13256,1570683,67.0
7,2022/02/28,WI,13297,1572199,51.0
8,2022/03/01,WI,13351,1572917,84.0
9,2022/03/02,WI,13398,1573692,47.0
10,2022/03/03,WI,13450,1574274,59.0
11,2022/03/04,WI,13489,1574810,47.0
12,2022/03/05,WI,13489,1574810,44.0
13,2022/03/06,WI,13489,1574810,19.0
14,2022/03/07,WI,13515,1575947,27.0
15,2022/03/08,WI,13562,1576360,30.0
16,2022/03/09,WI,13620,1576930,46.0
17,2022/03/10,WI,13664,1577393,31.0
18,2022/03/11,WI,13713,1577890,36.0
19,2022/03/12,WI,13713,1577890,32.0
20,2022/03/13,WI,13713,1577890,18.0
21,2022/03/14,WI,13768,1578585,20.0
22,2022/03/15,WI,13820,1579111,37.0
23,2022/03/16,WI,13868,1579613,30.0
24,2022/03/17,WI,13901,1580136,33.0
25,2022/03/18,WI,13960,1580539,25.0
26,2022/03/19,WI,13960,1580539,27.0
27,2022/03/20,WI,13960,1580539,28.0
28,2022/03/21,WI,13994,1581356,25.0
29,2022/03/22,WI,14032,1581742,40.0
30,2022/03/23,WI,14102,1582174,30.0
31,2022/03/24,WI,14145,1582616,25.0
32,2022/03/25,WI,14201,1583046,23.0
33,2022/03/26,WI,14201,1583046,30.0
34,2022/03/27,WI,14201,1583046,15.0
35,2022/03/28,WI,14284,1583922,16.0
36,2022/03/29,WI,14291,1584392,20.0
37,2022/03/30,WI,14296,1584962,27.0
38,2022/03/31,WI,14302,1585495,31.0
39,2022/04/01,WI,14317,1585996,15.0
40,2022/04/02,WI,14317,1585996,23.0
41,2022/04/03,WI,14317,1585996,14.0
42,2022/04/04,WI,14316,1586982,17.0
43,2022/04/05,WI,14334,1587490,27.0
44,2022/04/06,WI,14335,1588225,18.0
45,2022/04/07,WI,14340,1588925,24.0
46,2022/04/08,WI,14344,1590422,26.0
47,2022/04/09,WI,14344,1590422,19.0
48,2022/04/10,WI,14344,1590422,14.0
49,2022/04/11,WI,14349,1591806,19.0
50,2022/04/12,WI,14372,1592500,25.0
51,2022/04/13,WI,14380,1593347,28.0
52,2022/04/14,WI,14383,1594304,32.0
53,2022/04/15,WI,14390,1595170,18.0
54,2022/04/16,WI,14390,1595170,21.0
55,2022/04/17,WI,14390,1595170,20.0
56,2022/04/18,WI,14391,1596819,15.0
57,2022/04/19,WI,14395,1597347,28.0
58,2022/04/20,WI,14399,1599011,30.0
59,2022/04/21,WI,14402,1600340,40.0
60,2022/04/22,WI,14403,1601656,35.0
61,2022/04/23,WI,14403,1601656,37.0
62,2022/04/24,WI,14403,1601656,31.0
63,2022/04/25,WI,14405,1604530,31.0
64,2022/04/26,WI,14411,1605708,47.0
65,2022/04/27,WI,14411,1607318,40.0
66,2022/04/28,WI,14411,1609007,33.0
67,2022/04/29,WI,14413,1610673,56.0
68,2022/04/30,WI,14413,1610673,59.0
69,2022/05/01,WI,14413,1610673,40.0
70,2022/05/02,WI,14415,1614160,44.0
71,2022/05/03,WI,14424,1615334,46.0
72,2022/05/04,WI,14442,1618029,52.0
73,2022/05/05,WI,14449,1620497,39.0
74,2022/05/06,WI,14464,1623093,62.0
75,2022/05/07,WI,14464,1623093,51.0
76,2022/05/08,WI,14464,1623093,61.0
77,2022/05/09,WI,14475,1627983,39.0
78,2022/05/10,WI,14485,1630403,61.0
79,2022/05/11,WI,14491,1633347,64.0
80,2022/05/12,WI,14500,1636459,78.0
81,2022/05/13,WI,14502,1639371,72.0
82,2022/05/14,WI,14502,1639371,77.0
83,2022/05/15,WI,14502,1639371,68.0
84,2022/05/16,WI,14505,1644817,59.0
85,2022/05/17,WI,14508,1647035,60.0
86,2022/05/18,WI,14514,1649621,50.0
87,2022/05/19,WI,14518,1652374,61.0
88,2022/05/20,WI,14531,1654814,54.0
89,2022/05/21,WI,14531,1654814,65.0
90,2022/05/22,WI,14531,1654814,54.0
91,2022/05/23,WI,14526,1659817,48.0
92,2022/05/24,WI,14527,1661783,51.0
93,2022/05/25,WI,14573,1664373,72.0
94,2022/05/26,WI,14584,1667026,69.0
95,2022/05/27,WI,14594,1669598,72.0
