,date,state,death,case,hosp
0,2022/02/21,WV,6183,484923,65.0
1,2022/02/22,WV,6219,485498,59.0
2,2022/02/23,WV,6250,486206,75.0
3,2022/02/24,WV,6288,487446,58.0
4,2022/02/25,WV,6308,488359,77.0
5,2022/02/26,WV,6308,488359,56.0
6,2022/02/27,WV,6308,488359,43.0
7,2022/02/28,WV,6317,490111,50.0
8,2022/03/01,WV,6339,490544,54.0
9,2022/03/02,WV,6381,491042,48.0
10,2022/03/03,WV,6427,491698,34.0
11,2022/03/04,WV,6440,492276,40.0
12,2022/03/05,WV,6440,492276,51.0
13,2022/03/06,WV,6440,492276,30.0
14,2022/03/07,WV,6452,493361,27.0
15,2022/03/08,WV,6470,493653,45.0
16,2022/03/09,WV,6488,494030,36.0
17,2022/03/10,WV,6544,494406,34.0
18,2022/03/11,WV,6550,494875,20.0
19,2022/03/12,WV,6550,494875,21.0
20,2022/03/13,WV,6550,494875,17.0
21,2022/03/14,WV,6559,495539,12.0
22,2022/03/15,WV,6598,495728,27.0
23,2022/03/16,WV,6622,495960,26.0
24,2022/03/17,WV,6635,496182,21.0
25,2022/03/18,WV,6646,496409,22.0
26,2022/03/19,WV,6646,496409,13.0
27,2022/03/20,WV,6646,496409,15.0
28,2022/03/21,WV,6651,496748,12.0
29,2022/03/22,WV,6660,496838,19.0
30,2022/03/23,WV,6680,496983,17.0
31,2022/03/24,WV,6687,497111,30.0
32,2022/03/25,WV,6739,497230,18.0
33,2022/03/26,WV,6739,497230,17.0
34,2022/03/27,WV,6739,497230,8.0
35,2022/03/28,WV,6743,497459,15.0
36,2022/03/29,WV,6794,497553,14.0
37,2022/03/30,WV,6823,497681,24.0
38,2022/03/31,WV,6831,497769,15.0
39,2022/04/01,WV,6835,497864,18.0
40,2022/04/02,WV,6835,497864,11.0
41,2022/04/03,WV,6835,497864,14.0
42,2022/04/04,WV,6839,498035,9.0
43,2022/04/05,WV,6716,498128,11.0
44,2022/04/06,WV,6741,498235,7.0
45,2022/04/07,WV,6749,498322,15.0
46,2022/04/08,WV,6753,498414,6.0
47,2022/04/09,WV,6753,498414,4.0
48,2022/04/10,WV,6753,498414,9.0
49,2022/04/11,WV,6755,498542,7.0
50,2022/04/12,WV,6774,498618,9.0
51,2022/04/13,WV,6777,498643,15.0
52,2022/04/14,WV,6791,498773,13.0
53,2022/04/15,WV,6794,498890,8.0
54,2022/04/16,WV,6794,498890,15.0
55,2022/04/17,WV,6794,498890,11.0
56,2022/04/18,WV,6796,499193,10.0
57,2022/04/19,WV,6804,499288,11.0
58,2022/04/20,WV,6807,499445,9.0
59,2022/04/21,WV,6822,499619,12.0
60,2022/04/22,WV,6823,499796,6.0
61,2022/04/23,WV,6823,499796,12.0
62,2022/04/24,WV,6823,499796,6.0
63,2022/04/25,WV,6824,500228,11.0
64,2022/04/26,WV,6845,500444,12.0
65,2022/04/27,WV,6851,500697,17.0
66,2022/04/28,WV,6855,500972,19.0
67,2022/04/29,WV,6856,501204,13.0
68,2022/04/30,WV,6856,501204,21.0
69,2022/05/01,WV,6856,501204,13.0
70,2022/05/02,WV,6857,501743,12.0
71,2022/05/03,WV,6870,501968,14.0
72,2022/05/04,WV,6872,502192,14.0
73,2022/05/05,WV,6879,502566,18.0
74,2022/05/06,WV,6880,502930,18.0
75,2022/05/07,WV,6880,502930,22.0
76,2022/05/08,WV,6880,502930,14.0
77,2022/05/09,WV,6882,503807,14.0
78,2022/05/10,WV,6882,503807,18.0
79,2022/05/11,WV,6886,504510,24.0
80,2022/05/12,WV,6893,505037,25.0
81,2022/05/13,WV,6893,505528,26.0
82,2022/05/14,WV,6893,505528,14.0
83,2022/05/15,WV,6893,505528,27.0
84,2022/05/16,WV,6895,506833,20.0
85,2022/05/17,WV,6903,507238,24.0
86,2022/05/18,WV,6905,507678,26.0
87,2022/05/19,WV,6912,508538,24.0
88,2022/05/20,WV,6915,509251,22.0
89,2022/05/21,WV,6915,509251,26.0
90,2022/05/22,WV,6915,509251,22.0
91,2022/05/23,WV,6918,511382,14.0
92,2022/05/24,WV,6932,511930,26.0
93,2022/05/25,WV,6933,512571,23.0
94,2022/05/26,WV,6942,513305,28.0
95,2022/05/27,WV,6945,513953,31.0
