,date,state,death,case,hosp
0,2022/02/21,WY,1689,154082,12.0
1,2022/02/22,WY,1718,154549,9.0
2,2022/02/23,WY,1718,154662,7.0
3,2022/02/24,WY,1718,154797,11.0
4,2022/02/25,WY,1718,154909,7.0
5,2022/02/26,WY,1718,154909,4.0
6,2022/02/27,WY,1718,154909,6.0
7,2022/02/28,WY,1718,155101,2.0
8,2022/03/01,WY,1741,155184,5.0
9,2022/03/02,WY,1741,155277,4.0
10,2022/03/03,WY,1741,155349,9.0
11,2022/03/04,WY,1741,155426,13.0
12,2022/03/05,WY,1741,155426,9.0
13,2022/03/06,WY,1741,155426,9.0
14,2022/03/07,WY,1741,155492,3.0
15,2022/03/08,WY,1749,155558,5.0
16,2022/03/09,WY,1749,155629,1.0
17,2022/03/10,WY,1749,155686,5.0
18,2022/03/11,WY,1749,155744,8.0
19,2022/03/12,WY,1749,155744,4.0
20,2022/03/13,WY,1749,155744,4.0
21,2022/03/14,WY,1749,155744,4.0
22,2022/03/15,WY,1769,155815,3.0
23,2022/03/16,WY,1769,155815,3.0
24,2022/03/17,WY,1769,155815,3.0
25,2022/03/18,WY,1769,155907,4.0
26,2022/03/19,WY,1769,155907,7.0
27,2022/03/20,WY,1769,155907,4.0
28,2022/03/21,WY,1769,155907,2.0
29,2022/03/22,WY,1783,155988,2.0
30,2022/03/23,WY,1783,155988,2.0
31,2022/03/24,WY,1783,155988,3.0
32,2022/03/25,WY,1783,156056,2.0
33,2022/03/26,WY,1783,156056,3.0
34,2022/03/27,WY,1783,156056,2.0
35,2022/03/28,WY,1783,156056,2.0
36,2022/03/29,WY,1791,156112,2.0
37,2022/03/30,WY,1791,156112,2.0
38,2022/03/31,WY,1791,156112,1.0
39,2022/04/01,WY,1791,156167,1.0
40,2022/04/02,WY,1791,156167,2.0
41,2022/04/03,WY,1791,156167,4.0
42,2022/04/04,WY,1791,156167,2.0
43,2022/04/05,WY,1796,156264,5.0
44,2022/04/06,WY,1796,156264,3.0
45,2022/04/07,WY,1796,156264,1.0
46,2022/04/08,WY,1796,156281,2.0
47,2022/04/09,WY,1796,156281,1.0
48,2022/04/10,WY,1796,156281,0.0
49,2022/04/11,WY,1796,156281,0.0
50,2022/04/12,WY,1801,156258,2.0
51,2022/04/13,WY,1801,156258,0.0
52,2022/04/14,WY,1801,156258,0.0
53,2022/04/15,WY,1801,156258,5.0
54,2022/04/16,WY,1801,156258,3.0
55,2022/04/17,WY,1801,156258,0.0
56,2022/04/18,WY,1801,156258,2.0
57,2022/04/19,WY,1807,156392,0.0
58,2022/04/20,WY,1807,156392,0.0
59,2022/04/21,WY,1807,156392,2.0
60,2022/04/22,WY,1807,156392,1.0
61,2022/04/23,WY,1807,156392,2.0
62,2022/04/24,WY,1807,156392,0.0
63,2022/04/25,WY,1807,156392,0.0
64,2022/04/26,WY,1812,156550,0.0
65,2022/04/27,WY,1812,156550,3.0
66,2022/04/28,WY,1812,156550,2.0
67,2022/04/29,WY,1812,156550,0.0
68,2022/04/30,WY,1812,156550,0.0
69,2022/05/01,WY,1812,156550,1.0
70,2022/05/02,WY,1812,156550,4.0
71,2022/05/03,WY,1814,156745,5.0
72,2022/05/04,WY,1814,156745,2.0
73,2022/05/05,WY,1814,156745,1.0
74,2022/05/06,WY,1814,156745,2.0
75,2022/05/07,WY,1814,156745,1.0
76,2022/05/08,WY,1814,156745,2.0
77,2022/05/09,WY,1814,156745,3.0
78,2022/05/10,WY,1817,157031,3.0
79,2022/05/11,WY,1817,157031,4.0
80,2022/05/12,WY,1817,157031,2.0
81,2022/05/13,WY,1817,157031,1.0
82,2022/05/14,WY,1817,157031,4.0
83,2022/05/15,WY,1817,157031,4.0
84,2022/05/16,WY,1817,157031,2.0
85,2022/05/17,WY,1820,157409,1.0
86,2022/05/18,WY,1820,157409,0.0
87,2022/05/19,WY,1820,157409,4.0
88,2022/05/20,WY,1820,157409,4.0
89,2022/05/21,WY,1820,157409,2.0
90,2022/05/22,WY,1820,157409,2.0
91,2022/05/23,WY,1820,157409,4.0
92,2022/05/24,WY,1820,157861,5.0
93,2022/05/25,WY,1820,157861,5.0
94,2022/05/26,WY,1820,157861,4.0
95,2022/05/27,WY,1820,157861,1.0
