,date,0_4,5_11,12_18,19_49,50_64,65+,65_diff,50_64_diff,19_49_diff,12_18_diff,5_11_diff
0,02/07/2022,0,15702692.0,33867902.0,253397559.3535979,126056688.56302811,135872623.0,0.0,0.0,0.0,0.0,0.0
1,02/08/2022,0,15753969.8,33907619.5375,253615985.84844467,126165348.3334894,135986003.14375,113380.14375001192,108659.77046129107,218426.49484676123,39717.53750000149,51277.800000000745
2,02/09/2022,0,15805247.6,33947337.075,253834412.34329146,126274008.1039507,136099383.2875,113380.14374998212,108659.77046129107,218426.49484679103,39717.53750000149,51277.79999999888
3,02/10/2022,0,15856525.4,33987054.6125,254052838.83813822,126382667.87441199,136212763.43125,113380.14375001192,108659.77046129107,218426.49484676123,39717.53749999404,51277.800000000745
4,02/11/2022,0,15907803.2,34026772.15,254271265.33298498,126491327.64487328,136326143.575,113380.14374998212,108659.77046129107,218426.49484676123,39717.53750000149,51277.79999999888
5,02/12/2022,0,15959081.0,34066489.6875,254489691.82783177,126599987.41533457,136439523.71875,113380.14375001192,108659.77046129107,218426.49484679103,39717.53750000149,51277.800000000745
6,02/13/2022,0,16010358.8,34106207.225,254708118.32267854,126708647.18579586,136552903.8625,113380.14375001192,108659.77046129107,218426.49484676123,39717.53750000149,51277.800000000745
7,02/14/2022,0,16061636.6,34145924.7625,254926544.8175253,126817306.95625715,136666284.00625,113380.14374998212,108659.77046129107,218426.49484676123,39717.53750000149,51277.79999999888
8,02/15/2022,0,16112914.4,34185642.3,255144971.3123721,126925966.72671844,136779664.15,113380.14375001192,108659.77046129107,218426.49484679103,39717.53749999404,51277.800000000745
9,02/16/2022,0,16164192.2,34225359.8375,255363397.80721885,127034626.49717973,136893044.29375,113380.14374998212,108659.77046129107,218426.49484676123,39717.53750000149,51277.79999999888
10,02/17/2022,0,16215470.0,34265077.375,255581824.3020656,127143286.26764102,137006424.4375,113380.14375001192,108659.77046129107,218426.49484676123,39717.53750000149,51277.800000000745
11,02/18/2022,0,16266747.8,34304794.9125,255800250.7969124,127251946.03810231,137119804.58125,113380.14375001192,108659.77046129107,218426.49484679103,39717.53750000149,51277.800000000745
12,02/19/2022,0,16318025.6,34344512.45,256018677.29175916,127360605.8085636,137233184.725,113380.14374998212,108659.77046129107,218426.49484676123,39717.53750000149,51277.79999999888
13,02/20/2022,0,16369303.4,34384229.9875,256237103.78660592,127469265.5790249,137346564.86875,113380.14375001192,108659.77046129107,218426.49484676123,39717.53749999404,51277.800000000745
14,02/21/2022,0,16420581.2,34423947.525,256455530.28145272,127577925.34948619,137459945.0125,113380.14374998212,108659.77046129107,218426.49484679103,39717.53750000149,51277.79999999888
15,02/22/2022,0,16471859.0,34463665.0625,256673956.77629948,127686585.11994748,137573325.15625,113380.14375001192,108659.77046129107,218426.49484676123,39717.53750000149,51277.800000000745
16,02/23/2022,0,16523136.8,34503382.6,256892383.27114624,127795244.89040877,137686705.3,113380.14375001192,108659.77046129107,218426.49484676123,39717.53750000149,51277.800000000745
17,02/24/2022,0,16574414.6,34543100.1375,257110809.76599303,127903904.66087006,137800085.44375,113380.14374998212,108659.77046129107,218426.49484679103,39717.53750000149,51277.79999999888
18,02/25/2022,0,16625692.4,34582817.675,257329236.2608398,128012564.43133135,137913465.5875,113380.14375001192,108659.77046129107,218426.49484676123,39717.53749999404,51277.800000000745
19,02/26/2022,0,16676970.2,34622535.2125,257547662.75568655,128121224.20179264,138026845.73125,113380.14374998212,108659.77046129107,218426.49484676123,39717.53750000149,51277.79999999888
20,02/27/2022,0,16728248.0,34662252.75,257766089.25053334,128229883.97225393,138140225.875,113380.14375001192,108659.77046129107,218426.49484679103,39717.53750000149,51277.800000000745
21,02/28/2022,0,16779525.8,34701970.2875,257984515.7453801,128338543.74271522,138253606.01875,113380.14375001192,108659.77046129107,218426.49484676123,39717.53750000149,51277.800000000745
22,03/01/2022,0,16830803.6,34741687.825,258202942.24022686,128447203.51317652,138366986.1625,113380.14374998212,108659.77046129107,218426.49484676123,39717.53750000149,51277.800000000745
23,03/02/2022,0,16882081.4,34781405.3625,258421368.73507366,128555863.2836378,138480366.30625,113380.14375001192,108659.77046129107,218426.49484679103,39717.53749999404,51277.79999999702
24,03/03/2022,0,16933359.2,34821122.9,258639795.22992042,128664523.0540991,138593746.45,113380.14374998212,108659.77046129107,218426.49484676123,39717.53750000149,51277.800000000745
25,03/04/2022,0,16984637.0,34860840.4375,258858221.72476718,128773182.82456039,138707126.59375,113380.14375001192,108659.77046129107,218426.49484676123,39717.53750000149,51277.800000000745
26,03/05/2022,0,17035914.8,34900557.975,259076648.21961397,128881842.59502168,138820506.7375,113380.14375001192,108659.77046129107,218426.49484679103,39717.53750000149,51277.800000000745
27,03/06/2022,0,17087192.6,34940275.5125,259295074.71446073,128990502.36548297,138933886.88125,113380.14374998212,108659.77046129107,218426.49484676123,39717.53750000149,51277.800000000745
